Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,PHI,,OKC,1st,09:10.0,PHI up 3 (5-2),D. Saric makes free throw 1 of 2,PHI up 4 (6-2)
2,10/26/16,PHI,,OKC,1st,09:10.0,PHI up 4 (6-2),D. Saric misses free throw 2 of 2,PHI up 4 (6-2)
3,10/26/16,PHI,,OKC,1st,03:28.0,PHI up 4 (18-14),J. Grant misses free throw 1 of 2,PHI up 4 (18-14)
4,10/26/16,PHI,,OKC,1st,03:28.0,PHI up 4 (18-14),J. Grant makes free throw 2 of 2,PHI up 5 (19-14)
5,10/26/16,PHI,,OKC,1st,02:04.0,PHI down 2 (19-21),J. Grant makes free throw 1 of 2,PHI down 1 (20-21)
6,10/26/16,PHI,,OKC,1st,02:04.0,PHI down 1 (20-21),J. Grant misses free throw 2 of 2,PHI down 1 (20-21)
7,10/26/16,PHI,,OKC,1st,01:08.0,PHI up 1 (24-23),H. Thompson misses free throw 1 of 2,PHI up 1 (24-23)
8,10/26/16,PHI,,OKC,1st,01:08.0,PHI up 1 (24-23),H. Thompson misses free throw 2 of 2,PHI up 1 (24-23)
9,10/26/16,PHI,,OKC,2nd,03:21.0,PHI down 3 (41-44),G. Henderson makes free throw 1 of 2,PHI down 2 (42-44)
10,10/26/16,PHI,,OKC,2nd,03:21.0,PHI down 2 (42-44),G. Henderson misses free throw 2 of 2,PHI down 2 (42-44)
11,10/26/16,PHI,,OKC,3rd,06:39.0,PHI tied (55-55),N. Stauskas makes free throw 1 of 2,PHI up 1 (56-55)
12,10/26/16,PHI,,OKC,3rd,06:39.0,PHI up 1 (56-55),N. Stauskas makes free throw 2 of 2,PHI up 2 (57-55)
13,10/26/16,PHI,,OKC,3rd,02:45.0,PHI up 2 (66-64),N. Stauskas makes free throw 1 of 1,PHI up 3 (67-64)
14,10/26/16,PHI,,OKC,3rd,02:22.0,PHI up 3 (67-64),J. Embiid makes free throw 1 of 2,PHI up 4 (68-64)
15,10/26/16,PHI,,OKC,3rd,02:22.0,PHI up 4 (68-64),J. Embiid makes free throw 2 of 2,PHI up 5 (69-64)
16,10/26/16,PHI,,OKC,4th,10:17.0,PHI up 2 (77-75),J. Embiid misses free throw 1 of 2,PHI up 2 (77-75)
17,10/26/16,PHI,,OKC,4th,10:17.0,PHI up 2 (77-75),J. Embiid makes free throw 2 of 2,PHI up 3 (78-75)
18,10/26/16,PHI,,OKC,4th,09:47.0,PHI up 3 (78-75),J. Embiid makes free throw 1 of 2,PHI up 4 (79-75)
19,10/26/16,PHI,,OKC,4th,09:47.0,PHI up 4 (79-75),J. Embiid makes free throw 2 of 2,PHI up 5 (80-75)
20,10/26/16,PHI,,OKC,4th,04:41.0,PHI up 2 (87-85),R. Holmes makes free throw 1 of 2,PHI up 3 (88-85)
21,10/26/16,PHI,,OKC,4th,04:41.0,PHI up 3 (88-85),R. Holmes makes free throw 2 of 2,PHI up 4 (89-85)
22,10/26/16,PHI,,OKC,4th,04:16.0,PHI up 2 (89-87),R. Covington makes free throw 1 of 2,PHI up 3 (90-87)
