Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,MIL,,CHO,1st,10:24.0,MIL down 2 (2-4),G. Antetokounmpo makes free throw 1 of 2,MIL down 1 (3-4)
2,10/26/16,MIL,,CHO,1st,10:24.0,MIL down 1 (3-4),G. Antetokounmpo makes free throw 2 of 2,MIL tied (4-4)
3,10/26/16,MIL,,CHO,1st,04:42.0,MIL down 10 (11-21),G. Monroe misses free throw 1 of 2,MIL down 10 (11-21)
4,10/26/16,MIL,,CHO,1st,04:42.0,MIL down 10 (11-21),G. Monroe makes free throw 2 of 2,MIL down 9 (12-21)
5,10/26/16,MIL,,CHO,1st,04:09.0,MIL down 12 (12-24),G. Monroe makes free throw 1 of 2,MIL down 11 (13-24)
6,10/26/16,MIL,,CHO,1st,04:09.0,MIL down 11 (13-24),G. Monroe makes free throw 2 of 2,MIL down 10 (14-24)
7,10/26/16,MIL,,CHO,2nd,03:59.0,MIL down 10 (36-46),G. Antetokounmpo makes free throw 1 of 2,MIL down 9 (37-46)
8,10/26/16,MIL,,CHO,2nd,03:59.0,MIL down 9 (37-46),G. Antetokounmpo misses free throw 2 of 2,MIL down 9 (37-46)
9,10/26/16,MIL,,CHO,3rd,06:07.0,MIL down 22 (49-71),G. Monroe makes free throw 1 of 1,MIL down 21 (50-71)
10,10/26/16,MIL,,CHO,3rd,05:41.0,MIL down 19 (52-71),G. Antetokounmpo misses free throw 1 of 1,MIL down 19 (52-71)
11,10/26/16,MIL,,CHO,3rd,02:26.0,MIL down 18 (59-77),J. Parker makes free throw 1 of 2,MIL down 17 (60-77)
12,10/26/16,MIL,,CHO,3rd,02:26.0,MIL down 17 (60-77),J. Parker makes free throw 2 of 2,MIL down 16 (61-77)
13,10/26/16,MIL,,CHO,3rd,01:58.0,MIL down 18 (61-79),M. Beasley misses free throw 1 of 2,MIL down 18 (61-79)
14,10/26/16,MIL,,CHO,3rd,01:58.0,MIL down 18 (61-79),M. Beasley misses free throw 2 of 2,MIL down 18 (61-79)
15,10/26/16,MIL,,CHO,4th,10:55.0,MIL down 17 (68-85),M. Brogdon makes free throw 1 of 2,MIL down 16 (69-85)
16,10/26/16,MIL,,CHO,4th,10:55.0,MIL down 16 (69-85),M. Brogdon makes free throw 2 of 2,MIL down 15 (70-85)
17,10/26/16,MIL,,CHO,4th,09:55.0,MIL down 14 (74-88),J. Terry makes free throw 1 of 1,MIL down 13 (75-88)
