Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/27/16,CHI,,BOS,1st,11:29.0,CHI up 2 (2-0),R. Lopez makes free throw 1 of 2,CHI up 3 (3-0)
2,10/27/16,CHI,,BOS,1st,11:29.0,CHI up 3 (3-0),R. Lopez makes free throw 2 of 2,CHI up 4 (4-0)
3,10/27/16,CHI,,BOS,1st,08:14.0,CHI up 3 (8-5),J. Butler makes free throw 1 of 2,CHI up 4 (9-5)
4,10/27/16,CHI,,BOS,1st,08:14.0,CHI up 4 (9-5),J. Butler makes free throw 2 of 2,CHI up 5 (10-5)
5,10/27/16,CHI,,BOS,1st,02:07.0,CHI up 9 (27-18),J. Butler misses free throw 1 of 2,CHI up 9 (27-18)
6,10/27/16,CHI,,BOS,1st,02:07.0,CHI up 9 (27-18),J. Butler misses free throw 2 of 2,CHI up 9 (27-18)
7,10/27/16,CHI,,BOS,1st,00:28.0,CHI up 9 (29-20),D. McDermott misses free throw 1 of 2,CHI up 9 (29-20)
8,10/27/16,CHI,,BOS,1st,00:28.0,CHI up 9 (29-20),D. McDermott makes free throw 2 of 2,CHI up 10 (30-20)
9,10/27/16,CHI,,BOS,2nd,10:50.0,CHI up 8 (30-22),C. Felicio makes free throw 1 of 2,CHI up 9 (31-22)
10,10/27/16,CHI,,BOS,2nd,10:50.0,CHI up 9 (31-22),C. Felicio makes free throw 2 of 2,CHI up 10 (32-22)
11,10/27/16,CHI,,BOS,2nd,08:52.0,CHI up 10 (35-25),N. Mirotic makes free throw 1 of 2,CHI up 11 (36-25)
12,10/27/16,CHI,,BOS,2nd,08:52.0,CHI up 11 (36-25),N. Mirotic makes free throw 2 of 2,CHI up 12 (37-25)
13,10/27/16,CHI,,BOS,2nd,01:31.0,CHI up 8 (51-43),D. Wade makes free throw 1 of 1,CHI up 9 (52-43)
14,10/27/16,CHI,,BOS,3rd,06:50.0,CHI up 4 (63-59),R. Rondo misses free throw 1 of 2,CHI up 4 (63-59)
15,10/27/16,CHI,,BOS,3rd,06:50.0,CHI up 4 (63-59),R. Rondo makes free throw 2 of 2,CHI up 5 (64-59)
16,10/27/16,CHI,,BOS,3rd,05:28.0,CHI up 1 (64-63),T. Gibson makes free throw 1 of 2,CHI up 2 (65-63)
