Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/25/16,CLE,,NYK,1st,06:48.0,CLE down 1 (9-10),K. Love makes free throw 1 of 1,CLE tied (10-10)
2,10/25/16,CLE,,NYK,1st,04:25.0,CLE up 2 (14-12),K. Irving makes technical free throw,CLE up 3 (15-12)
3,10/25/16,CLE,,NYK,1st,01:28.0,CLE up 7 (23-16),K. Love misses free throw 1 of 2,CLE up 7 (23-16)
4,10/25/16,CLE,,NYK,1st,01:28.0,CLE up 7 (23-16),K. Love makes free throw 2 of 2,CLE up 8 (24-16)
5,10/25/16,CLE,,NYK,1st,00:41.0,CLE up 6 (24-18),K. Love misses free throw 1 of 2,CLE up 6 (24-18)
6,10/25/16,CLE,,NYK,1st,00:41.0,CLE up 6 (24-18),K. Love makes free throw 2 of 2,CLE up 7 (25-18)
7,10/25/16,CLE,,NYK,3rd,10:47.0,CLE up 5 (50-45),L. James misses free throw 1 of 2,CLE up 5 (50-45)
8,10/25/16,CLE,,NYK,3rd,10:47.0,CLE up 5 (50-45),L. James makes free throw 2 of 2,CLE up 6 (51-45)
9,10/25/16,CLE,,NYK,4th,07:48.0,CLE up 18 (92-74),R. Jefferson makes free throw 1 of 2,CLE up 19 (93-74)
10,10/25/16,CLE,,NYK,4th,07:48.0,CLE up 19 (93-74),R. Jefferson misses free throw 2 of 2,CLE up 19 (93-74)
11,10/25/16,CLE,,NYK,4th,07:47.0,CLE up 19 (93-74),K. Love makes free throw 1 of 2,CLE up 20 (94-74)
12,10/25/16,CLE,,NYK,4th,07:47.0,CLE up 20 (94-74),K. Love misses free throw 2 of 2,CLE up 20 (94-74)
13,10/25/16,CLE,,NYK,4th,07:29.0,CLE up 20 (94-74),K. Love makes free throw 1 of 2,CLE up 21 (95-74)
14,10/25/16,CLE,,NYK,4th,07:29.0,CLE up 21 (95-74),K. Love makes free throw 2 of 2,CLE up 22 (96-74)
15,10/25/16,CLE,,NYK,4th,06:44.0,CLE up 22 (96-74),K. Love makes free throw 1 of 2,CLE up 23 (97-74)
16,10/25/16,CLE,,NYK,4th,06:44.0,CLE up 23 (97-74),K. Love makes free throw 2 of 2,CLE up 24 (98-74)
17,10/25/16,CLE,,NYK,4th,05:34.0,CLE up 27 (103-76),K. Love makes free throw 1 of 1,CLE up 28 (104-76)
18,10/25/16,CLE,,NYK,4th,02:06.0,CLE up 27 (111-84),J. Jones makes free throw 1 of 2,CLE up 28 (112-84)
19,10/25/16,CLE,,NYK,4th,02:06.0,CLE up 28 (112-84),J. Jones makes free throw 2 of 2,CLE up 29 (113-84)
20,10/28/16,CLE,@,TOR,1st,04:29.0,CLE up 5 (16-11),K. Irving makes technical free throw,CLE up 6 (17-11)
21,10/28/16,CLE,@,TOR,1st,00:47.0,CLE up 7 (26-19),K. Love makes free throw 1 of 2,CLE up 8 (27-19)
22,10/28/16,CLE,@,TOR,1st,00:47.0,CLE up 8 (27-19),K. Love makes free throw 2 of 2,CLE up 9 (28-19)
23,10/28/16,CLE,@,TOR,2nd,08:39.0,CLE up 5 (33-28),I. Shumpert misses free throw 1 of 2,CLE up 5 (33-28)
24,10/28/16,CLE,@,TOR,2nd,08:39.0,CLE up 5 (33-28),I. Shumpert makes free throw 2 of 2,CLE up 6 (34-28)
25,10/28/16,CLE,@,TOR,2nd,02:13.0,CLE up 6 (44-38),K. Love makes free throw 1 of 2,CLE up 7 (45-38)
26,10/28/16,CLE,@,TOR,2nd,02:13.0,CLE up 7 (45-38),K. Love makes free throw 2 of 2,CLE up 8 (46-38)
27,10/28/16,CLE,@,TOR,2nd,00:50.0,CLE up 11 (49-38),R. Jefferson misses free throw 1 of 2,CLE up 11 (49-38)
28,10/28/16,CLE,@,TOR,2nd,00:50.0,CLE up 11 (49-38),R. Jefferson makes free throw 2 of 2,CLE up 12 (50-38)
29,10/28/16,CLE,@,TOR,3rd,03:19.0,CLE up 9 (65-56),L. James makes technical free throw,CLE up 10 (66-56)
30,10/28/16,CLE,@,TOR,3rd,01:03.0,CLE up 1 (66-65),T. Thompson misses free throw 1 of 2,CLE up 1 (66-65)
31,10/28/16,CLE,@,TOR,3rd,01:03.0,CLE up 1 (66-65),T. Thompson makes free throw 2 of 2,CLE up 2 (67-65)
32,10/28/16,CLE,@,TOR,3rd,00:37.0,CLE up 2 (67-65),R. Jefferson misses free throw 1 of 2,CLE up 2 (67-65)
33,10/28/16,CLE,@,TOR,3rd,00:37.0,CLE up 2 (67-65),R. Jefferson makes free throw 2 of 2,CLE up 3 (68-65)
