Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,BOS,,BRK,1st,06:18.0,BOS up 1 (12-11),I. Thomas makes free throw 1 of 1,BOS up 2 (13-11)
2,10/26/16,BOS,,BRK,1st,02:03.0,BOS up 5 (27-22),J. Brown makes free throw 1 of 2,BOS up 6 (28-22)
3,10/26/16,BOS,,BRK,1st,02:03.0,BOS up 6 (28-22),J. Brown makes free throw 2 of 2,BOS up 7 (29-22)
4,10/26/16,BOS,,BRK,1st,00:48.0,BOS up 2 (31-29),I. Thomas makes free throw 1 of 2,BOS up 3 (32-29)
5,10/26/16,BOS,,BRK,1st,00:48.0,BOS up 3 (32-29),I. Thomas makes free throw 2 of 2,BOS up 4 (33-29)
6,10/26/16,BOS,,BRK,2nd,09:38.0,BOS up 6 (40-34),J. Jerebko makes free throw 1 of 2,BOS up 7 (41-34)
7,10/26/16,BOS,,BRK,2nd,09:38.0,BOS up 7 (41-34),J. Jerebko makes free throw 2 of 2,BOS up 8 (42-34)
8,10/26/16,BOS,,BRK,2nd,06:59.0,BOS up 10 (49-39),T. Zeller misses free throw 1 of 2,BOS up 10 (49-39)
9,10/26/16,BOS,,BRK,2nd,06:59.0,BOS up 10 (49-39),T. Zeller makes free throw 2 of 2,BOS up 11 (50-39)
10,10/26/16,BOS,,BRK,2nd,01:53.0,BOS up 5 (56-51),I. Thomas makes free throw 1 of 2,BOS up 6 (57-51)
11,10/26/16,BOS,,BRK,2nd,01:53.0,BOS up 6 (57-51),I. Thomas makes free throw 2 of 2,BOS up 7 (58-51)
12,10/26/16,BOS,,BRK,2nd,01:45.0,BOS up 7 (58-51),I. Thomas makes free throw 1 of 2,BOS up 8 (59-51)
13,10/26/16,BOS,,BRK,2nd,01:45.0,BOS up 8 (59-51),I. Thomas makes free throw 2 of 2,BOS up 9 (60-51)
14,10/26/16,BOS,,BRK,2nd,01:14.0,BOS up 8 (62-54),A. Johnson misses free throw 1 of 1,BOS up 8 (62-54)
15,10/26/16,BOS,,BRK,3rd,03:44.0,BOS up 12 (85-73),J. Brown makes free throw 1 of 2,BOS up 13 (86-73)
16,10/26/16,BOS,,BRK,3rd,03:44.0,BOS up 13 (86-73),J. Brown misses free throw 2 of 2,BOS up 13 (86-73)
17,10/26/16,BOS,,BRK,4th,00:12.0,BOS up 3 (120-117),I. Thomas makes free throw 1 of 2,BOS up 4 (121-117)
18,10/26/16,BOS,,BRK,4th,00:12.0,BOS up 4 (121-117),I. Thomas makes free throw 2 of 2,BOS up 5 (122-117)
19,10/27/16,BOS,@,CHI,1st,06:26.0,BOS down 10 (7-17),A. Johnson misses free throw 1 of 2,BOS down 10 (7-17)
20,10/27/16,BOS,@,CHI,1st,06:26.0,BOS down 10 (7-17),A. Johnson makes free throw 2 of 2,BOS down 9 (8-17)
21,10/27/16,BOS,@,CHI,1st,02:41.0,BOS down 12 (15-27),A. Horford makes free throw 1 of 2,BOS down 11 (16-27)
22,10/27/16,BOS,@,CHI,1st,02:41.0,BOS down 11 (16-27),A. Horford misses free throw 2 of 2,BOS down 11 (16-27)
23,10/27/16,BOS,@,CHI,2nd,08:32.0,BOS down 12 (25-37),A. Bradley misses free throw 1 of 2,BOS down 12 (25-37)
24,10/27/16,BOS,@,CHI,2nd,08:32.0,BOS down 12 (25-37),A. Bradley makes free throw 2 of 2,BOS down 11 (26-37)
25,10/27/16,BOS,@,CHI,2nd,03:38.0,BOS down 6 (40-46),J. Crowder makes free throw 1 of 3,BOS down 5 (41-46)
26,10/27/16,BOS,@,CHI,2nd,03:38.0,BOS down 5 (41-46),J. Crowder makes free throw 2 of 3,BOS down 4 (42-46)
27,10/27/16,BOS,@,CHI,2nd,03:38.0,BOS down 4 (42-46),J. Crowder makes free throw 3 of 3,BOS down 3 (43-46)
28,10/27/16,BOS,@,CHI,3rd,08:24.0,BOS down 6 (55-61),T. Zeller misses free throw 1 of 1,BOS down 6 (55-61)
29,10/27/16,BOS,@,CHI,3rd,04:44.0,BOS down 3 (65-68),I. Thomas misses free throw 1 of 2,BOS down 3 (65-68)
30,10/27/16,BOS,@,CHI,3rd,04:44.0,BOS down 3 (65-68),I. Thomas makes free throw 2 of 2,BOS down 2 (66-68)
31,10/27/16,BOS,@,CHI,4th,08:57.0,BOS down 6 (80-86),J. Jerebko makes free throw 1 of 2,BOS down 5 (81-86)
32,10/27/16,BOS,@,CHI,4th,08:57.0,BOS down 5 (81-86),J. Jerebko misses free throw 2 of 2,BOS down 5 (81-86)
33,10/27/16,BOS,@,CHI,4th,06:52.0,BOS down 14 (81-95),A. Bradley makes free throw 1 of 2,BOS down 13 (82-95)
34,10/27/16,BOS,@,CHI,4th,06:52.0,BOS down 13 (82-95),A. Bradley makes free throw 2 of 2,BOS down 12 (83-95)
35,10/27/16,BOS,@,CHI,4th,06:11.0,BOS down 10 (85-95),I. Thomas misses free throw 1 of 2,BOS down 10 (85-95)
36,10/27/16,BOS,@,CHI,4th,06:11.0,BOS down 10 (85-95),I. Thomas misses free throw 2 of 2,BOS down 10 (85-95)
37,10/27/16,BOS,@,CHI,4th,02:18.0,BOS down 5 (94-99),I. Thomas makes free throw 1 of 2,BOS down 4 (95-99)
38,10/27/16,BOS,@,CHI,4th,02:18.0,BOS down 4 (95-99),I. Thomas misses free throw 2 of 2,BOS down 4 (95-99)
39,10/27/16,BOS,@,CHI,4th,01:46.0,BOS down 4 (95-99),J. Crowder makes free throw 1 of 2,BOS down 3 (96-99)
40,10/27/16,BOS,@,CHI,4th,01:46.0,BOS down 3 (96-99),J. Crowder makes free throw 2 of 2,BOS down 2 (97-99)
41,10/27/16,BOS,@,CHI,4th,01:08.0,BOS down 4 (97-101),A. Horford makes free throw 1 of 2,BOS down 3 (98-101)
42,10/27/16,BOS,@,CHI,4th,01:08.0,BOS down 3 (98-101),A. Horford makes free throw 2 of 2,BOS down 2 (99-101)
43,10/29/16,BOS,@,CHO,1st,01:34.0,BOS up 12 (26-14),G. Green makes free throw 1 of 2,BOS up 13 (27-14)
44,10/29/16,BOS,@,CHO,1st,01:34.0,BOS up 13 (27-14),G. Green makes free throw 2 of 2,BOS up 14 (28-14)
45,10/29/16,BOS,@,CHO,3rd,08:05.0,BOS up 5 (51-46),I. Thomas misses free throw 1 of 2,BOS up 5 (51-46)
46,10/29/16,BOS,@,CHO,3rd,08:05.0,BOS up 5 (51-46),I. Thomas misses free throw 2 of 2,BOS up 5 (51-46)
47,10/29/16,BOS,@,CHO,3rd,07:32.0,BOS up 6 (54-48),I. Thomas makes technical free throw,BOS up 7 (55-48)
48,10/29/16,BOS,@,CHO,3rd,02:50.0,BOS up 1 (64-63),A. Horford makes free throw 1 of 2,BOS up 2 (65-63)
49,10/29/16,BOS,@,CHO,3rd,02:50.0,BOS up 2 (65-63),A. Horford misses free throw 2 of 2,BOS up 2 (65-63)
50,10/29/16,BOS,@,CHO,3rd,01:42.0,BOS up 2 (67-65),J. Brown makes free throw 1 of 1,BOS up 3 (68-65)
51,10/29/16,BOS,@,CHO,3rd,01:11.0,BOS up 1 (68-67),J. Mickey makes free throw 1 of 2,BOS up 2 (69-67)
52,10/29/16,BOS,@,CHO,3rd,01:11.0,BOS up 2 (69-67),J. Mickey misses free throw 2 of 2,BOS up 2 (69-67)
53,10/29/16,BOS,@,CHO,4th,04:55.0,BOS up 10 (89-79),T. Rozier makes free throw 1 of 1,BOS up 11 (90-79)
54,10/29/16,BOS,@,CHO,4th,03:09.0,BOS up 11 (95-84),I. Thomas misses free throw 1 of 2,BOS up 11 (95-84)
55,10/29/16,BOS,@,CHO,4th,03:09.0,BOS up 11 (95-84),I. Thomas makes free throw 2 of 2,BOS up 12 (96-84)
56,10/29/16,BOS,@,CHO,4th,00:34.0,BOS up 9 (101-92),I. Thomas makes free throw 1 of 2,BOS up 10 (102-92)
