Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/27/16,LAC,@,POR,1st,05:25.0,LAC tied (13-13),B. Griffin makes free throw 1 of 2,LAC up 1 (14-13)
2,10/27/16,LAC,@,POR,1st,05:25.0,LAC up 1 (14-13),B. Griffin makes free throw 2 of 2,LAC up 2 (15-13)
3,10/27/16,LAC,@,POR,1st,00:02.0,LAC down 1 (26-27),M. Speights makes free throw 1 of 2,LAC tied (27-27)
4,10/27/16,LAC,@,POR,1st,00:02.0,LAC tied (27-27),M. Speights makes free throw 2 of 2,LAC up 1 (28-27)
5,10/27/16,LAC,@,POR,2nd,10:36.0,LAC up 3 (30-27),J. Crawford makes free throw 1 of 2,LAC up 4 (31-27)
6,10/27/16,LAC,@,POR,2nd,10:36.0,LAC up 4 (31-27),J. Crawford makes free throw 2 of 2,LAC up 5 (32-27)
7,10/27/16,LAC,@,POR,2nd,10:15.0,LAC up 7 (34-27),M. Speights misses free throw 1 of 1,LAC up 7 (34-27)
8,10/27/16,LAC,@,POR,2nd,08:47.0,LAC up 8 (37-29),M. Speights makes free throw 1 of 2,LAC up 9 (38-29)
9,10/27/16,LAC,@,POR,2nd,08:47.0,LAC up 9 (38-29),M. Speights makes free throw 2 of 2,LAC up 10 (39-29)
10,10/27/16,LAC,@,POR,2nd,07:51.0,LAC up 7 (39-32),C. Paul makes free throw 1 of 2,LAC up 8 (40-32)
11,10/27/16,LAC,@,POR,2nd,07:51.0,LAC up 8 (40-32),C. Paul misses free throw 2 of 2,LAC up 8 (40-32)
12,10/27/16,LAC,@,POR,2nd,06:59.0,LAC up 8 (42-34),C. Paul makes free throw 1 of 2,LAC up 9 (43-34)
13,10/27/16,LAC,@,POR,2nd,06:59.0,LAC up 9 (43-34),C. Paul makes free throw 2 of 2,LAC up 10 (44-34)
14,10/27/16,LAC,@,POR,2nd,05:06.0,LAC up 8 (46-38),L. Mbah a Moute misses free throw 1 of 2,LAC up 8 (46-38)
15,10/27/16,LAC,@,POR,2nd,05:06.0,LAC up 8 (46-38),L. Mbah a Moute makes free throw 2 of 2,LAC up 9 (47-38)
16,10/27/16,LAC,@,POR,2nd,02:30.0,LAC up 10 (53-43),D. Jordan misses free throw 1 of 2,LAC up 10 (53-43)
17,10/27/16,LAC,@,POR,2nd,02:30.0,LAC up 10 (53-43),D. Jordan misses free throw 2 of 2,LAC up 10 (53-43)
18,10/27/16,LAC,@,POR,2nd,02:15.0,LAC up 8 (53-45),D. Jordan makes free throw 1 of 2,LAC up 9 (54-45)
19,10/27/16,LAC,@,POR,2nd,02:15.0,LAC up 9 (54-45),D. Jordan misses free throw 2 of 2,LAC up 9 (54-45)
20,10/27/16,LAC,@,POR,2nd,00:34.0,LAC up 6 (54-48),B. Griffin makes free throw 1 of 2,LAC up 7 (55-48)
