Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,MEM,,MIN,1st,10:10.0,MEM down 9 (0-9),M. Conley makes free throw 1 of 2,MEM down 8 (1-9)
2,10/26/16,MEM,,MIN,1st,10:10.0,MEM down 8 (1-9),M. Conley misses free throw 2 of 2,MEM down 8 (1-9)
3,10/26/16,MEM,,MIN,2nd,06:18.0,MEM down 5 (40-45),V. Carter misses free throw 1 of 2,MEM down 5 (40-45)
4,10/26/16,MEM,,MIN,2nd,06:18.0,MEM down 5 (40-45),V. Carter makes free throw 2 of 2,MEM down 4 (41-45)
5,10/26/16,MEM,,MIN,2nd,02:53.0,MEM down 2 (47-49),J. Ennis makes free throw 1 of 2,MEM down 1 (48-49)
6,10/26/16,MEM,,MIN,2nd,02:53.0,MEM down 1 (48-49),J. Ennis misses free throw 2 of 2,MEM down 1 (48-49)
7,10/26/16,MEM,,MIN,3rd,10:53.0,MEM down 9 (52-61),M. Conley makes free throw 1 of 1,MEM down 8 (53-61)
8,10/26/16,MEM,,MIN,3rd,09:47.0,MEM down 5 (56-61),J. Ennis makes free throw 1 of 2,MEM down 4 (57-61)
9,10/26/16,MEM,,MIN,3rd,09:47.0,MEM down 4 (57-61),J. Ennis makes free throw 2 of 2,MEM down 3 (58-61)
10,10/26/16,MEM,,MIN,3rd,08:11.0,MEM up 1 (62-61),M. Gasol makes free throw 1 of 2,MEM up 2 (63-61)
11,10/26/16,MEM,,MIN,3rd,08:11.0,MEM up 2 (63-61),M. Gasol makes free throw 2 of 2,MEM up 3 (64-61)
12,10/26/16,MEM,,MIN,3rd,05:33.0,MEM down 1 (66-67),M. Gasol misses free throw 1 of 2,MEM down 1 (66-67)
13,10/26/16,MEM,,MIN,3rd,05:33.0,MEM down 1 (66-67),M. Gasol makes free throw 2 of 2,MEM tied (67-67)
14,10/26/16,MEM,,MIN,3rd,01:28.0,MEM up 3 (75-72),Z. Randolph misses free throw 1 of 2,MEM up 3 (75-72)
15,10/26/16,MEM,,MIN,3rd,01:28.0,MEM up 3 (75-72),Z. Randolph makes free throw 2 of 2,MEM up 4 (76-72)
16,10/26/16,MEM,,MIN,4th,09:43.0,MEM down 1 (78-79),Z. Randolph misses free throw 1 of 2,MEM down 1 (78-79)
17,10/26/16,MEM,,MIN,4th,09:43.0,MEM down 1 (78-79),Z. Randolph makes free throw 2 of 2,MEM tied (79-79)
18,10/26/16,MEM,,MIN,4th,07:28.0,MEM down 4 (81-85),Z. Randolph makes free throw 1 of 2,MEM down 3 (82-85)
19,10/26/16,MEM,,MIN,4th,07:28.0,MEM down 3 (82-85),Z. Randolph makes free throw 2 of 2,MEM down 2 (83-85)
20,10/26/16,MEM,,MIN,4th,05:53.0,MEM tied (85-85),A. Harrison makes free throw 1 of 2,MEM up 1 (86-85)
21,10/26/16,MEM,,MIN,4th,05:53.0,MEM up 1 (86-85),A. Harrison misses free throw 2 of 2,MEM up 1 (86-85)
