Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/27/16,ATL,,WAS,1st,08:24.0,ATL down 2 (6-8),P. Millsap makes free throw 1 of 2,ATL down 1 (7-8)
2,10/27/16,ATL,,WAS,1st,08:24.0,ATL down 1 (7-8),P. Millsap makes free throw 2 of 2,ATL tied (8-8)
3,10/27/16,ATL,,WAS,1st,07:09.0,ATL up 2 (10-8),P. Millsap makes free throw 1 of 1,ATL up 3 (11-8)
4,10/27/16,ATL,,WAS,1st,04:55.0,ATL tied (14-14),K. Bazemore makes free throw 1 of 2,ATL up 1 (15-14)
5,10/27/16,ATL,,WAS,1st,04:55.0,ATL up 1 (15-14),K. Bazemore makes free throw 2 of 2,ATL up 2 (16-14)
6,10/27/16,ATL,,WAS,1st,03:37.0,ATL up 4 (18-14),M. Muscala makes free throw 1 of 2,ATL up 5 (19-14)
7,10/27/16,ATL,,WAS,1st,03:37.0,ATL up 5 (19-14),M. Muscala makes free throw 2 of 2,ATL up 6 (20-14)
8,10/27/16,ATL,,WAS,2nd,04:31.0,ATL tied (41-41),D. Howard makes free throw 1 of 2,ATL up 1 (42-41)
9,10/27/16,ATL,,WAS,2nd,04:31.0,ATL up 1 (42-41),D. Howard misses free throw 2 of 2,ATL up 1 (42-41)
10,10/27/16,ATL,,WAS,2nd,04:03.0,ATL down 1 (42-43),K. Bazemore makes free throw 1 of 2,ATL tied (43-43)
11,10/27/16,ATL,,WAS,2nd,04:03.0,ATL tied (43-43),K. Bazemore makes free throw 2 of 2,ATL up 1 (44-43)
12,10/27/16,ATL,,WAS,2nd,02:37.0,ATL down 2 (46-48),D. Howard makes free throw 1 of 2,ATL down 1 (47-48)
13,10/27/16,ATL,,WAS,2nd,02:37.0,ATL down 1 (47-48),D. Howard makes free throw 2 of 2,ATL tied (48-48)
14,10/27/16,ATL,,WAS,2nd,00:34.0,ATL down 1 (52-53),T. Hardaway makes free throw 1 of 2,ATL tied (53-53)
15,10/27/16,ATL,,WAS,2nd,00:34.0,ATL tied (53-53),T. Hardaway makes free throw 2 of 2,ATL up 1 (54-53)
16,10/27/16,ATL,,WAS,3rd,10:34.0,ATL tied (61-61),P. Millsap misses free throw 1 of 1,ATL tied (61-61)
17,10/27/16,ATL,,WAS,4th,06:52.0,ATL up 15 (99-84),T. Sefolosha misses free throw 1 of 2,ATL up 15 (99-84)
18,10/27/16,ATL,,WAS,4th,06:52.0,ATL up 15 (99-84),T. Sefolosha misses free throw 2 of 2,ATL up 15 (99-84)
19,10/29/16,ATL,@,PHI,1st,01:09.0,ATL up 1 (24-23),M. Delaney makes free throw 1 of 2,ATL up 2 (25-23)
20,10/29/16,ATL,@,PHI,1st,01:09.0,ATL up 2 (25-23),M. Delaney misses free throw 2 of 2,ATL up 2 (25-23)
21,10/29/16,ATL,@,PHI,1st,00:56.0,ATL up 4 (27-23),T. Hardaway misses free throw 1 of 1,ATL up 4 (27-23)
22,10/29/16,ATL,@,PHI,2nd,10:02.0,ATL up 6 (31-25),T. Sefolosha makes free throw 1 of 2,ATL up 7 (32-25)
23,10/29/16,ATL,@,PHI,2nd,10:02.0,ATL up 7 (32-25),T. Sefolosha misses free throw 2 of 2,ATL up 7 (32-25)
24,10/29/16,ATL,@,PHI,2nd,08:43.0,ATL up 7 (32-25),P. Millsap makes free throw 1 of 2,ATL up 8 (33-25)
25,10/29/16,ATL,@,PHI,2nd,08:43.0,ATL up 8 (33-25),P. Millsap makes free throw 2 of 2,ATL up 9 (34-25)
26,10/29/16,ATL,@,PHI,2nd,00:31.0,ATL up 13 (52-39),D. Schroder makes free throw 1 of 2,ATL up 14 (53-39)
27,10/29/16,ATL,@,PHI,2nd,00:31.0,ATL up 14 (53-39),D. Schroder misses free throw 2 of 2,ATL up 14 (53-39)
28,10/29/16,ATL,@,PHI,3rd,05:37.0,ATL up 15 (65-50),P. Millsap misses free throw 1 of 2,ATL up 15 (65-50)
29,10/29/16,ATL,@,PHI,3rd,05:37.0,ATL up 15 (65-50),P. Millsap makes free throw 2 of 2,ATL up 16 (66-50)
30,10/29/16,ATL,@,PHI,3rd,02:40.0,ATL up 10 (66-56),D. Schroder makes free throw 1 of 2,ATL up 11 (67-56)
31,10/29/16,ATL,@,PHI,3rd,02:40.0,ATL up 11 (67-56),D. Schroder makes free throw 2 of 2,ATL up 12 (68-56)
32,10/29/16,ATL,@,PHI,3rd,02:19.0,ATL up 12 (68-56),K. Humphries makes free throw 1 of 2,ATL up 13 (69-56)
33,10/29/16,ATL,@,PHI,3rd,02:19.0,ATL up 13 (69-56),K. Humphries misses free throw 2 of 2,ATL up 13 (69-56)
34,10/29/16,ATL,@,PHI,3rd,01:46.0,ATL up 11 (69-58),P. Millsap makes free throw 1 of 2,ATL up 12 (70-58)
35,10/29/16,ATL,@,PHI,3rd,01:46.0,ATL up 12 (70-58),P. Millsap makes free throw 2 of 2,ATL up 13 (71-58)
36,10/29/16,ATL,@,PHI,4th,05:45.0,ATL up 24 (92-68),T. Sefolosha makes free throw 1 of 2,ATL up 25 (93-68)
37,10/29/16,ATL,@,PHI,4th,05:45.0,ATL up 25 (93-68),T. Sefolosha makes free throw 2 of 2,ATL up 26 (94-68)
38,10/29/16,ATL,@,PHI,4th,01:38.0,ATL up 28 (98-70),T. Waller-Prince makes free throw 1 of 2,ATL up 29 (99-70)
39,10/29/16,ATL,@,PHI,4th,01:38.0,ATL up 29 (99-70),T. Waller-Prince makes free throw 2 of 2,ATL up 30 (100-70)
40,10/29/16,ATL,@,PHI,4th,01:13.0,ATL up 28 (100-72),E. Tavares misses free throw 1 of 2,ATL up 28 (100-72)
41,10/29/16,ATL,@,PHI,4th,01:13.0,ATL up 28 (100-72),E. Tavares misses free throw 2 of 2,ATL up 28 (100-72)
42,10/31/16,ATL,,SAC,1st,07:50.0,ATL up 6 (8-2),D. Schroder makes free throw 1 of 2,ATL up 7 (9-2)
43,10/31/16,ATL,,SAC,1st,07:50.0,ATL up 7 (9-2),D. Schroder misses free throw 2 of 2,ATL up 7 (9-2)
44,10/31/16,ATL,,SAC,1st,05:38.0,ATL up 4 (11-7),M. Muscala misses free throw 1 of 2,ATL up 4 (11-7)
45,10/31/16,ATL,,SAC,1st,05:38.0,ATL up 4 (11-7),M. Muscala makes free throw 2 of 2,ATL up 5 (12-7)
46,10/31/16,ATL,,SAC,1st,03:52.0,ATL up 3 (14-11),P. Millsap makes free throw 1 of 2,ATL up 4 (15-11)
47,10/31/16,ATL,,SAC,1st,03:52.0,ATL up 4 (15-11),P. Millsap makes free throw 2 of 2,ATL up 5 (16-11)
48,10/31/16,ATL,,SAC,1st,02:00.0,ATL up 7 (18-11),D. Howard makes free throw 1 of 2,ATL up 8 (19-11)
