Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,MIA,@,ORL,1st,09:13.0,MIA tied (4-4),H. Whiteside misses free throw 1 of 2,MIA tied (4-4)
2,10/26/16,MIA,@,ORL,1st,09:13.0,MIA tied (4-4),H. Whiteside misses free throw 2 of 2,MIA tied (4-4)
3,10/26/16,MIA,@,ORL,1st,06:06.0,MIA up 2 (14-12),J. Winslow makes free throw 1 of 1,MIA up 3 (15-12)
4,10/26/16,MIA,@,ORL,2nd,06:09.0,MIA down 1 (33-34),R. McGruder misses free throw 1 of 2,MIA down 1 (33-34)
5,10/26/16,MIA,@,ORL,2nd,06:09.0,MIA down 1 (33-34),R. McGruder makes free throw 2 of 2,MIA tied (34-34)
6,10/26/16,MIA,@,ORL,2nd,04:04.0,MIA down 3 (40-43),J. Johnson makes free throw 1 of 1,MIA down 2 (41-43)
7,10/26/16,MIA,@,ORL,3rd,10:49.0,MIA down 3 (50-53),D. Waiters makes free throw 1 of 2,MIA down 2 (51-53)
8,10/26/16,MIA,@,ORL,3rd,10:49.0,MIA down 2 (51-53),D. Waiters misses free throw 2 of 2,MIA down 2 (51-53)
9,10/26/16,MIA,@,ORL,3rd,03:25.0,MIA up 6 (71-65),R. McGruder makes free throw 1 of 3,MIA up 7 (72-65)
10,10/26/16,MIA,@,ORL,3rd,03:25.0,MIA up 7 (72-65),R. McGruder makes free throw 2 of 3,MIA up 8 (73-65)
11,10/26/16,MIA,@,ORL,3rd,03:25.0,MIA up 8 (73-65),R. McGruder makes free throw 3 of 3,MIA up 9 (74-65)
12,10/26/16,MIA,@,ORL,4th,11:26.0,MIA up 15 (84-69),T. Johnson makes free throw 1 of 1,MIA up 16 (85-69)
13,10/26/16,MIA,@,ORL,4th,02:14.0,MIA up 12 (102-90),G. Dragic makes free throw 1 of 2,MIA up 13 (103-90)
14,10/26/16,MIA,@,ORL,4th,02:14.0,MIA up 13 (103-90),G. Dragic makes free throw 2 of 2,MIA up 14 (104-90)
15,10/26/16,MIA,@,ORL,4th,01:41.0,MIA up 12 (104-92),H. Whiteside misses free throw 1 of 2,MIA up 12 (104-92)
16,10/26/16,MIA,@,ORL,4th,01:41.0,MIA up 12 (104-92),H. Whiteside misses free throw 2 of 2,MIA up 12 (104-92)
17,10/28/16,MIA,,CHO,1st,11:02.0,MIA up 2 (2-0),H. Whiteside makes free throw 1 of 1,MIA up 3 (3-0)
18,10/28/16,MIA,,CHO,1st,09:30.0,MIA up 4 (6-2),G. Dragic makes technical free throw,MIA up 5 (7-2)
19,10/28/16,MIA,,CHO,1st,05:27.0,MIA up 3 (14-11),T. Johnson makes free throw 1 of 2,MIA up 4 (15-11)
20,10/28/16,MIA,,CHO,1st,05:27.0,MIA up 4 (15-11),T. Johnson makes free throw 2 of 2,MIA up 5 (16-11)
21,10/28/16,MIA,,CHO,2nd,09:58.0,MIA up 1 (26-25),J. Winslow misses free throw 1 of 2,MIA up 1 (26-25)
22,10/28/16,MIA,,CHO,2nd,09:58.0,MIA up 1 (26-25),J. Winslow makes free throw 2 of 2,MIA up 2 (27-25)
23,10/28/16,MIA,,CHO,2nd,05:19.0,MIA up 8 (40-32),D. Waiters misses free throw 1 of 2,MIA up 8 (40-32)
24,10/28/16,MIA,,CHO,2nd,05:19.0,MIA up 8 (40-32),D. Waiters misses free throw 2 of 2,MIA up 8 (40-32)
25,10/28/16,MIA,,CHO,2nd,04:33.0,MIA up 9 (43-34),H. Whiteside misses free throw 1 of 2,MIA up 9 (43-34)
26,10/28/16,MIA,,CHO,2nd,04:33.0,MIA up 9 (43-34),H. Whiteside makes free throw 2 of 2,MIA up 10 (44-34)
27,10/28/16,MIA,,CHO,2nd,02:24.0,MIA up 9 (48-39),G. Dragic makes free throw 1 of 1,MIA up 10 (49-39)
