Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,4/11/17,CHO,@,ATL,4th,01:25.0,CHO down 31 (72-103),J. Lamb makes free throw 2 of 2,CHO down 30 (73-103)
2,4/11/17,CHO,@,ATL,4th,01:25.0,CHO down 32 (71-103),J. Lamb makes free throw 1 of 2,CHO down 31 (72-103)
3,4/11/17,CHO,@,ATL,4th,09:31.0,CHO down 23 (63-86),C. Wood misses free throw 2 of 2,CHO down 23 (63-86)
4,4/11/17,CHO,@,ATL,4th,09:31.0,CHO down 23 (63-86),C. Wood misses free throw 1 of 2,CHO down 23 (63-86)
5,4/11/17,CHO,@,ATL,3rd,05:58.0,CHO down 27 (50-77),J. Lamb makes free throw 3 of 3,CHO down 26 (51-77)
6,4/11/17,CHO,@,ATL,3rd,05:58.0,CHO down 28 (49-77),J. Lamb makes free throw 2 of 3,CHO down 27 (50-77)
7,4/11/17,CHO,@,ATL,3rd,05:58.0,CHO down 29 (48-77),J. Lamb makes free throw 1 of 3,CHO down 28 (49-77)
8,4/11/17,CHO,@,ATL,2nd,04:47.0,CHO down 18 (38-56),J. Lamb makes technical free throw,CHO down 17 (39-56)
9,4/11/17,CHO,@,ATL,2nd,08:10.0,CHO down 19 (31-50),F. Kaminsky misses free throw 1 of 1,CHO down 19 (31-50)
10,4/11/17,CHO,@,ATL,2nd,11:02.0,CHO down 11 (29-40),B. Weber misses free throw 2 of 2,CHO down 11 (29-40)
11,4/11/17,CHO,@,ATL,2nd,11:02.0,CHO down 12 (28-40),B. Weber makes free throw 1 of 2,CHO down 11 (29-40)
12,4/11/17,CHO,@,ATL,1st,03:02.0,CHO down 6 (19-25),B. Weber makes free throw 2 of 2,CHO down 5 (20-25)
13,4/11/17,CHO,@,ATL,1st,03:02.0,CHO down 7 (18-25),B. Weber makes free throw 1 of 2,CHO down 6 (19-25)
14,4/11/17,CHO,@,ATL,1st,04:14.0,CHO down 2 (17-19),C. Zeller makes free throw 2 of 2,CHO down 1 (18-19)
