Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/25/16,UTA,@,POR,1st,10:39.0,UTA down 4 (2-6),R. Hood makes free throw 1 of 2,UTA down 3 (3-6)
2,10/25/16,UTA,@,POR,1st,10:39.0,UTA down 3 (3-6),R. Hood makes free throw 2 of 2,UTA down 2 (4-6)
3,10/25/16,UTA,@,POR,1st,08:41.0,UTA up 1 (9-8),G. Hill makes free throw 1 of 2,UTA up 2 (10-8)
4,10/25/16,UTA,@,POR,1st,08:41.0,UTA up 2 (10-8),G. Hill makes free throw 2 of 2,UTA up 3 (11-8)
5,10/25/16,UTA,@,POR,1st,08:12.0,UTA up 3 (11-8),R. Gobert makes free throw 1 of 2,UTA up 4 (12-8)
6,10/25/16,UTA,@,POR,1st,08:12.0,UTA up 4 (12-8),R. Gobert makes free throw 2 of 2,UTA up 5 (13-8)
7,10/25/16,UTA,@,POR,1st,02:55.0,UTA up 1 (23-22),R. Hood makes free throw 1 of 1,UTA up 2 (24-22)
8,10/25/16,UTA,@,POR,2nd,02:39.0,UTA down 8 (37-45),G. Hill makes technical free throw,UTA down 7 (38-45)
9,10/25/16,UTA,@,POR,3rd,10:19.0,UTA down 8 (51-59),J. Johnson makes free throw 1 of 1,UTA down 7 (52-59)
10,10/25/16,UTA,@,POR,3rd,09:24.0,UTA down 5 (54-59),R. Gobert makes free throw 1 of 2,UTA down 4 (55-59)
11,10/25/16,UTA,@,POR,3rd,09:24.0,UTA down 4 (55-59),R. Gobert makes free throw 2 of 2,UTA down 3 (56-59)
12,10/25/16,UTA,@,POR,3rd,09:02.0,UTA down 5 (56-61),G. Hill makes technical free throw,UTA down 4 (57-61)
13,10/25/16,UTA,@,POR,4th,09:14.0,UTA up 2 (87-85),D. Exum makes free throw 1 of 1,UTA up 3 (88-85)
14,10/25/16,UTA,@,POR,4th,04:24.0,UTA up 2 (101-99),J. Johnson makes free throw 1 of 1,UTA up 3 (102-99)
15,10/25/16,UTA,@,POR,4th,00:27.0,UTA down 7 (102-109),R. Hood makes free throw 1 of 2,UTA down 6 (103-109)
16,10/25/16,UTA,@,POR,4th,00:27.0,UTA down 6 (103-109),R. Hood makes free throw 2 of 2,UTA down 5 (104-109)
17,10/28/16,UTA,,LAL,1st,03:50.0,UTA down 1 (20-21),D. Exum makes free throw 1 of 2,UTA tied (21-21)
18,10/28/16,UTA,,LAL,1st,03:50.0,UTA tied (21-21),D. Exum makes free throw 2 of 2,UTA up 1 (22-21)
19,10/28/16,UTA,,LAL,1st,02:54.0,UTA up 1 (24-23),D. Favors misses free throw 1 of 2,UTA up 1 (24-23)
20,10/28/16,UTA,,LAL,1st,02:54.0,UTA up 1 (24-23),D. Favors makes free throw 2 of 2,UTA up 2 (25-23)
21,10/28/16,UTA,,LAL,1st,00:06.0,UTA tied (27-27),D. Favors misses free throw 1 of 2,UTA tied (27-27)
22,10/28/16,UTA,,LAL,1st,00:06.0,UTA tied (27-27),D. Favors makes free throw 2 of 2,UTA up 1 (28-27)
23,10/28/16,UTA,,LAL,2nd,09:16.0,UTA up 1 (30-29),T. Lyles makes free throw 1 of 1,UTA up 2 (31-29)
24,10/28/16,UTA,,LAL,2nd,07:08.0,UTA up 1 (35-34),R. Gobert misses free throw 1 of 2,UTA up 1 (35-34)
25,10/28/16,UTA,,LAL,2nd,07:08.0,UTA up 1 (35-34),R. Gobert makes free throw 2 of 2,UTA up 2 (36-34)
26,10/28/16,UTA,,LAL,2nd,04:16.0,UTA down 4 (36-40),G. Hill makes free throw 1 of 2,UTA down 3 (37-40)
27,10/28/16,UTA,,LAL,2nd,04:16.0,UTA down 3 (37-40),G. Hill makes free throw 2 of 2,UTA down 2 (38-40)
28,10/28/16,UTA,,LAL,2nd,03:19.0,UTA down 2 (40-42),G. Hill makes free throw 1 of 1,UTA down 1 (41-42)
29,10/28/16,UTA,,LAL,2nd,02:42.0,UTA up 1 (43-42),G. Hill makes technical free throw,UTA up 2 (44-42)
30,10/28/16,UTA,,LAL,2nd,02:04.0,UTA up 4 (46-42),D. Favors makes free throw 1 of 1,UTA up 5 (47-42)
31,10/28/16,UTA,,LAL,2nd,00:36.0,UTA up 4 (47-43),D. Favors makes free throw 1 of 2,UTA up 5 (48-43)
32,10/28/16,UTA,,LAL,2nd,00:36.0,UTA up 5 (48-43),D. Favors misses free throw 2 of 2,UTA up 5 (48-43)
33,10/28/16,UTA,,LAL,3rd,10:38.0,UTA up 5 (48-43),R. Gobert makes free throw 1 of 2,UTA up 6 (49-43)
34,10/28/16,UTA,,LAL,3rd,10:38.0,UTA up 6 (49-43),R. Gobert misses free throw 2 of 2,UTA up 6 (49-43)
35,10/28/16,UTA,,LAL,3rd,09:00.0,UTA up 8 (51-43),R. Hood misses technical free throw,UTA up 8 (51-43)
36,10/28/16,UTA,,LAL,3rd,08:57.0,UTA up 8 (51-43),R. Gobert misses free throw 1 of 2,UTA up 8 (51-43)
37,10/28/16,UTA,,LAL,3rd,08:57.0,UTA up 8 (51-43),R. Gobert makes free throw 2 of 2,UTA up 9 (52-43)
38,10/28/16,UTA,,LAL,3rd,05:22.0,UTA up 7 (57-50),J. Johnson makes free throw 1 of 2,UTA up 8 (58-50)
39,10/28/16,UTA,,LAL,3rd,05:22.0,UTA up 8 (58-50),J. Johnson makes free throw 2 of 2,UTA up 9 (59-50)
40,10/28/16,UTA,,LAL,3rd,02:28.0,UTA up 4 (61-57),R. Hood makes free throw 1 of 2,UTA up 5 (62-57)
41,10/28/16,UTA,,LAL,3rd,02:28.0,UTA up 5 (62-57),R. Hood misses free throw 2 of 2,UTA up 5 (62-57)
42,10/28/16,UTA,,LAL,3rd,00:01.0,UTA down 1 (64-65),D. Favors misses free throw 1 of 2,UTA down 1 (64-65)
43,10/28/16,UTA,,LAL,3rd,00:01.0,UTA down 1 (64-65),D. Favors makes free throw 2 of 2,UTA tied (65-65)
44,10/28/16,UTA,,LAL,4th,09:46.0,UTA up 1 (68-67),D. Favors makes free throw 1 of 2,UTA up 2 (69-67)
45,10/28/16,UTA,,LAL,4th,09:46.0,UTA up 2 (69-67),D. Favors makes free throw 2 of 2,UTA up 3 (70-67)
46,10/28/16,UTA,,LAL,4th,07:39.0,UTA down 4 (72-76),R. Hood makes free throw 1 of 2,UTA down 3 (73-76)
47,10/28/16,UTA,,LAL,4th,07:39.0,UTA down 3 (73-76),R. Hood makes free throw 2 of 2,UTA down 2 (74-76)
48,10/28/16,UTA,,LAL,4th,04:08.0,UTA up 4 (85-81),G. Hill misses free throw 1 of 1,UTA up 4 (85-81)
49,10/28/16,UTA,,LAL,4th,02:50.0,UTA up 6 (87-81),G. Hill misses free throw 1 of 2,UTA up 6 (87-81)
50,10/28/16,UTA,,LAL,4th,02:50.0,UTA up 6 (87-81),G. Hill makes free throw 2 of 2,UTA up 7 (88-81)
51,10/28/16,UTA,,LAL,4th,00:34.0,UTA up 4 (91-87),G. Hill makes free throw 1 of 2,UTA up 5 (92-87)
52,10/28/16,UTA,,LAL,4th,00:34.0,UTA up 5 (92-87),G. Hill makes free throw 2 of 2,UTA up 6 (93-87)
53,10/28/16,UTA,,LAL,4th,00:23.0,UTA up 4 (93-89),S. Mack misses free throw 1 of 2,UTA up 4 (93-89)
54,10/28/16,UTA,,LAL,4th,00:23.0,UTA up 4 (93-89),S. Mack makes free throw 2 of 2,UTA up 5 (94-89)
55,10/28/16,UTA,,LAL,4th,00:05.0,UTA up 5 (94-89),R. Gobert makes free throw 1 of 2,UTA up 6 (95-89)
56,10/28/16,UTA,,LAL,4th,00:05.0,UTA up 6 (95-89),R. Gobert makes free throw 2 of 2,UTA up 7 (96-89)
57,10/30/16,UTA,@,LAC,1st,07:47.0,UTA down 4 (5-9),R. Gobert makes free throw 1 of 2,UTA down 3 (6-9)
58,10/30/16,UTA,@,LAC,1st,07:47.0,UTA down 3 (6-9),R. Gobert makes free throw 2 of 2,UTA down 2 (7-9)
59,10/30/16,UTA,@,LAC,1st,03:44.0,UTA up 4 (17-13),D. Favors makes free throw 1 of 2,UTA up 5 (18-13)
60,10/30/16,UTA,@,LAC,1st,03:44.0,UTA up 5 (18-13),D. Favors misses free throw 2 of 2,UTA up 5 (18-13)
61,10/30/16,UTA,@,LAC,1st,02:09.0,UTA up 1 (18-17),D. Favors makes free throw 1 of 2,UTA up 2 (19-17)
62,10/30/16,UTA,@,LAC,1st,02:09.0,UTA up 2 (19-17),D. Favors makes free throw 2 of 2,UTA up 3 (20-17)
63,10/30/16,UTA,@,LAC,2nd,02:23.0,UTA down 1 (35-36),R. Hood misses free throw 1 of 1,UTA down 1 (35-36)
64,10/30/16,UTA,@,LAC,3rd,01:20.0,UTA down 10 (54-64),D. Exum makes free throw 1 of 2,UTA down 9 (55-64)
65,10/30/16,UTA,@,LAC,3rd,01:20.0,UTA down 9 (55-64),D. Exum makes free throw 2 of 2,UTA down 8 (56-64)
66,10/30/16,UTA,@,LAC,4th,02:03.0,UTA down 20 (68-88),D. Exum makes free throw 1 of 2,UTA down 19 (69-88)
67,10/30/16,UTA,@,LAC,4th,02:03.0,UTA down 19 (69-88),D. Exum makes free throw 2 of 2,UTA down 18 (70-88)
68,10/30/16,UTA,@,LAC,4th,00:02.0,UTA down 14 (74-88),J. Bolomboy makes free throw 1 of 2,UTA down 13 (75-88)
69,10/30/16,UTA,@,LAC,4th,00:02.0,UTA down 13 (75-88),J. Bolomboy misses free throw 2 of 2,UTA down 13 (75-88)
70,11/1/16,UTA,@,SAS,1st,07:43.0,UTA up 1 (10-9),R. Hood makes free throw 1 of 2,UTA up 2 (11-9)
71,11/1/16,UTA,@,SAS,1st,07:43.0,UTA up 2 (11-9),R. Hood makes free throw 2 of 2,UTA up 3 (12-9)
72,11/1/16,UTA,@,SAS,1st,01:59.0,UTA up 10 (29-19),R. Hood makes technical free throw,UTA up 11 (30-19)
73,11/1/16,UTA,@,SAS,1st,00:33.0,UTA up 7 (33-26),J. Withey makes free throw 1 of 2,UTA up 8 (34-26)
74,11/1/16,UTA,@,SAS,1st,00:33.0,UTA up 8 (34-26),J. Withey makes free throw 2 of 2,UTA up 9 (35-26)
75,11/1/16,UTA,@,SAS,2nd,10:53.0,UTA up 9 (40-31),J. Withey makes free throw 1 of 2,UTA up 10 (41-31)
76,11/1/16,UTA,@,SAS,2nd,10:53.0,UTA up 10 (41-31),J. Withey makes free throw 2 of 2,UTA up 11 (42-31)
77,11/1/16,UTA,@,SAS,2nd,03:19.0,UTA up 1 (47-46),R. Gobert misses free throw 1 of 2,UTA up 1 (47-46)
78,11/1/16,UTA,@,SAS,2nd,03:19.0,UTA up 1 (47-46),R. Gobert makes free throw 2 of 2,UTA up 2 (48-46)
79,11/1/16,UTA,@,SAS,2nd,01:05.0,UTA up 3 (53-50),R. Gobert misses free throw 1 of 2,UTA up 3 (53-50)
80,11/1/16,UTA,@,SAS,2nd,01:05.0,UTA up 3 (53-50),R. Gobert makes free throw 2 of 2,UTA up 4 (54-50)
81,11/1/16,UTA,@,SAS,3rd,03:43.0,UTA up 4 (67-63),T. Lyles makes free throw 1 of 1,UTA up 5 (68-63)
82,11/1/16,UTA,@,SAS,3rd,00:44.0,UTA up 3 (72-69),D. Exum makes free throw 1 of 1,UTA up 4 (73-69)
83,11/1/16,UTA,@,SAS,4th,11:29.0,UTA up 2 (73-71),D. Exum misses free throw 1 of 2,UTA up 2 (73-71)
84,11/1/16,UTA,@,SAS,4th,11:29.0,UTA up 2 (73-71),D. Exum makes free throw 2 of 2,UTA up 3 (74-71)
85,11/1/16,UTA,@,SAS,4th,04:05.0,UTA up 7 (95-88),G. Hill makes free throw 1 of 1,UTA up 8 (96-88)
86,11/1/16,UTA,@,SAS,4th,00:45.0,UTA up 10 (101-91),R. Gobert makes free throw 1 of 2,UTA up 11 (102-91)
87,11/1/16,UTA,@,SAS,4th,00:45.0,UTA up 11 (102-91),R. Gobert makes free throw 2 of 2,UTA up 12 (103-91)
