Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,SAC,@,PHO,1st,09:07.0,SAC tied (4-4),T. Lawson makes free throw 1 of 2,SAC up 1 (5-4)
2,10/26/16,SAC,@,PHO,1st,09:07.0,SAC up 1 (5-4),T. Lawson makes free throw 2 of 2,SAC up 2 (6-4)
3,10/26/16,SAC,@,PHO,1st,07:28.0,SAC up 1 (9-8),D. Cousins makes free throw 1 of 2,SAC up 2 (10-8)
4,10/26/16,SAC,@,PHO,1st,07:28.0,SAC up 2 (10-8),D. Cousins makes free throw 2 of 2,SAC up 3 (11-8)
5,10/26/16,SAC,@,PHO,1st,05:05.0,SAC down 3 (11-14),R. Gay makes technical free throw,SAC down 2 (12-14)
6,10/26/16,SAC,@,PHO,1st,00:57.0,SAC up 6 (24-18),B. McLemore misses free throw 1 of 1,SAC up 6 (24-18)
7,10/26/16,SAC,@,PHO,2nd,07:30.0,SAC up 16 (40-24),K. Koufos misses free throw 1 of 1,SAC up 16 (40-24)
8,10/26/16,SAC,@,PHO,2nd,03:28.0,SAC up 17 (49-32),R. Gay makes free throw 1 of 1,SAC up 18 (50-32)
9,10/26/16,SAC,@,PHO,2nd,01:08.0,SAC up 16 (54-38),D. Cousins makes free throw 1 of 2,SAC up 17 (55-38)
10,10/26/16,SAC,@,PHO,2nd,01:08.0,SAC up 17 (55-38),D. Cousins misses free throw 2 of 2,SAC up 17 (55-38)
11,10/26/16,SAC,@,PHO,3rd,10:34.0,SAC up 20 (59-39),D. Cousins makes free throw 1 of 1,SAC up 21 (60-39)
12,10/26/16,SAC,@,PHO,3rd,08:21.0,SAC up 19 (62-43),A. Afflalo makes free throw 1 of 2,SAC up 20 (63-43)
13,10/26/16,SAC,@,PHO,3rd,08:21.0,SAC up 20 (63-43),A. Afflalo makes free throw 2 of 2,SAC up 21 (64-43)
14,10/26/16,SAC,@,PHO,3rd,07:23.0,SAC up 21 (66-45),D. Cousins makes free throw 1 of 1,SAC up 22 (67-45)
15,10/26/16,SAC,@,PHO,3rd,06:55.0,SAC up 19 (67-48),R. Gay misses free throw 1 of 2,SAC up 19 (67-48)
16,10/26/16,SAC,@,PHO,3rd,06:55.0,SAC up 19 (67-48),R. Gay makes free throw 2 of 2,SAC up 20 (68-48)
17,10/26/16,SAC,@,PHO,3rd,05:37.0,SAC up 18 (70-52),D. Cousins misses flagrant free throw 1 of 2,SAC up 18 (70-52)
18,10/26/16,SAC,@,PHO,3rd,05:37.0,SAC up 18 (70-52),D. Cousins misses flagrant free throw 2 of 2,SAC up 18 (70-52)
19,10/26/16,SAC,@,PHO,3rd,04:31.0,SAC up 20 (74-54),D. Cousins makes free throw 1 of 2,SAC up 21 (75-54)
20,10/26/16,SAC,@,PHO,3rd,04:31.0,SAC up 21 (75-54),D. Cousins makes free throw 2 of 2,SAC up 22 (76-54)
21,10/26/16,SAC,@,PHO,3rd,03:21.0,SAC up 24 (78-54),D. Cousins makes free throw 1 of 2,SAC up 25 (79-54)
22,10/26/16,SAC,@,PHO,3rd,03:21.0,SAC up 25 (79-54),D. Cousins makes free throw 2 of 2,SAC up 26 (80-54)
23,10/26/16,SAC,@,PHO,4th,04:20.0,SAC up 17 (98-81),D. Cousins makes free throw 1 of 2,SAC up 18 (99-81)
24,10/26/16,SAC,@,PHO,4th,04:20.0,SAC up 18 (99-81),D. Cousins makes free throw 2 of 2,SAC up 19 (100-81)
25,10/26/16,SAC,@,PHO,4th,02:42.0,SAC up 24 (107-83),D. Cousins makes free throw 1 of 2,SAC up 25 (108-83)
26,10/26/16,SAC,@,PHO,4th,02:42.0,SAC up 25 (108-83),D. Cousins misses free throw 2 of 2,SAC up 25 (108-83)
27,10/27/16,SAC,,SAS,1st,08:50.0,SAC up 2 (4-2),D. Cousins makes free throw 1 of 2,SAC up 3 (5-2)
28,10/27/16,SAC,,SAS,1st,08:50.0,SAC up 3 (5-2),D. Cousins makes free throw 2 of 2,SAC up 4 (6-2)
29,10/27/16,SAC,,SAS,1st,07:28.0,SAC up 6 (10-4),R. Gay makes free throw 1 of 2,SAC up 7 (11-4)
30,10/27/16,SAC,,SAS,1st,07:28.0,SAC up 7 (11-4),R. Gay makes free throw 2 of 2,SAC up 8 (12-4)
