Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/25/16,NYK,@,CLE,1st,09:44.0,NYK tied (4-4),K. Porzingis makes free throw 1 of 2,NYK up 1 (5-4)
2,10/25/16,NYK,@,CLE,1st,09:44.0,NYK up 1 (5-4),K. Porzingis misses free throw 2 of 2,NYK up 1 (5-4)
3,10/25/16,NYK,@,CLE,1st,00:51.0,NYK down 8 (16-24),B. Jennings makes free throw 1 of 2,NYK down 7 (17-24)
4,10/25/16,NYK,@,CLE,1st,00:51.0,NYK down 7 (17-24),B. Jennings makes free throw 2 of 2,NYK down 6 (18-24)
5,10/25/16,NYK,@,CLE,2nd,09:36.0,NYK down 12 (20-32),B. Jennings makes free throw 1 of 2,NYK down 11 (21-32)
6,10/25/16,NYK,@,CLE,2nd,09:36.0,NYK down 11 (21-32),B. Jennings makes free throw 2 of 2,NYK down 10 (22-32)
7,10/25/16,NYK,@,CLE,2nd,03:17.0,NYK down 3 (41-44),K. Porzingis makes free throw 1 of 2,NYK down 2 (42-44)
8,10/25/16,NYK,@,CLE,2nd,03:17.0,NYK down 2 (42-44),K. Porzingis misses free throw 2 of 2,NYK down 2 (42-44)
9,10/25/16,NYK,@,CLE,2nd,00:38.0,NYK down 2 (44-46),K. Porzingis makes free throw 1 of 2,NYK down 1 (45-46)
10,10/25/16,NYK,@,CLE,2nd,00:38.0,NYK down 1 (45-46),K. Porzingis misses free throw 2 of 2,NYK down 1 (45-46)
11,10/25/16,NYK,@,CLE,3rd,06:21.0,NYK down 12 (49-61),C. Anthony makes free throw 1 of 2,NYK down 11 (50-61)
12,10/25/16,NYK,@,CLE,3rd,06:21.0,NYK down 11 (50-61),C. Anthony makes free throw 2 of 2,NYK down 10 (51-61)
13,10/25/16,NYK,@,CLE,3rd,02:57.0,NYK down 19 (55-74),J. Holiday makes free throw 1 of 2,NYK down 18 (56-74)
14,10/25/16,NYK,@,CLE,3rd,02:57.0,NYK down 18 (56-74),J. Holiday makes free throw 2 of 2,NYK down 17 (57-74)
15,10/25/16,NYK,@,CLE,3rd,00:30.0,NYK down 17 (63-80),B. Jennings makes free throw 1 of 2,NYK down 16 (64-80)
16,10/25/16,NYK,@,CLE,3rd,00:30.0,NYK down 16 (64-80),B. Jennings misses free throw 2 of 2,NYK down 16 (64-80)
17,10/25/16,NYK,@,CLE,4th,09:56.0,NYK down 15 (69-84),D. Rose makes free throw 1 of 2,NYK down 14 (70-84)
18,10/25/16,NYK,@,CLE,4th,09:56.0,NYK down 14 (70-84),D. Rose makes free throw 2 of 2,NYK down 13 (71-84)
19,10/25/16,NYK,@,CLE,4th,01:08.0,NYK down 31 (84-115),S. Vujacic misses free throw 1 of 2,NYK down 31 (84-115)
20,10/25/16,NYK,@,CLE,4th,01:08.0,NYK down 31 (84-115),S. Vujacic makes free throw 2 of 2,NYK down 30 (85-115)
21,10/29/16,NYK,,MEM,1st,10:35.0,NYK up 2 (4-2),K. Porzingis makes free throw 1 of 2,NYK up 3 (5-2)
22,10/29/16,NYK,,MEM,1st,10:35.0,NYK up 3 (5-2),K. Porzingis makes free throw 2 of 2,NYK up 4 (6-2)
23,10/29/16,NYK,,MEM,1st,05:52.0,NYK up 9 (18-9),J. Noah misses free throw 1 of 2,NYK up 9 (18-9)
24,10/29/16,NYK,,MEM,1st,05:52.0,NYK up 9 (18-9),J. Noah misses free throw 2 of 2,NYK up 9 (18-9)
