Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,LAL,,HOU,1st,05:14.0,LAL up 3 (25-22),D. Russell makes free throw 1 of 1,LAL up 4 (26-22)
2,10/26/16,LAL,,HOU,2nd,10:25.0,LAL down 4 (38-42),L. Nance makes free throw 1 of 2,LAL down 3 (39-42)
3,10/26/16,LAL,,HOU,2nd,10:25.0,LAL down 3 (39-42),L. Nance misses free throw 2 of 2,LAL down 3 (39-42)
4,10/26/16,LAL,,HOU,2nd,09:18.0,LAL down 5 (41-46),L. Williams misses free throw 1 of 3,LAL down 5 (41-46)
5,10/26/16,LAL,,HOU,2nd,09:18.0,LAL down 5 (41-46),L. Williams makes free throw 2 of 3,LAL down 4 (42-46)
6,10/26/16,LAL,,HOU,2nd,09:18.0,LAL down 4 (42-46),L. Williams makes free throw 3 of 3,LAL down 3 (43-46)
7,10/26/16,LAL,,HOU,2nd,08:37.0,LAL down 1 (45-46),L. Williams makes free throw 1 of 2,LAL tied (46-46)
8,10/26/16,LAL,,HOU,2nd,08:37.0,LAL tied (46-46),L. Williams makes free throw 2 of 2,LAL up 1 (47-46)
9,10/26/16,LAL,,HOU,2nd,03:16.0,LAL down 4 (57-61),J. Randle misses free throw 1 of 1,LAL down 4 (57-61)
10,10/26/16,LAL,,HOU,3rd,03:19.0,LAL down 4 (81-85),J. Clarkson makes free throw 1 of 2,LAL down 3 (82-85)
11,10/26/16,LAL,,HOU,3rd,03:19.0,LAL down 3 (82-85),J. Clarkson makes free throw 2 of 2,LAL down 2 (83-85)
12,10/26/16,LAL,,HOU,4th,09:42.0,LAL down 4 (94-98),L. Williams makes free throw 1 of 2,LAL down 3 (95-98)
13,10/26/16,LAL,,HOU,4th,09:42.0,LAL down 3 (95-98),L. Williams makes free throw 2 of 2,LAL down 2 (96-98)
14,10/26/16,LAL,,HOU,4th,09:14.0,LAL down 2 (96-98),T. Black makes free throw 1 of 2,LAL down 1 (97-98)
15,10/26/16,LAL,,HOU,4th,09:14.0,LAL down 1 (97-98),T. Black makes free throw 2 of 2,LAL tied (98-98)
16,10/26/16,LAL,,HOU,4th,08:31.0,LAL down 2 (98-100),J. Clarkson makes free throw 1 of 2,LAL down 1 (99-100)
17,10/26/16,LAL,,HOU,4th,08:31.0,LAL down 1 (99-100),J. Clarkson makes free throw 2 of 2,LAL tied (100-100)
18,10/26/16,LAL,,HOU,4th,07:12.0,LAL up 3 (105-102),J. Clarkson makes free throw 1 of 1,LAL up 4 (106-102)
19,10/26/16,LAL,,HOU,4th,06:41.0,LAL up 2 (106-104),J. Clarkson makes free throw 1 of 2,LAL up 3 (107-104)
20,10/26/16,LAL,,HOU,4th,06:41.0,LAL up 3 (107-104),J. Clarkson makes free throw 2 of 2,LAL up 4 (108-104)
21,10/26/16,LAL,,HOU,4th,02:47.0,LAL tied (112-112),D. Russell misses free throw 1 of 2,LAL tied (112-112)
22,10/26/16,LAL,,HOU,4th,02:47.0,LAL tied (112-112),D. Russell makes free throw 2 of 2,LAL up 1 (113-112)
23,10/28/16,LAL,@,UTA,1st,09:37.0,LAL down 1 (4-5),N. Young makes free throw 1 of 3,LAL tied (5-5)
24,10/28/16,LAL,@,UTA,1st,09:37.0,LAL tied (5-5),N. Young makes free throw 2 of 3,LAL up 1 (6-5)
25,10/28/16,LAL,@,UTA,1st,09:37.0,LAL up 1 (6-5),N. Young makes free throw 3 of 3,LAL up 2 (7-5)
26,10/28/16,LAL,@,UTA,1st,03:57.0,LAL tied (20-20),D. Russell misses free throw 1 of 2,LAL tied (20-20)
27,10/28/16,LAL,@,UTA,1st,03:57.0,LAL tied (20-20),D. Russell makes free throw 2 of 2,LAL up 1 (21-20)
28,10/28/16,LAL,@,UTA,1st,00:28.0,LAL tied (27-27),L. Nance misses free throw 1 of 1,LAL tied (27-27)
29,10/28/16,LAL,@,UTA,2nd,08:12.0,LAL tied (33-33),T. Mozgov makes free throw 1 of 1,LAL up 1 (34-33)
30,10/28/16,LAL,@,UTA,2nd,05:56.0,LAL tied (36-36),T. Mozgov makes free throw 1 of 2,LAL up 1 (37-36)
31,10/28/16,LAL,@,UTA,2nd,05:56.0,LAL up 1 (37-36),T. Mozgov makes free throw 2 of 2,LAL up 2 (38-36)
32,10/28/16,LAL,@,UTA,2nd,05:33.0,LAL up 2 (38-36),D. Russell misses free throw 1 of 2,LAL up 2 (38-36)
33,10/28/16,LAL,@,UTA,2nd,05:33.0,LAL up 2 (38-36),D. Russell misses free throw 2 of 2,LAL up 2 (38-36)
34,10/28/16,LAL,@,UTA,2nd,04:38.0,LAL up 2 (38-36),T. Mozgov makes free throw 1 of 2,LAL up 3 (39-36)
35,10/28/16,LAL,@,UTA,2nd,04:38.0,LAL up 3 (39-36),T. Mozgov makes free throw 2 of 2,LAL up 4 (40-36)
36,10/28/16,LAL,@,UTA,2nd,01:44.0,LAL down 5 (42-47),T. Mozgov makes free throw 1 of 2,LAL down 4 (43-47)
37,10/28/16,LAL,@,UTA,2nd,01:44.0,LAL down 4 (43-47),T. Mozgov misses free throw 2 of 2,LAL down 4 (43-47)
38,10/28/16,LAL,@,UTA,3rd,08:21.0,LAL down 11 (43-54),D. Russell makes technical free throw,LAL down 10 (44-54)
39,10/28/16,LAL,@,UTA,4th,04:55.0,LAL down 7 (76-83),N. Young makes free throw 1 of 3,LAL down 6 (77-83)
40,10/28/16,LAL,@,UTA,4th,04:55.0,LAL down 6 (77-83),N. Young makes free throw 2 of 3,LAL down 5 (78-83)
41,10/28/16,LAL,@,UTA,4th,04:55.0,LAL down 5 (78-83),N. Young makes free throw 3 of 3,LAL down 4 (79-83)
42,10/28/16,LAL,@,UTA,4th,02:37.0,LAL down 7 (81-88),L. Williams makes free throw 1 of 2,LAL down 6 (82-88)
43,10/28/16,LAL,@,UTA,4th,02:37.0,LAL down 6 (82-88),L. Williams makes free throw 2 of 2,LAL down 5 (83-88)
44,10/30/16,LAL,@,OKC,1st,11:23.0,LAL tied (2-2),J. Randle makes free throw 1 of 1,LAL up 1 (3-2)
45,10/30/16,LAL,@,OKC,1st,09:12.0,LAL up 2 (10-8),J. Randle makes free throw 1 of 1,LAL up 3 (11-8)
46,10/30/16,LAL,@,OKC,2nd,07:42.0,LAL down 7 (30-37),L. Williams misses free throw 1 of 2,LAL down 7 (30-37)
47,10/30/16,LAL,@,OKC,2nd,07:42.0,LAL down 7 (30-37),L. Williams makes free throw 2 of 2,LAL down 6 (31-37)
48,10/30/16,LAL,@,OKC,2nd,04:38.0,LAL down 9 (38-47),J. Randle makes free throw 1 of 1,LAL down 8 (39-47)
49,10/30/16,LAL,@,OKC,2nd,03:27.0,LAL down 8 (42-50),J. Randle makes free throw 1 of 2,LAL down 7 (43-50)
50,10/30/16,LAL,@,OKC,2nd,03:27.0,LAL down 7 (43-50),J. Randle misses free throw 2 of 2,LAL down 7 (43-50)
51,10/30/16,LAL,@,OKC,3rd,08:48.0,LAL down 13 (50-63),N. Young makes free throw 1 of 2,LAL down 12 (51-63)
52,10/30/16,LAL,@,OKC,3rd,08:48.0,LAL down 12 (51-63),N. Young makes free throw 2 of 2,LAL down 11 (52-63)
53,10/30/16,LAL,@,OKC,3rd,08:35.0,LAL down 11 (52-63),J. Randle makes free throw 1 of 2,LAL down 10 (53-63)
54,10/30/16,LAL,@,OKC,3rd,08:35.0,LAL down 10 (53-63),J. Randle makes free throw 2 of 2,LAL down 9 (54-63)
55,10/30/16,LAL,@,OKC,3rd,00:42.0,LAL down 8 (67-75),B. Ingram makes free throw 1 of 2,LAL down 7 (68-75)
56,10/30/16,LAL,@,OKC,3rd,00:42.0,LAL down 7 (68-75),B. Ingram makes free throw 2 of 2,LAL down 6 (69-75)
57,10/30/16,LAL,@,OKC,4th,10:58.0,LAL down 10 (71-81),L. Williams makes free throw 1 of 2,LAL down 9 (72-81)
58,10/30/16,LAL,@,OKC,4th,10:58.0,LAL down 9 (72-81),L. Williams makes free throw 2 of 2,LAL down 8 (73-81)
59,10/30/16,LAL,@,OKC,4th,06:21.0,LAL down 13 (79-92),D. Russell makes free throw 1 of 2,LAL down 12 (80-92)
60,10/30/16,LAL,@,OKC,4th,06:21.0,LAL down 12 (80-92),D. Russell makes free throw 2 of 2,LAL down 11 (81-92)
61,10/30/16,LAL,@,OKC,4th,04:52.0,LAL down 10 (85-95),N. Young makes free throw 1 of 3,LAL down 9 (86-95)
62,10/30/16,LAL,@,OKC,4th,04:52.0,LAL down 9 (86-95),N. Young makes free throw 2 of 3,LAL down 8 (87-95)
63,10/30/16,LAL,@,OKC,4th,04:52.0,LAL down 8 (87-95),N. Young makes free throw 3 of 3,LAL down 7 (88-95)
64,10/30/16,LAL,@,OKC,4th,03:07.0,LAL down 12 (91-103),J. Randle misses free throw 1 of 2,LAL down 12 (91-103)
65,10/30/16,LAL,@,OKC,4th,03:07.0,LAL down 12 (91-103),J. Randle misses free throw 2 of 2,LAL down 12 (91-103)
66,10/30/16,LAL,@,OKC,4th,01:07.0,LAL down 15 (93-108),B. Ingram makes free throw 1 of 2,LAL down 14 (94-108)
67,10/30/16,LAL,@,OKC,4th,01:07.0,LAL down 14 (94-108),B. Ingram misses free throw 2 of 2,LAL down 14 (94-108)
68,11/1/16,LAL,@,IND,1st,07:17.0,LAL down 2 (8-10),J. Randle makes free throw 1 of 1,LAL down 1 (9-10)
69,11/1/16,LAL,@,IND,2nd,10:52.0,LAL down 8 (21-29),L. Williams makes free throw 1 of 1,LAL down 7 (22-29)
70,11/1/16,LAL,@,IND,2nd,09:15.0,LAL down 6 (26-32),T. Black makes free throw 1 of 2,LAL down 5 (27-32)
71,11/1/16,LAL,@,IND,2nd,09:15.0,LAL down 5 (27-32),T. Black makes free throw 2 of 2,LAL down 4 (28-32)
72,11/1/16,LAL,@,IND,2nd,06:13.0,LAL down 10 (34-44),J. Randle makes free throw 1 of 2,LAL down 9 (35-44)
73,11/1/16,LAL,@,IND,2nd,06:13.0,LAL down 9 (35-44),J. Randle makes free throw 2 of 2,LAL down 8 (36-44)
74,11/1/16,LAL,@,IND,2nd,05:47.0,LAL down 9 (36-45),D. Russell makes free throw 1 of 2,LAL down 8 (37-45)
75,11/1/16,LAL,@,IND,2nd,05:47.0,LAL down 8 (37-45),D. Russell makes free throw 2 of 2,LAL down 7 (38-45)
76,11/1/16,LAL,@,IND,2nd,02:06.0,LAL down 16 (42-58),J. Calderon makes free throw 1 of 2,LAL down 15 (43-58)
77,11/1/16,LAL,@,IND,2nd,02:06.0,LAL down 15 (43-58),J. Calderon makes free throw 2 of 2,LAL down 14 (44-58)
78,11/1/16,LAL,@,IND,3rd,10:23.0,LAL down 6 (56-62),D. Russell makes free throw 1 of 1,LAL down 5 (57-62)
79,11/1/16,LAL,@,IND,3rd,07:05.0,LAL down 4 (63-67),D. Russell makes free throw 1 of 2,LAL down 3 (64-67)
80,11/1/16,LAL,@,IND,3rd,07:05.0,LAL down 3 (64-67),D. Russell makes free throw 2 of 2,LAL down 2 (65-67)
