Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,ORL,,MIA,1st,08:55.0,ORL down 2 (4-6),E. Fournier misses technical free throw,ORL down 2 (4-6)
2,10/26/16,ORL,,MIA,1st,08:46.0,ORL down 2 (4-6),E. Payton makes free throw 1 of 2,ORL down 1 (5-6)
3,10/26/16,ORL,,MIA,1st,08:46.0,ORL down 1 (5-6),E. Payton makes free throw 2 of 2,ORL tied (6-6)
4,10/26/16,ORL,,MIA,1st,05:10.0,ORL tied (15-15),N. Vucevic misses free throw 1 of 2,ORL tied (15-15)
5,10/26/16,ORL,,MIA,1st,05:10.0,ORL tied (15-15),N. Vucevic makes free throw 2 of 2,ORL up 1 (16-15)
6,10/26/16,ORL,,MIA,1st,01:59.0,ORL up 4 (21-17),D. Augustin makes free throw 1 of 1,ORL up 5 (22-17)
7,10/26/16,ORL,,MIA,1st,01:04.0,ORL up 5 (24-19),J. Green misses free throw 1 of 2,ORL up 5 (24-19)
8,10/26/16,ORL,,MIA,1st,01:04.0,ORL up 5 (24-19),J. Green makes free throw 2 of 2,ORL up 6 (25-19)
9,10/26/16,ORL,,MIA,1st,00:42.0,ORL up 4 (25-21),E. Fournier makes free throw 1 of 2,ORL up 5 (26-21)
10,10/26/16,ORL,,MIA,1st,00:42.0,ORL up 5 (26-21),E. Fournier makes free throw 2 of 2,ORL up 6 (27-21)
11,10/26/16,ORL,,MIA,2nd,09:43.0,ORL up 2 (29-27),M. Hezonja misses free throw 1 of 2,ORL up 2 (29-27)
12,10/26/16,ORL,,MIA,2nd,09:43.0,ORL up 2 (29-27),M. Hezonja makes free throw 2 of 2,ORL up 3 (30-27)
13,10/26/16,ORL,,MIA,2nd,04:35.0,ORL tied (38-38),E. Payton makes free throw 1 of 2,ORL up 1 (39-38)
14,10/26/16,ORL,,MIA,2nd,04:35.0,ORL up 1 (39-38),E. Payton makes free throw 2 of 2,ORL up 2 (40-38)
15,10/26/16,ORL,,MIA,2nd,02:43.0,ORL down 2 (43-45),E. Payton makes free throw 1 of 2,ORL down 1 (44-45)
16,10/26/16,ORL,,MIA,2nd,02:43.0,ORL down 1 (44-45),E. Payton makes free throw 2 of 2,ORL tied (45-45)
17,10/26/16,ORL,,MIA,2nd,01:40.0,ORL tied (47-47),E. Payton makes free throw 1 of 2,ORL up 1 (48-47)
18,10/26/16,ORL,,MIA,2nd,01:40.0,ORL up 1 (48-47),E. Payton makes free throw 2 of 2,ORL up 2 (49-47)
19,10/26/16,ORL,,MIA,3rd,10:00.0,ORL down 2 (53-55),E. Fournier makes technical free throw,ORL down 1 (54-55)
20,10/26/16,ORL,,MIA,3rd,09:26.0,ORL down 1 (56-57),E. Fournier misses technical free throw,ORL down 1 (56-57)
21,10/26/16,ORL,,MIA,3rd,06:13.0,ORL down 8 (58-66),D. Augustin makes free throw 1 of 2,ORL down 7 (59-66)
22,10/26/16,ORL,,MIA,3rd,06:13.0,ORL down 7 (59-66),D. Augustin makes free throw 2 of 2,ORL down 6 (60-66)
23,10/26/16,ORL,,MIA,3rd,00:16.0,ORL down 13 (67-80),J. Green makes free throw 1 of 2,ORL down 12 (68-80)
24,10/26/16,ORL,,MIA,3rd,00:16.0,ORL down 12 (68-80),J. Green makes free throw 2 of 2,ORL down 11 (69-80)
25,10/26/16,ORL,,MIA,4th,10:08.0,ORL down 18 (69-87),E. Fournier makes free throw 1 of 2,ORL down 17 (70-87)
26,10/26/16,ORL,,MIA,4th,10:08.0,ORL down 17 (70-87),E. Fournier misses free throw 2 of 2,ORL down 17 (70-87)
27,10/26/16,ORL,,MIA,4th,04:00.0,ORL down 14 (86-100),N. Vucevic makes free throw 1 of 2,ORL down 13 (87-100)
28,10/26/16,ORL,,MIA,4th,04:00.0,ORL down 13 (87-100),N. Vucevic makes free throw 2 of 2,ORL down 12 (88-100)
29,10/28/16,ORL,@,DET,1st,07:09.0,ORL down 5 (6-11),A. Gordon makes free throw 1 of 2,ORL down 4 (7-11)
30,10/28/16,ORL,@,DET,1st,07:09.0,ORL down 4 (7-11),A. Gordon makes free throw 2 of 2,ORL down 3 (8-11)
31,10/28/16,ORL,@,DET,1st,03:17.0,ORL down 1 (17-18),A. Gordon misses free throw 1 of 2,ORL down 1 (17-18)
32,10/28/16,ORL,@,DET,1st,03:17.0,ORL down 1 (17-18),A. Gordon misses free throw 2 of 2,ORL down 1 (17-18)
33,10/28/16,ORL,@,DET,2nd,01:26.0,ORL down 18 (30-48),N. Vucevic misses free throw 1 of 2,ORL down 18 (30-48)
34,10/28/16,ORL,@,DET,2nd,01:26.0,ORL down 18 (30-48),N. Vucevic makes free throw 2 of 2,ORL down 17 (31-48)
35,10/28/16,ORL,@,DET,2nd,01:00.0,ORL down 19 (31-50),E. Fournier misses technical free throw,ORL down 19 (31-50)
36,10/28/16,ORL,@,DET,3rd,04:09.0,ORL down 30 (44-74),E. Payton makes free throw 1 of 2,ORL down 29 (45-74)
37,10/28/16,ORL,@,DET,3rd,04:09.0,ORL down 29 (45-74),E. Payton makes free throw 2 of 2,ORL down 28 (46-74)
38,10/28/16,ORL,@,DET,4th,08:01.0,ORL down 30 (63-93),A. Gordon makes free throw 1 of 2,ORL down 29 (64-93)
39,10/28/16,ORL,@,DET,4th,08:01.0,ORL down 29 (64-93),A. Gordon makes free throw 2 of 2,ORL down 28 (65-93)
40,10/28/16,ORL,@,DET,4th,01:28.0,ORL down 32 (76-108),M. Hezonja makes free throw 1 of 1,ORL down 31 (77-108)
41,10/29/16,ORL,@,CLE,1st,09:39.0,ORL up 2 (7-5),E. Payton misses free throw 1 of 2,ORL up 2 (7-5)
42,10/29/16,ORL,@,CLE,1st,09:39.0,ORL up 2 (7-5),E. Payton misses free throw 2 of 2,ORL up 2 (7-5)
43,10/29/16,ORL,@,CLE,1st,05:11.0,ORL down 4 (13-17),S. Ibaka misses free throw 1 of 1,ORL down 4 (13-17)
44,10/29/16,ORL,@,CLE,1st,04:12.0,ORL down 4 (15-19),J. Green misses free throw 1 of 2,ORL down 4 (15-19)
