Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,DAL,@,IND,2nd,11:14.0,DAL down 12 (21-33),J. Barea makes free throw 1 of 2,DAL down 11 (22-33)
2,10/26/16,DAL,@,IND,2nd,11:14.0,DAL down 11 (22-33),J. Barea makes free throw 2 of 2,DAL down 10 (23-33)
3,10/26/16,DAL,@,IND,2nd,04:36.0,DAL down 9 (37-46),A. Bogut misses free throw 1 of 2,DAL down 9 (37-46)
4,10/26/16,DAL,@,IND,2nd,04:36.0,DAL down 9 (37-46),A. Bogut misses free throw 2 of 2,DAL down 9 (37-46)
5,10/26/16,DAL,@,IND,3rd,08:48.0,DAL down 10 (60-70),D. Powell misses free throw 1 of 2,DAL down 10 (60-70)
6,10/26/16,DAL,@,IND,3rd,08:48.0,DAL down 10 (60-70),D. Powell misses free throw 2 of 2,DAL down 10 (60-70)
7,10/26/16,DAL,@,IND,3rd,07:48.0,DAL down 9 (63-72),J. Barea makes free throw 1 of 2,DAL down 8 (64-72)
8,10/26/16,DAL,@,IND,3rd,07:48.0,DAL down 8 (64-72),J. Barea makes free throw 2 of 2,DAL down 7 (65-72)
9,10/26/16,DAL,@,IND,3rd,04:21.0,DAL down 7 (73-80),J. Barea makes free throw 1 of 2,DAL down 6 (74-80)
10,10/26/16,DAL,@,IND,3rd,04:21.0,DAL down 6 (74-80),J. Barea makes free throw 2 of 2,DAL down 5 (75-80)
11,10/26/16,DAL,@,IND,3rd,03:54.0,DAL down 5 (75-80),W. Matthews makes free throw 1 of 2,DAL down 4 (76-80)
12,10/26/16,DAL,@,IND,3rd,03:54.0,DAL down 4 (76-80),W. Matthews makes free throw 2 of 2,DAL down 3 (77-80)
13,10/26/16,DAL,@,IND,3rd,02:09.0,DAL down 9 (77-86),D. Nowitzki makes free throw 1 of 2,DAL down 8 (78-86)
14,10/26/16,DAL,@,IND,3rd,02:09.0,DAL down 8 (78-86),D. Nowitzki makes free throw 2 of 2,DAL down 7 (79-86)
15,10/26/16,DAL,@,IND,4th,07:38.0,DAL down 1 (97-98),W. Matthews makes free throw 1 of 2,DAL tied (98-98)
16,10/26/16,DAL,@,IND,4th,07:38.0,DAL tied (98-98),W. Matthews makes free throw 2 of 2,DAL up 1 (99-98)
17,10/26/16,DAL,@,IND,OT,02:40.0,DAL down 2 (117-119),W. Matthews misses free throw 1 of 2,DAL down 2 (117-119)
18,10/26/16,DAL,@,IND,OT,02:40.0,DAL down 2 (117-119),W. Matthews makes free throw 2 of 2,DAL down 1 (118-119)
19,10/28/16,DAL,,HOU,2nd,11:46.0,DAL tied (24-24),J. Anderson misses free throw 1 of 2,DAL tied (24-24)
20,10/28/16,DAL,,HOU,2nd,11:46.0,DAL tied (24-24),J. Anderson makes free throw 2 of 2,DAL up 1 (25-24)
21,10/28/16,DAL,,HOU,2nd,06:14.0,DAL down 6 (31-37),J. Anderson misses free throw 1 of 2,DAL down 6 (31-37)
22,10/28/16,DAL,,HOU,2nd,06:14.0,DAL down 6 (31-37),J. Anderson makes free throw 2 of 2,DAL down 5 (32-37)
23,10/28/16,DAL,,HOU,2nd,04:32.0,DAL down 3 (34-37),W. Matthews makes free throw 1 of 2,DAL down 2 (35-37)
24,10/28/16,DAL,,HOU,2nd,04:32.0,DAL down 2 (35-37),W. Matthews makes free throw 2 of 2,DAL down 1 (36-37)
25,10/28/16,DAL,,HOU,2nd,04:01.0,DAL down 4 (36-40),W. Matthews makes free throw 1 of 2,DAL down 3 (37-40)
26,10/28/16,DAL,,HOU,2nd,04:01.0,DAL down 3 (37-40),W. Matthews makes free throw 2 of 2,DAL down 2 (38-40)
27,10/28/16,DAL,,HOU,2nd,02:38.0,DAL down 2 (40-42),J. Barea misses free throw 1 of 2,DAL down 2 (40-42)
28,10/28/16,DAL,,HOU,2nd,02:38.0,DAL down 2 (40-42),J. Barea makes free throw 2 of 2,DAL down 1 (41-42)
29,10/28/16,DAL,,HOU,2nd,02:16.0,DAL down 1 (41-42),D. Williams makes free throw 1 of 2,DAL tied (42-42)
30,10/28/16,DAL,,HOU,2nd,02:16.0,DAL tied (42-42),D. Williams makes free throw 2 of 2,DAL up 1 (43-42)
31,10/28/16,DAL,,HOU,3rd,09:57.0,DAL tied (54-54),H. Barnes makes free throw 1 of 1,DAL up 1 (55-54)
32,10/28/16,DAL,,HOU,4th,11:15.0,DAL down 10 (67-77),J. Barea makes free throw 1 of 2,DAL down 9 (68-77)
33,10/28/16,DAL,,HOU,4th,11:15.0,DAL down 9 (68-77),J. Barea makes free throw 2 of 2,DAL down 8 (69-77)
34,10/28/16,DAL,,HOU,4th,10:50.0,DAL down 8 (69-77),J. Anderson makes free throw 1 of 2,DAL down 7 (70-77)
35,10/28/16,DAL,,HOU,4th,10:50.0,DAL down 7 (70-77),J. Anderson makes free throw 2 of 2,DAL down 6 (71-77)
36,10/28/16,DAL,,HOU,4th,04:11.0,DAL down 15 (78-93),H. Barnes makes free throw 1 of 2,DAL down 14 (79-93)
37,10/28/16,DAL,,HOU,4th,04:11.0,DAL down 14 (79-93),H. Barnes makes free throw 2 of 2,DAL down 13 (80-93)
38,10/28/16,DAL,,HOU,4th,02:52.0,DAL down 14 (84-98),D. Williams makes free throw 1 of 2,DAL down 13 (85-98)
39,10/28/16,DAL,,HOU,4th,02:52.0,DAL down 13 (85-98),D. Williams misses free throw 2 of 2,DAL down 13 (85-98)
40,10/28/16,DAL,,HOU,4th,01:00.0,DAL down 14 (90-104),N. Brussino makes free throw 1 of 2,DAL down 13 (91-104)
41,10/28/16,DAL,,HOU,4th,01:00.0,DAL down 13 (91-104),N. Brussino makes free throw 2 of 2,DAL down 12 (92-104)
42,10/28/16,DAL,,HOU,4th,00:39.0,DAL down 9 (95-104),S. Curry makes free throw 1 of 1,DAL down 8 (96-104)
43,10/30/16,DAL,@,HOU,1st,00:34.0,DAL down 8 (20-28),J. Barea makes free throw 1 of 2,DAL down 7 (21-28)
44,10/30/16,DAL,@,HOU,1st,00:34.0,DAL down 7 (21-28),J. Barea makes free throw 2 of 2,DAL down 6 (22-28)
45,10/30/16,DAL,@,HOU,2nd,07:49.0,DAL down 17 (31-48),J. Barea makes technical free throw,DAL down 16 (32-48)
46,10/30/16,DAL,@,HOU,2nd,06:57.0,DAL down 16 (32-48),J. Barea makes free throw 1 of 2,DAL down 15 (33-48)
47,10/30/16,DAL,@,HOU,2nd,06:57.0,DAL down 15 (33-48),J. Barea makes free throw 2 of 2,DAL down 14 (34-48)
48,10/30/16,DAL,@,HOU,2nd,04:41.0,DAL down 13 (39-52),D. Williams misses free throw 1 of 2,DAL down 13 (39-52)
49,10/30/16,DAL,@,HOU,2nd,04:41.0,DAL down 13 (39-52),D. Williams makes free throw 2 of 2,DAL down 12 (40-52)
50,10/30/16,DAL,@,HOU,2nd,03:57.0,DAL down 13 (42-55),J. Anderson makes free throw 1 of 1,DAL down 12 (43-55)
51,10/30/16,DAL,@,HOU,2nd,03:31.0,DAL down 14 (43-57),W. Matthews makes free throw 1 of 2,DAL down 13 (44-57)
52,10/30/16,DAL,@,HOU,2nd,03:31.0,DAL down 13 (44-57),W. Matthews makes free throw 2 of 2,DAL down 12 (45-57)
53,10/30/16,DAL,@,HOU,2nd,01:07.0,DAL down 12 (49-61),J. Barea makes free throw 1 of 2,DAL down 11 (50-61)
54,10/30/16,DAL,@,HOU,2nd,01:07.0,DAL down 11 (50-61),J. Barea makes free throw 2 of 2,DAL down 10 (51-61)
55,10/30/16,DAL,@,HOU,2nd,00:08.0,DAL down 8 (53-61),A. Bogut misses free throw 1 of 2,DAL down 8 (53-61)
56,10/30/16,DAL,@,HOU,2nd,00:08.0,DAL down 8 (53-61),A. Bogut misses free throw 2 of 2,DAL down 8 (53-61)
57,10/30/16,DAL,@,HOU,3rd,01:37.0,DAL down 8 (68-76),H. Barnes makes free throw 1 of 2,DAL down 7 (69-76)
58,10/30/16,DAL,@,HOU,3rd,01:37.0,DAL down 7 (69-76),H. Barnes makes free throw 2 of 2,DAL down 6 (70-76)
59,10/30/16,DAL,@,HOU,4th,06:14.0,DAL down 6 (78-84),W. Matthews makes free throw 1 of 2,DAL down 5 (79-84)
60,10/30/16,DAL,@,HOU,4th,06:14.0,DAL down 5 (79-84),W. Matthews makes free throw 2 of 2,DAL down 4 (80-84)
61,10/30/16,DAL,@,HOU,4th,01:13.0,DAL down 4 (87-91),H. Barnes makes free throw 1 of 2,DAL down 3 (88-91)
62,10/30/16,DAL,@,HOU,4th,01:13.0,DAL down 3 (88-91),H. Barnes makes free throw 2 of 2,DAL down 2 (89-91)
63,11/2/16,DAL,@,UTA,2nd,01:35.0,DAL down 8 (27-35),D. Nowitzki makes free throw 1 of 1,DAL down 7 (28-35)
64,11/2/16,DAL,@,UTA,3rd,04:59.0,DAL down 18 (35-53),H. Barnes makes free throw 1 of 2,DAL down 17 (36-53)
65,11/2/16,DAL,@,UTA,3rd,04:59.0,DAL down 17 (36-53),H. Barnes makes free throw 2 of 2,DAL down 16 (37-53)
66,11/2/16,DAL,@,UTA,3rd,00:44.0,DAL down 13 (53-66),W. Matthews makes technical free throw,DAL down 12 (54-66)
67,11/2/16,DAL,@,UTA,4th,09:13.0,DAL down 6 (65-71),J. Barea makes free throw 1 of 2,DAL down 5 (66-71)
68,11/2/16,DAL,@,UTA,4th,09:13.0,DAL down 5 (66-71),J. Barea makes free throw 2 of 2,DAL down 4 (67-71)
69,11/2/16,DAL,@,UTA,4th,03:32.0,DAL down 12 (75-87),D. Powell misses free throw 1 of 2,DAL down 12 (75-87)
70,11/2/16,DAL,@,UTA,4th,03:32.0,DAL down 12 (75-87),D. Powell makes free throw 2 of 2,DAL down 11 (76-87)
71,11/2/16,DAL,@,UTA,4th,00:24.0,DAL down 17 (80-97),N. Brussino misses free throw 1 of 2,DAL down 17 (80-97)
72,11/2/16,DAL,@,UTA,4th,00:24.0,DAL down 17 (80-97),N. Brussino makes free throw 2 of 2,DAL down 16 (81-97)
73,11/4/16,DAL,,POR,1st,09:09.0,DAL down 4 (2-6),W. Matthews makes free throw 1 of 2,DAL down 3 (3-6)
74,11/4/16,DAL,,POR,1st,09:09.0,DAL down 3 (3-6),W. Matthews makes free throw 2 of 2,DAL down 2 (4-6)
75,11/4/16,DAL,,POR,1st,05:18.0,DAL down 8 (11-19),D. Williams makes free throw 1 of 2,DAL down 7 (12-19)
76,11/4/16,DAL,,POR,1st,05:18.0,DAL down 7 (12-19),D. Williams makes free throw 2 of 2,DAL down 6 (13-19)
77,11/4/16,DAL,,POR,2nd,09:09.0,DAL up 6 (34-28),D. Nowitzki makes free throw 1 of 1,DAL up 7 (35-28)
78,11/4/16,DAL,,POR,2nd,07:16.0,DAL up 2 (37-35),D. Powell makes free throw 1 of 2,DAL up 3 (38-35)
79,11/4/16,DAL,,POR,2nd,07:16.0,DAL up 3 (38-35),D. Powell misses free throw 2 of 2,DAL up 3 (38-35)
80,11/4/16,DAL,,POR,3rd,09:38.0,DAL down 7 (54-61),J. Barea makes free throw 1 of 2,DAL down 6 (55-61)
81,11/4/16,DAL,,POR,3rd,09:38.0,DAL down 6 (55-61),J. Barea makes free throw 2 of 2,DAL down 5 (56-61)
82,11/4/16,DAL,,POR,3rd,07:18.0,DAL down 14 (58-72),J. Barea makes free throw 1 of 2,DAL down 13 (59-72)
83,11/4/16,DAL,,POR,3rd,07:18.0,DAL down 13 (59-72),J. Barea makes free throw 2 of 2,DAL down 12 (60-72)
84,11/4/16,DAL,,POR,3rd,05:16.0,DAL down 16 (62-78),D. Williams misses free throw 1 of 2,DAL down 16 (62-78)
85,11/4/16,DAL,,POR,3rd,05:16.0,DAL down 16 (62-78),D. Williams makes free throw 2 of 2,DAL down 15 (63-78)
86,11/4/16,DAL,,POR,3rd,03:05.0,DAL down 11 (67-78),D. Williams makes free throw 1 of 2,DAL down 10 (68-78)
87,11/4/16,DAL,,POR,3rd,03:05.0,DAL down 10 (68-78),D. Williams makes free throw 2 of 2,DAL down 9 (69-78)
