Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,BRK,@,BOS,1st,01:02.0,BRK down 4 (27-31),J. Hamilton makes free throw 1 of 2,BRK down 3 (28-31)
2,10/26/16,BRK,@,BOS,1st,01:02.0,BRK down 3 (28-31),J. Hamilton makes free throw 2 of 2,BRK down 2 (29-31)
3,10/26/16,BRK,@,BOS,2nd,06:09.0,BRK down 11 (39-50),B. Lopez makes free throw 1 of 2,BRK down 10 (40-50)
4,10/26/16,BRK,@,BOS,2nd,06:09.0,BRK down 10 (40-50),B. Lopez makes free throw 2 of 2,BRK down 9 (41-50)
5,10/26/16,BRK,@,BOS,2nd,05:42.0,BRK down 9 (41-50),R. Hollis-Jefferson misses free throw 1 of 2,BRK down 9 (41-50)
6,10/26/16,BRK,@,BOS,2nd,05:42.0,BRK down 9 (41-50),R. Hollis-Jefferson makes free throw 2 of 2,BRK down 8 (42-50)
7,10/26/16,BRK,@,BOS,2nd,04:21.0,BRK down 8 (44-52),J. Lin misses free throw 1 of 2,BRK down 8 (44-52)
8,10/26/16,BRK,@,BOS,2nd,04:21.0,BRK down 8 (44-52),J. Lin makes free throw 2 of 2,BRK down 7 (45-52)
9,10/26/16,BRK,@,BOS,2nd,02:34.0,BRK down 9 (47-56),J. Lin makes free throw 1 of 2,BRK down 8 (48-56)
10,10/26/16,BRK,@,BOS,2nd,02:34.0,BRK down 8 (48-56),J. Lin makes free throw 2 of 2,BRK down 7 (49-56)
11,10/26/16,BRK,@,BOS,3rd,07:55.0,BRK down 9 (62-71),L. Scola misses flagrant free throw 1 of 2,BRK down 9 (62-71)
12,10/26/16,BRK,@,BOS,3rd,07:55.0,BRK down 9 (62-71),L. Scola makes flagrant free throw 2 of 2,BRK down 8 (63-71)
13,10/26/16,BRK,@,BOS,3rd,01:36.0,BRK down 14 (76-90),S. Kilpatrick makes free throw 1 of 2,BRK down 13 (77-90)
14,10/26/16,BRK,@,BOS,3rd,01:36.0,BRK down 13 (77-90),S. Kilpatrick makes free throw 2 of 2,BRK down 12 (78-90)
15,10/26/16,BRK,@,BOS,4th,06:42.0,BRK down 18 (94-112),J. Lin makes free throw 1 of 1,BRK down 17 (95-112)
16,10/26/16,BRK,@,BOS,4th,05:28.0,BRK down 19 (97-116),J. Hamilton misses free throw 1 of 1,BRK down 19 (97-116)
17,10/26/16,BRK,@,BOS,4th,04:30.0,BRK down 19 (97-116),B. Lopez makes free throw 1 of 2,BRK down 18 (98-116)
18,10/26/16,BRK,@,BOS,4th,04:30.0,BRK down 18 (98-116),B. Lopez makes free throw 2 of 2,BRK down 17 (99-116)
19,10/26/16,BRK,@,BOS,4th,04:07.0,BRK down 19 (99-118),R. Hollis-Jefferson makes free throw 1 of 2,BRK down 18 (100-118)
20,10/26/16,BRK,@,BOS,4th,04:07.0,BRK down 18 (100-118),R. Hollis-Jefferson makes free throw 2 of 2,BRK down 17 (101-118)
21,10/28/16,BRK,,IND,1st,07:47.0,BRK down 4 (6-10),J. Lin makes free throw 1 of 2,BRK down 3 (7-10)
22,10/28/16,BRK,,IND,1st,07:47.0,BRK down 3 (7-10),J. Lin makes free throw 2 of 2,BRK down 2 (8-10)
23,10/28/16,BRK,,IND,2nd,11:03.0,BRK down 6 (24-30),B. Lopez makes free throw 1 of 2,BRK down 5 (25-30)
24,10/28/16,BRK,,IND,2nd,11:03.0,BRK down 5 (25-30),B. Lopez makes free throw 2 of 2,BRK down 4 (26-30)
25,10/28/16,BRK,,IND,3rd,04:09.0,BRK down 6 (65-71),G. Vasquez misses free throw 1 of 3,BRK down 6 (65-71)
26,10/28/16,BRK,,IND,3rd,04:09.0,BRK down 6 (65-71),G. Vasquez makes free throw 2 of 3,BRK down 5 (66-71)
27,10/28/16,BRK,,IND,3rd,04:09.0,BRK down 5 (66-71),G. Vasquez makes free throw 3 of 3,BRK down 4 (67-71)
28,10/28/16,BRK,,IND,3rd,00:27.0,BRK down 10 (69-79),J. Lin makes free throw 1 of 2,BRK down 9 (70-79)
29,10/28/16,BRK,,IND,3rd,00:27.0,BRK down 9 (70-79),J. Lin misses free throw 2 of 2,BRK down 9 (70-79)
30,10/28/16,BRK,,IND,3rd,00:02.0,BRK down 9 (70-79),J. Lin makes free throw 1 of 2,BRK down 8 (71-79)
31,10/28/16,BRK,,IND,3rd,00:02.0,BRK down 8 (71-79),J. Lin makes free throw 2 of 2,BRK down 7 (72-79)
32,10/28/16,BRK,,IND,4th,11:41.0,BRK down 7 (72-79),B. Lopez makes free throw 1 of 2,BRK down 6 (73-79)
33,10/28/16,BRK,,IND,4th,11:41.0,BRK down 6 (73-79),B. Lopez makes free throw 2 of 2,BRK down 5 (74-79)
34,10/28/16,BRK,,IND,4th,05:37.0,BRK up 2 (87-85),J. Hamilton makes free throw 1 of 1,BRK up 3 (88-85)
35,10/28/16,BRK,,IND,4th,03:02.0,BRK up 7 (94-87),B. Bogdanovic makes free throw 1 of 2,BRK up 8 (95-87)
36,10/28/16,BRK,,IND,4th,03:02.0,BRK up 8 (95-87),B. Bogdanovic makes free throw 2 of 2,BRK up 9 (96-87)
37,10/28/16,BRK,,IND,4th,02:27.0,BRK up 7 (96-89),B. Lopez misses free throw 1 of 2,BRK up 7 (96-89)
38,10/28/16,BRK,,IND,4th,02:27.0,BRK up 7 (96-89),B. Lopez makes free throw 2 of 2,BRK up 8 (97-89)
39,10/28/16,BRK,,IND,4th,01:41.0,BRK up 10 (99-89),J. Lin makes free throw 1 of 2,BRK up 11 (100-89)
40,10/28/16,BRK,,IND,4th,01:41.0,BRK up 11 (100-89),J. Lin makes free throw 2 of 2,BRK up 12 (101-89)
41,10/29/16,BRK,@,MIL,1st,11:24.0,BRK down 2 (0-2),B. Bogdanovic makes free throw 1 of 2,BRK down 1 (1-2)
42,10/29/16,BRK,@,MIL,1st,11:24.0,BRK down 1 (1-2),B. Bogdanovic makes free throw 2 of 2,BRK tied (2-2)
