Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,DEN,@,NOP,1st,11:28.0,DEN tied (0-0),J. Nurkic misses free throw 1 of 2,DEN tied (0-0)
2,10/26/16,DEN,@,NOP,1st,11:28.0,DEN tied (0-0),J. Nurkic makes free throw 2 of 2,DEN up 1 (1-0)
3,10/26/16,DEN,@,NOP,1st,06:49.0,DEN tied (10-10),J. Nurkic makes free throw 1 of 2,DEN up 1 (11-10)
4,10/26/16,DEN,@,NOP,1st,06:49.0,DEN up 1 (11-10),J. Nurkic makes free throw 2 of 2,DEN up 2 (12-10)
5,10/26/16,DEN,@,NOP,1st,06:13.0,DEN tied (12-12),W. Barton makes free throw 1 of 2,DEN up 1 (13-12)
6,10/26/16,DEN,@,NOP,1st,06:13.0,DEN up 1 (13-12),W. Barton makes free throw 2 of 2,DEN up 2 (14-12)
7,10/26/16,DEN,@,NOP,1st,03:29.0,DEN up 3 (21-18),E. Mudiay makes free throw 1 of 2,DEN up 4 (22-18)
8,10/26/16,DEN,@,NOP,1st,03:29.0,DEN up 4 (22-18),E. Mudiay makes free throw 2 of 2,DEN up 5 (23-18)
9,10/26/16,DEN,@,NOP,1st,02:49.0,DEN up 5 (25-20),K. Faried misses free throw 1 of 2,DEN up 5 (25-20)
10,10/26/16,DEN,@,NOP,1st,02:49.0,DEN up 5 (25-20),K. Faried makes free throw 2 of 2,DEN up 6 (26-20)
11,10/26/16,DEN,@,NOP,1st,02:24.0,DEN up 4 (26-22),D. Gallinari misses free throw 1 of 2,DEN up 4 (26-22)
12,10/26/16,DEN,@,NOP,1st,02:24.0,DEN up 4 (26-22),D. Gallinari misses free throw 2 of 2,DEN up 4 (26-22)
13,10/26/16,DEN,@,NOP,2nd,07:44.0,DEN up 6 (43-37),J. Murray misses free throw 1 of 2,DEN up 6 (43-37)
14,10/26/16,DEN,@,NOP,2nd,07:44.0,DEN up 6 (43-37),J. Murray makes free throw 2 of 2,DEN up 7 (44-37)
15,10/26/16,DEN,@,NOP,2nd,00:55.0,DEN up 10 (56-46),D. Gallinari makes free throw 1 of 2,DEN up 11 (57-46)
16,10/26/16,DEN,@,NOP,2nd,00:55.0,DEN up 11 (57-46),D. Gallinari makes free throw 2 of 2,DEN up 12 (58-46)
17,10/26/16,DEN,@,NOP,2nd,00:39.0,DEN up 12 (58-46),K. Faried makes free throw 1 of 2,DEN up 13 (59-46)
18,10/26/16,DEN,@,NOP,2nd,00:39.0,DEN up 13 (59-46),K. Faried makes free throw 2 of 2,DEN up 14 (60-46)
19,10/26/16,DEN,@,NOP,3rd,05:38.0,DEN up 10 (71-61),J. Nurkic makes free throw 1 of 2,DEN up 11 (72-61)
20,10/26/16,DEN,@,NOP,3rd,05:38.0,DEN up 11 (72-61),J. Nurkic makes free throw 2 of 2,DEN up 12 (73-61)
21,10/26/16,DEN,@,NOP,3rd,02:02.0,DEN up 8 (81-73),W. Barton makes free throw 1 of 2,DEN up 9 (82-73)
22,10/26/16,DEN,@,NOP,3rd,02:02.0,DEN up 9 (82-73),W. Barton makes free throw 2 of 2,DEN up 10 (83-73)
