Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,IND,,DAL,1st,06:33.0,IND up 5 (15-10),J. Teague makes free throw 1 of 2,IND up 6 (16-10)
2,10/26/16,IND,,DAL,1st,06:33.0,IND up 6 (16-10),J. Teague makes free throw 2 of 2,IND up 7 (17-10)
3,10/26/16,IND,,DAL,1st,05:24.0,IND up 9 (19-10),J. Teague misses free throw 1 of 1,IND up 9 (19-10)
4,10/26/16,IND,,DAL,1st,01:09.0,IND up 11 (30-19),R. Stuckey misses free throw 1 of 1,IND up 11 (30-19)
5,10/26/16,IND,,DAL,1st,00:09.0,IND up 11 (32-21),R. Stuckey misses free throw 1 of 2,IND up 11 (32-21)
6,10/26/16,IND,,DAL,1st,00:09.0,IND up 11 (32-21),R. Stuckey makes free throw 2 of 2,IND up 12 (33-21)
7,10/26/16,IND,,DAL,2nd,10:04.0,IND up 9 (35-26),A. Jefferson makes free throw 1 of 1,IND up 10 (36-26)
8,10/26/16,IND,,DAL,2nd,05:33.0,IND up 7 (42-35),J. Teague makes free throw 1 of 2,IND up 8 (43-35)
9,10/26/16,IND,,DAL,2nd,05:33.0,IND up 8 (43-35),J. Teague makes free throw 2 of 2,IND up 9 (44-35)
10,10/26/16,IND,,DAL,2nd,03:26.0,IND up 12 (51-39),J. Teague makes free throw 1 of 2,IND up 13 (52-39)
11,10/26/16,IND,,DAL,2nd,03:26.0,IND up 13 (52-39),J. Teague makes free throw 2 of 2,IND up 14 (53-39)
12,10/26/16,IND,,DAL,3rd,10:53.0,IND up 7 (64-57),M. Turner misses free throw 1 of 1,IND up 7 (64-57)
13,10/26/16,IND,,DAL,3rd,09:41.0,IND up 4 (64-60),P. George makes free throw 1 of 2,IND up 5 (65-60)
14,10/26/16,IND,,DAL,3rd,09:41.0,IND up 5 (65-60),P. George makes free throw 2 of 2,IND up 6 (66-60)
15,10/26/16,IND,,DAL,3rd,08:59.0,IND up 9 (69-60),P. George misses free throw 1 of 2,IND up 9 (69-60)
16,10/26/16,IND,,DAL,3rd,08:59.0,IND up 9 (69-60),P. George makes free throw 2 of 2,IND up 10 (70-60)
17,10/26/16,IND,,DAL,3rd,08:05.0,IND up 7 (70-63),M. Ellis makes free throw 1 of 2,IND up 8 (71-63)
18,10/26/16,IND,,DAL,3rd,08:05.0,IND up 8 (71-63),M. Ellis makes free throw 2 of 2,IND up 9 (72-63)
19,10/26/16,IND,,DAL,3rd,06:02.0,IND up 2 (72-70),M. Turner makes free throw 1 of 2,IND up 3 (73-70)
20,10/26/16,IND,,DAL,3rd,06:02.0,IND up 3 (73-70),M. Turner makes free throw 2 of 2,IND up 4 (74-70)
21,10/26/16,IND,,DAL,3rd,03:13.0,IND up 3 (80-77),P. George makes free throw 1 of 2,IND up 4 (81-77)
22,10/26/16,IND,,DAL,3rd,03:13.0,IND up 4 (81-77),P. George makes free throw 2 of 2,IND up 5 (82-77)
23,10/26/16,IND,,DAL,3rd,02:56.0,IND up 5 (82-77),P. George makes free throw 1 of 2,IND up 6 (83-77)
24,10/26/16,IND,,DAL,3rd,02:56.0,IND up 6 (83-77),P. George makes free throw 2 of 2,IND up 7 (84-77)
25,10/26/16,IND,,DAL,4th,07:50.0,IND down 1 (96-97),M. Ellis makes free throw 1 of 2,IND tied (97-97)
26,10/26/16,IND,,DAL,4th,07:50.0,IND tied (97-97),M. Ellis makes free throw 2 of 2,IND up 1 (98-97)
27,10/26/16,IND,,DAL,4th,05:10.0,IND up 1 (102-101),M. Turner makes free throw 1 of 2,IND up 2 (103-101)
28,10/26/16,IND,,DAL,4th,05:10.0,IND up 2 (103-101),M. Turner misses free throw 2 of 2,IND up 2 (103-101)
29,10/26/16,IND,,DAL,4th,00:14.0,IND up 2 (114-112),J. Teague misses free throw 1 of 2,IND up 2 (114-112)
30,10/26/16,IND,,DAL,4th,00:14.0,IND up 2 (114-112),J. Teague makes free throw 2 of 2,IND up 3 (115-112)
31,10/26/16,IND,,DAL,OT,00:27.0,IND up 6 (127-121),J. Teague makes free throw 1 of 2,IND up 7 (128-121)
32,10/26/16,IND,,DAL,OT,00:27.0,IND up 7 (128-121),J. Teague misses free throw 2 of 2,IND up 7 (128-121)
33,10/26/16,IND,,DAL,OT,00:05.0,IND up 7 (128-121),J. Teague makes free throw 1 of 2,IND up 8 (129-121)
34,10/26/16,IND,,DAL,OT,00:05.0,IND up 8 (129-121),J. Teague makes free throw 2 of 2,IND up 9 (130-121)
35,10/28/16,IND,@,BRK,1st,09:51.0,IND up 2 (4-2),M. Turner makes free throw 1 of 1,IND up 3 (5-2)
36,10/28/16,IND,@,BRK,1st,07:00.0,IND up 7 (15-8),P. George makes free throw 1 of 1,IND up 8 (16-8)
37,10/28/16,IND,@,BRK,1st,03:34.0,IND up 8 (20-12),L. Allen misses free throw 1 of 2,IND up 8 (20-12)
38,10/28/16,IND,@,BRK,1st,03:34.0,IND up 8 (20-12),L. Allen misses free throw 2 of 2,IND up 8 (20-12)
39,10/28/16,IND,@,BRK,1st,00:36.0,IND up 7 (24-17),P. George makes technical free throw,IND up 8 (25-17)
40,10/28/16,IND,@,BRK,2nd,07:39.0,IND up 3 (36-33),C. Miles makes free throw 1 of 1,IND up 4 (37-33)
41,10/28/16,IND,@,BRK,2nd,02:30.0,IND down 5 (41-46),P. George makes free throw 1 of 2,IND down 4 (42-46)
42,10/28/16,IND,@,BRK,2nd,02:30.0,IND down 4 (42-46),P. George makes free throw 2 of 2,IND down 3 (43-46)
43,10/28/16,IND,@,BRK,2nd,00:46.0,IND down 5 (45-50),M. Ellis misses free throw 1 of 2,IND down 5 (45-50)
44,10/28/16,IND,@,BRK,2nd,00:46.0,IND down 5 (45-50),M. Ellis makes free throw 2 of 2,IND down 4 (46-50)
45,10/28/16,IND,@,BRK,3rd,07:37.0,IND up 3 (61-58),T. Young misses free throw 1 of 2,IND up 3 (61-58)
46,10/28/16,IND,@,BRK,3rd,07:37.0,IND up 3 (61-58),T. Young makes free throw 2 of 2,IND up 4 (62-58)
47,10/28/16,IND,@,BRK,3rd,04:33.0,IND up 4 (69-65),M. Turner makes free throw 1 of 2,IND up 5 (70-65)
48,10/28/16,IND,@,BRK,3rd,04:33.0,IND up 5 (70-65),M. Turner makes free throw 2 of 2,IND up 6 (71-65)
49,10/28/16,IND,@,BRK,3rd,01:50.0,IND up 8 (75-67),J. Young makes free throw 1 of 2,IND up 9 (76-67)
50,10/28/16,IND,@,BRK,3rd,01:50.0,IND up 9 (76-67),J. Young misses free throw 2 of 2,IND up 9 (76-67)
51,10/28/16,IND,@,BRK,4th,10:59.0,IND up 5 (79-74),T. Young makes free throw 1 of 2,IND up 6 (80-74)
52,10/28/16,IND,@,BRK,4th,10:59.0,IND up 6 (80-74),T. Young makes free throw 2 of 2,IND up 7 (81-74)
53,10/28/16,IND,@,BRK,4th,01:30.0,IND down 12 (89-101),K. Seraphin misses free throw 1 of 2,IND down 12 (89-101)
54,10/28/16,IND,@,BRK,4th,01:30.0,IND down 12 (89-101),K. Seraphin misses free throw 2 of 2,IND down 12 (89-101)
55,10/29/16,IND,@,CHI,1st,08:25.0,IND tied (6-6),M. Turner makes free throw 1 of 1,IND up 1 (7-6)
56,10/29/16,IND,@,CHI,3rd,06:14.0,IND down 23 (53-76),M. Turner makes free throw 1 of 2,IND down 22 (54-76)
57,10/29/16,IND,@,CHI,3rd,06:14.0,IND down 22 (54-76),M. Turner misses free throw 2 of 2,IND down 22 (54-76)
58,10/29/16,IND,@,CHI,3rd,04:42.0,IND down 24 (54-78),M. Turner makes free throw 1 of 2,IND down 23 (55-78)
59,10/29/16,IND,@,CHI,3rd,04:42.0,IND down 23 (55-78),M. Turner makes free throw 2 of 2,IND down 22 (56-78)
60,10/29/16,IND,@,CHI,4th,11:26.0,IND down 25 (67-92),J. Young makes technical free throw,IND down 24 (68-92)
61,10/29/16,IND,@,CHI,4th,10:05.0,IND down 25 (72-97),G. Robinson makes free throw 1 of 1,IND down 24 (73-97)
62,10/29/16,IND,@,CHI,4th,09:02.0,IND down 29 (73-102),G. Robinson makes free throw 1 of 2,IND down 28 (74-102)
63,10/29/16,IND,@,CHI,4th,09:02.0,IND down 28 (74-102),G. Robinson makes free throw 2 of 2,IND down 27 (75-102)
64,11/1/16,IND,,LAL,1st,09:07.0,IND down 1 (3-4),M. Turner misses free throw 1 of 2,IND down 1 (3-4)
65,11/1/16,IND,,LAL,1st,09:07.0,IND down 1 (3-4),M. Turner misses free throw 2 of 2,IND down 1 (3-4)
66,11/1/16,IND,,LAL,1st,07:34.0,IND up 2 (8-6),P. George makes free throw 1 of 2,IND up 3 (9-6)
67,11/1/16,IND,,LAL,1st,07:34.0,IND up 3 (9-6),P. George makes free throw 2 of 2,IND up 4 (10-6)
68,11/1/16,IND,,LAL,1st,04:34.0,IND up 6 (19-13),C. Miles makes free throw 1 of 1,IND up 7 (20-13)
69,11/1/16,IND,,LAL,1st,03:46.0,IND up 7 (20-13),P. George makes free throw 1 of 2,IND up 8 (21-13)
70,11/1/16,IND,,LAL,1st,03:46.0,IND up 8 (21-13),P. George makes free throw 2 of 2,IND up 9 (22-13)
71,11/1/16,IND,,LAL,2nd,10:35.0,IND up 9 (31-22),C. Miles makes free throw 1 of 1,IND up 10 (32-22)
72,11/1/16,IND,,LAL,2nd,08:47.0,IND up 4 (32-28),P. George makes free throw 1 of 2,IND up 5 (33-28)
73,11/1/16,IND,,LAL,2nd,08:47.0,IND up 5 (33-28),P. George makes free throw 2 of 2,IND up 6 (34-28)
74,11/1/16,IND,,LAL,2nd,06:55.0,IND up 7 (39-32),M. Turner makes free throw 1 of 2,IND up 8 (40-32)
75,11/1/16,IND,,LAL,2nd,06:55.0,IND up 8 (40-32),M. Turner makes free throw 2 of 2,IND up 9 (41-32)
76,11/1/16,IND,,LAL,2nd,05:59.0,IND up 8 (44-36),M. Ellis makes free throw 1 of 2,IND up 9 (45-36)
77,11/1/16,IND,,LAL,2nd,05:59.0,IND up 9 (45-36),M. Ellis misses free throw 2 of 2,IND up 9 (45-36)
78,11/1/16,IND,,LAL,2nd,02:53.0,IND up 15 (57-42),P. George makes technical free throw,IND up 16 (58-42)
79,11/1/16,IND,,LAL,2nd,00:27.0,IND up 11 (60-49),M. Ellis makes free throw 1 of 2,IND up 12 (61-49)
80,11/1/16,IND,,LAL,2nd,00:27.0,IND up 12 (61-49),M. Ellis makes free throw 2 of 2,IND up 13 (62-49)
81,11/1/16,IND,,LAL,3rd,10:53.0,IND up 8 (62-54),J. Teague misses free throw 1 of 2,IND up 8 (62-54)
82,11/1/16,IND,,LAL,3rd,10:53.0,IND up 8 (62-54),J. Teague misses free throw 2 of 2,IND up 8 (62-54)
83,11/1/16,IND,,LAL,3rd,07:52.0,IND up 3 (66-63),P. George makes free throw 1 of 1,IND up 4 (67-63)
84,11/1/16,IND,,LAL,4th,08:53.0,IND up 3 (90-87),A. Brooks misses free throw 1 of 2,IND up 3 (90-87)
85,11/1/16,IND,,LAL,4th,08:53.0,IND up 3 (90-87),A. Brooks makes free throw 2 of 2,IND up 4 (91-87)
86,11/1/16,IND,,LAL,4th,05:25.0,IND up 6 (100-94),M. Turner makes free throw 1 of 1,IND up 7 (101-94)
87,11/1/16,IND,,LAL,4th,04:59.0,IND up 5 (101-96),M. Turner makes free throw 1 of 2,IND up 6 (102-96)
88,11/1/16,IND,,LAL,4th,04:59.0,IND up 6 (102-96),M. Turner makes free throw 2 of 2,IND up 7 (103-96)
89,11/1/16,IND,,LAL,4th,00:32.0,IND up 3 (111-108),P. George makes free throw 1 of 2,IND up 4 (112-108)
90,11/1/16,IND,,LAL,4th,00:32.0,IND up 4 (112-108),P. George makes free throw 2 of 2,IND up 5 (113-108)
91,11/1/16,IND,,LAL,4th,00:17.0,IND up 5 (113-108),P. George makes free throw 1 of 2,IND up 6 (114-108)
92,11/1/16,IND,,LAL,4th,00:17.0,IND up 6 (114-108),P. George makes free throw 2 of 2,IND up 7 (115-108)
93,11/3/16,IND,@,MIL,1st,11:12.0,IND up 3 (3-0),J. Teague makes free throw 1 of 2,IND up 4 (4-0)
94,11/3/16,IND,@,MIL,1st,11:12.0,IND up 4 (4-0),J. Teague makes free throw 2 of 2,IND up 5 (5-0)
95,11/3/16,IND,@,MIL,1st,02:02.0,IND tied (22-22),C. Miles makes free throw 1 of 2,IND up 1 (23-22)
96,11/3/16,IND,@,MIL,1st,02:02.0,IND up 1 (23-22),C. Miles makes free throw 2 of 2,IND up 2 (24-22)
97,11/3/16,IND,@,MIL,1st,00:54.0,IND up 1 (26-25),A. Jefferson misses free throw 1 of 2,IND up 1 (26-25)
98,11/3/16,IND,@,MIL,1st,00:54.0,IND up 1 (26-25),A. Jefferson makes free throw 2 of 2,IND up 2 (27-25)
99,11/3/16,IND,@,MIL,2nd,10:56.0,IND down 1 (32-33),C. Miles makes free throw 1 of 2,IND tied (33-33)
100,11/3/16,IND,@,MIL,2nd,10:56.0,IND tied (33-33),C. Miles makes free throw 2 of 2,IND up 1 (34-33)
101,11/3/16,IND,@,MIL,2nd,10:19.0,IND down 1 (34-35),C. Miles makes free throw 1 of 2,IND tied (35-35)
102,11/3/16,IND,@,MIL,2nd,10:19.0,IND tied (35-35),C. Miles misses free throw 2 of 2,IND tied (35-35)
103,11/3/16,IND,@,MIL,2nd,06:35.0,IND down 6 (42-48),T. Young misses free throw 1 of 2,IND down 6 (42-48)
104,11/3/16,IND,@,MIL,2nd,06:35.0,IND down 6 (42-48),T. Young makes free throw 2 of 2,IND down 5 (43-48)
105,11/3/16,IND,@,MIL,2nd,05:18.0,IND down 4 (45-49),P. George misses free throw 1 of 2,IND down 4 (45-49)
106,11/3/16,IND,@,MIL,2nd,05:18.0,IND down 4 (45-49),P. George misses free throw 2 of 2,IND down 4 (45-49)
107,11/3/16,IND,@,MIL,2nd,04:53.0,IND down 2 (47-49),P. George makes free throw 1 of 1,IND down 1 (48-49)
108,11/3/16,IND,@,MIL,2nd,01:57.0,IND down 2 (52-54),J. Teague makes free throw 1 of 2,IND down 1 (53-54)
109,11/3/16,IND,@,MIL,2nd,01:57.0,IND down 1 (53-54),J. Teague makes free throw 2 of 2,IND tied (54-54)
