Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,NOP,,DEN,1st,00:37.0,NOP down 6 (22-28),A. Davis makes free throw 1 of 2,NOP down 5 (23-28)
2,10/26/16,NOP,,DEN,1st,00:37.0,NOP down 5 (23-28),A. Davis makes free throw 2 of 2,NOP down 4 (24-28)
3,10/26/16,NOP,,DEN,2nd,10:29.0,NOP down 4 (30-34),L. Galloway makes free throw 1 of 1,NOP down 3 (31-34)
4,10/26/16,NOP,,DEN,2nd,08:41.0,NOP down 8 (33-41),A. Davis makes free throw 1 of 2,NOP down 7 (34-41)
5,10/26/16,NOP,,DEN,2nd,08:41.0,NOP down 7 (34-41),A. Davis makes free throw 2 of 2,NOP down 6 (35-41)
6,10/26/16,NOP,,DEN,2nd,03:25.0,NOP down 9 (42-51),A. Davis makes free throw 1 of 2,NOP down 8 (43-51)
7,10/26/16,NOP,,DEN,2nd,03:25.0,NOP down 8 (43-51),A. Davis makes free throw 2 of 2,NOP down 7 (44-51)
8,10/26/16,NOP,,DEN,2nd,02:54.0,NOP down 10 (44-54),T. Frazier misses free throw 1 of 2,NOP down 10 (44-54)
9,10/26/16,NOP,,DEN,2nd,02:54.0,NOP down 10 (44-54),T. Frazier misses free throw 2 of 2,NOP down 10 (44-54)
10,10/26/16,NOP,,DEN,3rd,11:46.0,NOP down 12 (48-60),A. Davis makes technical free throw,NOP down 11 (49-60)
11,10/26/16,NOP,,DEN,3rd,09:37.0,NOP down 7 (53-60),A. Davis makes free throw 1 of 2,NOP down 6 (54-60)
12,10/26/16,NOP,,DEN,3rd,09:37.0,NOP down 6 (54-60),A. Davis makes free throw 2 of 2,NOP down 5 (55-60)
13,10/26/16,NOP,,DEN,3rd,08:37.0,NOP down 9 (55-64),A. Davis makes free throw 1 of 2,NOP down 8 (56-64)
14,10/26/16,NOP,,DEN,3rd,08:37.0,NOP down 8 (56-64),A. Davis makes free throw 2 of 2,NOP down 7 (57-64)
