Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,DET,@,TOR,1st,00:16.0,DET down 10 (21-31),T. Harris makes free throw 1 of 2,DET down 9 (22-31)
2,10/26/16,DET,@,TOR,1st,00:16.0,DET down 9 (22-31),T. Harris makes free throw 2 of 2,DET down 8 (23-31)
3,10/26/16,DET,@,TOR,2nd,11:38.0,DET down 10 (23-33),B. Udrih makes free throw 1 of 2,DET down 9 (24-33)
4,10/26/16,DET,@,TOR,2nd,11:38.0,DET down 9 (24-33),B. Udrih makes free throw 2 of 2,DET down 8 (25-33)
5,10/26/16,DET,@,TOR,2nd,09:28.0,DET down 5 (29-34),M. Morris makes free throw 1 of 1,DET down 4 (30-34)
6,10/26/16,DET,@,TOR,2nd,05:40.0,DET down 9 (34-43),A. Baynes makes free throw 1 of 2,DET down 8 (35-43)
7,10/26/16,DET,@,TOR,2nd,05:40.0,DET down 8 (35-43),A. Baynes makes free throw 2 of 2,DET down 7 (36-43)
8,10/26/16,DET,@,TOR,2nd,03:33.0,DET down 8 (41-49),T. Harris makes free throw 1 of 2,DET down 7 (42-49)
9,10/26/16,DET,@,TOR,2nd,03:33.0,DET down 7 (42-49),T. Harris makes free throw 2 of 2,DET down 6 (43-49)
10,10/26/16,DET,@,TOR,2nd,03:04.0,DET down 4 (45-49),T. Harris makes free throw 1 of 1,DET down 3 (46-49)
11,10/26/16,DET,@,TOR,3rd,11:21.0,DET down 12 (48-60),A. Drummond makes free throw 1 of 1,DET down 11 (49-60)
12,10/26/16,DET,@,TOR,3rd,06:47.0,DET down 13 (58-71),A. Drummond misses free throw 1 of 2,DET down 13 (58-71)
13,10/26/16,DET,@,TOR,3rd,06:47.0,DET down 13 (58-71),A. Drummond misses free throw 2 of 2,DET down 13 (58-71)
14,10/26/16,DET,@,TOR,4th,09:09.0,DET down 13 (77-90),B. Udrih makes free throw 1 of 2,DET down 12 (78-90)
15,10/26/16,DET,@,TOR,4th,09:09.0,DET down 12 (78-90),B. Udrih misses free throw 2 of 2,DET down 12 (78-90)
16,10/26/16,DET,@,TOR,4th,07:29.0,DET down 12 (80-92),A. Drummond misses free throw 1 of 2,DET down 12 (80-92)
17,10/26/16,DET,@,TOR,4th,07:29.0,DET down 12 (80-92),A. Drummond misses free throw 2 of 2,DET down 12 (80-92)
18,10/26/16,DET,@,TOR,4th,04:39.0,DET down 13 (86-99),A. Drummond makes free throw 1 of 1,DET down 12 (87-99)
19,10/26/16,DET,@,TOR,4th,02:10.0,DET down 19 (87-106),J. Leuer makes free throw 1 of 2,DET down 18 (88-106)
20,10/26/16,DET,@,TOR,4th,02:10.0,DET down 18 (88-106),J. Leuer makes free throw 2 of 2,DET down 17 (89-106)
21,10/26/16,DET,@,TOR,4th,00:18.0,DET down 20 (89-109),M. Gbinije makes free throw 1 of 2,DET down 19 (90-109)
22,10/26/16,DET,@,TOR,4th,00:18.0,DET down 19 (90-109),M. Gbinije makes free throw 2 of 2,DET down 18 (91-109)
23,10/28/16,DET,,ORL,2nd,08:07.0,DET up 12 (36-24),M. Morris makes free throw 1 of 1,DET up 13 (37-24)
24,10/28/16,DET,,ORL,3rd,10:22.0,DET up 25 (58-33),K. Caldwell-Pope makes technical free throw,DET up 26 (59-33)
25,10/28/16,DET,,ORL,3rd,03:22.0,DET up 28 (74-46),A. Drummond makes free throw 1 of 2,DET up 29 (75-46)
26,10/28/16,DET,,ORL,3rd,03:22.0,DET up 29 (75-46),A. Drummond makes free throw 2 of 2,DET up 30 (76-46)
27,10/28/16,DET,,ORL,4th,09:33.0,DET up 31 (92-61),A. Baynes makes free throw 1 of 2,DET up 32 (93-61)
28,10/28/16,DET,,ORL,4th,09:33.0,DET up 32 (93-61),A. Baynes misses free throw 2 of 2,DET up 32 (93-61)
29,10/30/16,DET,,MIL,2nd,05:09.0,DET up 5 (38-33),A. Drummond makes free throw 1 of 2,DET up 6 (39-33)
30,10/30/16,DET,,MIL,2nd,05:09.0,DET up 6 (39-33),A. Drummond makes free throw 2 of 2,DET up 7 (40-33)
31,10/30/16,DET,,MIL,2nd,04:56.0,DET up 7 (40-33),K. Caldwell-Pope makes free throw 1 of 2,DET up 8 (41-33)
32,10/30/16,DET,,MIL,2nd,04:56.0,DET up 8 (41-33),K. Caldwell-Pope makes free throw 2 of 2,DET up 9 (42-33)
33,10/30/16,DET,,MIL,2nd,03:21.0,DET up 11 (46-35),I. Smith makes free throw 1 of 1,DET up 12 (47-35)
34,10/30/16,DET,,MIL,3rd,10:54.0,DET up 9 (50-41),A. Drummond makes free throw 1 of 2,DET up 10 (51-41)
35,10/30/16,DET,,MIL,3rd,10:54.0,DET up 10 (51-41),A. Drummond misses free throw 2 of 2,DET up 10 (51-41)
36,10/30/16,DET,,MIL,3rd,04:33.0,DET up 3 (61-58),K. Caldwell-Pope makes technical free throw,DET up 4 (62-58)
37,10/30/16,DET,,MIL,4th,07:03.0,DET up 7 (82-75),M. Morris makes free throw 1 of 2,DET up 8 (83-75)
38,10/30/16,DET,,MIL,4th,07:03.0,DET up 8 (83-75),M. Morris makes free throw 2 of 2,DET up 9 (84-75)
39,10/30/16,DET,,MIL,4th,04:18.0,DET up 13 (90-77),A. Drummond misses free throw 1 of 2,DET up 13 (90-77)
40,10/30/16,DET,,MIL,4th,04:18.0,DET up 13 (90-77),A. Drummond misses free throw 2 of 2,DET up 13 (90-77)
41,10/30/16,DET,,MIL,4th,03:54.0,DET up 13 (90-77),A. Drummond misses free throw 1 of 2,DET up 13 (90-77)
42,10/30/16,DET,,MIL,4th,03:54.0,DET up 13 (90-77),A. Drummond makes free throw 2 of 2,DET up 14 (91-77)
43,10/30/16,DET,,MIL,4th,03:12.0,DET up 12 (91-79),A. Baynes makes free throw 1 of 2,DET up 13 (92-79)
44,10/30/16,DET,,MIL,4th,03:12.0,DET up 13 (92-79),A. Baynes makes free throw 2 of 2,DET up 14 (93-79)
45,10/30/16,DET,,MIL,4th,01:35.0,DET up 14 (95-81),A. Baynes makes free throw 1 of 2,DET up 15 (96-81)
46,10/30/16,DET,,MIL,4th,01:35.0,DET up 15 (96-81),A. Baynes misses free throw 2 of 2,DET up 15 (96-81)
47,10/30/16,DET,,MIL,4th,01:21.0,DET up 13 (96-83),K. Caldwell-Pope makes free throw 1 of 2,DET up 14 (97-83)
48,10/30/16,DET,,MIL,4th,01:21.0,DET up 14 (97-83),K. Caldwell-Pope makes free throw 2 of 2,DET up 15 (98-83)
49,11/1/16,DET,,NYK,1st,11:06.0,DET tied (2-2),K. Caldwell-Pope makes free throw 1 of 1,DET up 1 (3-2)
50,11/1/16,DET,,NYK,1st,10:37.0,DET up 1 (3-2),A. Drummond misses free throw 1 of 2,DET up 1 (3-2)
51,11/1/16,DET,,NYK,1st,10:37.0,DET up 1 (3-2),A. Drummond misses free throw 2 of 2,DET up 1 (3-2)
52,11/1/16,DET,,NYK,2nd,10:47.0,DET tied (32-32),T. Harris makes free throw 1 of 2,DET up 1 (33-32)
53,11/1/16,DET,,NYK,2nd,10:47.0,DET up 1 (33-32),T. Harris makes free throw 2 of 2,DET up 2 (34-32)
54,11/1/16,DET,,NYK,2nd,08:58.0,DET up 4 (36-32),A. Drummond misses free throw 1 of 2,DET up 4 (36-32)
55,11/1/16,DET,,NYK,2nd,08:58.0,DET up 4 (36-32),A. Drummond misses free throw 2 of 2,DET up 4 (36-32)
56,11/1/16,DET,,NYK,2nd,03:36.0,DET up 6 (52-46),T. Harris misses free throw 1 of 2,DET up 6 (52-46)
57,11/1/16,DET,,NYK,2nd,03:36.0,DET up 6 (52-46),T. Harris makes free throw 2 of 2,DET up 7 (53-46)
58,11/1/16,DET,,NYK,2nd,00:42.0,DET up 11 (63-52),S. Johnson misses free throw 1 of 2,DET up 11 (63-52)
59,11/1/16,DET,,NYK,2nd,00:42.0,DET up 11 (63-52),S. Johnson makes free throw 2 of 2,DET up 12 (64-52)
60,11/1/16,DET,,NYK,3rd,08:46.0,DET up 7 (67-60),T. Harris makes free throw 1 of 2,DET up 8 (68-60)
61,11/1/16,DET,,NYK,3rd,08:46.0,DET up 8 (68-60),T. Harris makes free throw 2 of 2,DET up 9 (69-60)
