Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,TOR,,DET,1st,09:04.0,TOR down 7 (4-11),J. Valanciunas makes free throw 1 of 2,TOR down 6 (5-11)
2,10/26/16,TOR,,DET,1st,09:04.0,TOR down 6 (5-11),J. Valanciunas makes free throw 2 of 2,TOR down 5 (6-11)
3,10/26/16,TOR,,DET,1st,08:43.0,TOR down 5 (6-11),J. Valanciunas makes free throw 1 of 2,TOR down 4 (7-11)
4,10/26/16,TOR,,DET,1st,08:43.0,TOR down 4 (7-11),J. Valanciunas makes free throw 2 of 2,TOR down 3 (8-11)
5,10/26/16,TOR,,DET,1st,08:23.0,TOR down 3 (8-11),J. Valanciunas makes free throw 1 of 2,TOR down 2 (9-11)
6,10/26/16,TOR,,DET,1st,08:23.0,TOR down 2 (9-11),J. Valanciunas makes free throw 2 of 2,TOR down 1 (10-11)
7,10/26/16,TOR,,DET,1st,06:24.0,TOR up 3 (16-13),D. DeRozan makes free throw 1 of 1,TOR up 4 (17-13)
8,10/26/16,TOR,,DET,1st,04:31.0,TOR tied (17-17),J. Valanciunas makes free throw 1 of 2,TOR up 1 (18-17)
9,10/26/16,TOR,,DET,1st,04:31.0,TOR up 1 (18-17),J. Valanciunas makes free throw 2 of 2,TOR up 2 (19-17)
10,10/26/16,TOR,,DET,1st,01:29.0,TOR up 8 (27-19),D. DeRozan makes free throw 1 of 2,TOR up 9 (28-19)
11,10/26/16,TOR,,DET,1st,01:29.0,TOR up 9 (28-19),D. DeRozan makes free throw 2 of 2,TOR up 10 (29-19)
12,10/26/16,TOR,,DET,1st,00:01.0,TOR up 8 (31-23),D. DeRozan makes free throw 1 of 2,TOR up 9 (32-23)
13,10/26/16,TOR,,DET,1st,00:01.0,TOR up 9 (32-23),D. DeRozan makes free throw 2 of 2,TOR up 10 (33-23)
14,10/26/16,TOR,,DET,2nd,11:29.0,TOR up 8 (33-25),P. Patterson makes free throw 1 of 2,TOR up 9 (34-25)
15,10/26/16,TOR,,DET,2nd,11:29.0,TOR up 9 (34-25),P. Patterson misses free throw 2 of 2,TOR up 9 (34-25)
16,10/26/16,TOR,,DET,2nd,08:46.0,TOR up 4 (34-30),D. Carroll makes free throw 1 of 2,TOR up 5 (35-30)
17,10/26/16,TOR,,DET,2nd,08:46.0,TOR up 5 (35-30),D. Carroll misses free throw 2 of 2,TOR up 5 (35-30)
18,10/26/16,TOR,,DET,2nd,06:57.0,TOR up 9 (39-30),J. Valanciunas misses free throw 1 of 1,TOR up 9 (39-30)
19,10/26/16,TOR,,DET,2nd,06:26.0,TOR up 7 (39-32),J. Valanciunas makes free throw 1 of 2,TOR up 8 (40-32)
20,10/26/16,TOR,,DET,2nd,06:26.0,TOR up 8 (40-32),J. Valanciunas misses free throw 2 of 2,TOR up 8 (40-32)
21,10/26/16,TOR,,DET,2nd,05:40.0,TOR up 8 (42-34),K. Lowry makes technical free throw,TOR up 9 (43-34)
22,10/26/16,TOR,,DET,2nd,04:14.0,TOR up 6 (47-41),J. Valanciunas makes free throw 1 of 2,TOR up 7 (48-41)
23,10/26/16,TOR,,DET,2nd,04:14.0,TOR up 7 (48-41),J. Valanciunas makes free throw 2 of 2,TOR up 8 (49-41)
24,10/26/16,TOR,,DET,3rd,07:01.0,TOR up 12 (70-58),D. Carroll makes free throw 1 of 2,TOR up 13 (71-58)
25,10/26/16,TOR,,DET,3rd,07:01.0,TOR up 13 (71-58),D. Carroll misses free throw 2 of 2,TOR up 13 (71-58)
26,10/26/16,TOR,,DET,3rd,03:45.0,TOR up 15 (77-62),D. DeRozan makes free throw 1 of 1,TOR up 16 (78-62)
27,10/26/16,TOR,,DET,4th,11:25.0,TOR up 15 (86-71),K. Lowry makes free throw 1 of 2,TOR up 16 (87-71)
28,10/26/16,TOR,,DET,4th,11:25.0,TOR up 16 (87-71),K. Lowry makes free throw 2 of 2,TOR up 17 (88-71)
29,10/26/16,TOR,,DET,4th,01:55.0,TOR up 19 (108-89),J. Valanciunas makes free throw 1 of 1,TOR up 20 (109-89)
30,10/28/16,TOR,,CLE,2nd,07:29.0,TOR down 8 (28-36),D. Carroll makes free throw 1 of 2,TOR down 7 (29-36)
31,10/28/16,TOR,,CLE,2nd,07:29.0,TOR down 7 (29-36),D. Carroll makes free throw 2 of 2,TOR down 6 (30-36)
32,10/28/16,TOR,,CLE,2nd,00:03.0,TOR down 12 (38-50),D. DeRozan makes free throw 1 of 2,TOR down 11 (39-50)
33,10/28/16,TOR,,CLE,2nd,00:03.0,TOR down 11 (39-50),D. DeRozan makes free throw 2 of 2,TOR down 10 (40-50)
34,10/28/16,TOR,,CLE,3rd,09:43.0,TOR down 8 (42-50),D. DeRozan makes free throw 1 of 2,TOR down 7 (43-50)
35,10/28/16,TOR,,CLE,3rd,09:43.0,TOR down 7 (43-50),D. DeRozan makes free throw 2 of 2,TOR down 6 (44-50)
36,10/28/16,TOR,,CLE,3rd,07:53.0,TOR down 11 (46-57),D. DeRozan makes free throw 1 of 2,TOR down 10 (47-57)
37,10/28/16,TOR,,CLE,3rd,07:53.0,TOR down 10 (47-57),D. DeRozan makes free throw 2 of 2,TOR down 9 (48-57)
38,10/28/16,TOR,,CLE,3rd,01:52.0,TOR down 4 (62-66),J. Poeltl makes free throw 1 of 1,TOR down 3 (63-66)
39,10/28/16,TOR,,CLE,4th,06:39.0,TOR down 4 (79-83),K. Lowry makes free throw 1 of 1,TOR down 3 (80-83)
40,10/28/16,TOR,,CLE,4th,05:39.0,TOR down 3 (80-83),K. Lowry makes free throw 1 of 2,TOR down 2 (81-83)
41,10/28/16,TOR,,CLE,4th,05:39.0,TOR down 2 (81-83),K. Lowry makes free throw 2 of 2,TOR down 1 (82-83)
42,10/28/16,TOR,,CLE,4th,04:45.0,TOR down 3 (82-85),D. DeRozan makes free throw 1 of 2,TOR down 2 (83-85)
43,10/28/16,TOR,,CLE,4th,04:45.0,TOR down 2 (83-85),D. DeRozan makes free throw 2 of 2,TOR down 1 (84-85)
44,10/28/16,TOR,,CLE,4th,03:42.0,TOR down 2 (84-86),K. Lowry makes free throw 1 of 2,TOR down 1 (85-86)
45,10/28/16,TOR,,CLE,4th,03:42.0,TOR down 1 (85-86),K. Lowry makes free throw 2 of 2,TOR tied (86-86)
46,10/28/16,TOR,,CLE,4th,02:37.0,TOR tied (88-88),K. Lowry misses free throw 1 of 2,TOR tied (88-88)
47,10/28/16,TOR,,CLE,4th,02:37.0,TOR tied (88-88),K. Lowry makes free throw 2 of 2,TOR up 1 (89-88)
48,10/31/16,TOR,,DEN,1st,09:17.0,TOR down 1 (6-7),D. DeRozan makes technical free throw,TOR tied (7-7)
49,10/31/16,TOR,,DEN,1st,09:10.0,TOR tied (7-7),D. DeRozan makes technical free throw,TOR up 1 (8-7)
50,10/31/16,TOR,,DEN,2nd,09:50.0,TOR up 12 (38-26),T. Ross makes free throw 1 of 2,TOR up 13 (39-26)
51,10/31/16,TOR,,DEN,2nd,09:50.0,TOR up 13 (39-26),T. Ross makes free throw 2 of 2,TOR up 14 (40-26)
52,10/31/16,TOR,,DEN,2nd,08:54.0,TOR up 16 (42-26),K. Lowry makes free throw 1 of 2,TOR up 17 (43-26)
53,10/31/16,TOR,,DEN,2nd,08:54.0,TOR up 17 (43-26),K. Lowry makes free throw 2 of 2,TOR up 18 (44-26)
54,10/31/16,TOR,,DEN,2nd,06:52.0,TOR up 16 (46-30),P. Patterson makes free throw 1 of 2,TOR up 17 (47-30)
55,10/31/16,TOR,,DEN,2nd,06:52.0,TOR up 17 (47-30),P. Patterson misses free throw 2 of 2,TOR up 17 (47-30)
56,10/31/16,TOR,,DEN,2nd,04:48.0,TOR up 17 (50-33),D. DeRozan makes free throw 1 of 2,TOR up 18 (51-33)
57,10/31/16,TOR,,DEN,2nd,04:48.0,TOR up 18 (51-33),D. DeRozan makes free throw 2 of 2,TOR up 19 (52-33)
58,10/31/16,TOR,,DEN,2nd,02:16.0,TOR up 14 (56-42),D. DeRozan makes free throw 1 of 2,TOR up 15 (57-42)
59,10/31/16,TOR,,DEN,2nd,02:16.0,TOR up 15 (57-42),D. DeRozan makes free throw 2 of 2,TOR up 16 (58-42)
60,10/31/16,TOR,,DEN,3rd,08:31.0,TOR up 6 (66-60),K. Lowry makes free throw 1 of 2,TOR up 7 (67-60)
61,10/31/16,TOR,,DEN,3rd,08:31.0,TOR up 7 (67-60),K. Lowry makes free throw 2 of 2,TOR up 8 (68-60)
62,10/31/16,TOR,,DEN,3rd,05:51.0,TOR up 11 (75-64),K. Lowry makes free throw 1 of 2,TOR up 12 (76-64)
63,10/31/16,TOR,,DEN,3rd,05:51.0,TOR up 12 (76-64),K. Lowry makes free throw 2 of 2,TOR up 13 (77-64)
64,10/31/16,TOR,,DEN,3rd,00:50.0,TOR up 6 (85-79),D. DeRozan misses free throw 1 of 1,TOR up 6 (85-79)
65,10/31/16,TOR,,DEN,3rd,00:30.0,TOR up 4 (85-81),D. DeRozan misses free throw 1 of 2,TOR up 4 (85-81)
66,10/31/16,TOR,,DEN,3rd,00:30.0,TOR up 4 (85-81),D. DeRozan makes free throw 2 of 2,TOR up 5 (86-81)
67,10/31/16,TOR,,DEN,4th,11:11.0,TOR up 3 (88-85),K. Lowry makes free throw 1 of 2,TOR up 4 (89-85)
68,10/31/16,TOR,,DEN,4th,11:11.0,TOR up 4 (89-85),K. Lowry misses free throw 2 of 2,TOR up 4 (89-85)
69,10/31/16,TOR,,DEN,4th,09:27.0,TOR up 3 (89-86),J. Poeltl makes free throw 1 of 2,TOR up 4 (90-86)
70,10/31/16,TOR,,DEN,4th,09:27.0,TOR up 4 (90-86),J. Poeltl misses free throw 2 of 2,TOR up 4 (90-86)
71,10/31/16,TOR,,DEN,4th,06:58.0,TOR down 5 (92-97),K. Lowry makes free throw 1 of 2,TOR down 4 (93-97)
72,10/31/16,TOR,,DEN,4th,06:58.0,TOR down 4 (93-97),K. Lowry misses free throw 2 of 2,TOR down 4 (93-97)
73,11/2/16,TOR,@,WAS,1st,08:50.0,TOR down 9 (2-11),D. DeRozan misses technical free throw,TOR down 9 (2-11)
74,11/2/16,TOR,@,WAS,1st,03:25.0,TOR down 12 (15-27),D. DeRozan misses free throw 1 of 2,TOR down 12 (15-27)
75,11/2/16,TOR,@,WAS,1st,03:25.0,TOR down 12 (15-27),D. DeRozan makes free throw 2 of 2,TOR down 11 (16-27)
76,11/2/16,TOR,@,WAS,1st,02:56.0,TOR down 11 (16-27),D. DeRozan misses free throw 1 of 2,TOR down 11 (16-27)
77,11/2/16,TOR,@,WAS,1st,02:56.0,TOR down 11 (16-27),D. DeRozan makes free throw 2 of 2,TOR down 10 (17-27)
78,11/2/16,TOR,@,WAS,1st,02:20.0,TOR down 10 (17-27),D. DeRozan makes free throw 1 of 2,TOR down 9 (18-27)
79,11/2/16,TOR,@,WAS,1st,02:20.0,TOR down 9 (18-27),D. DeRozan makes free throw 2 of 2,TOR down 8 (19-27)
80,11/2/16,TOR,@,WAS,2nd,01:13.0,TOR down 1 (50-51),D. Carroll makes free throw 1 of 2,TOR tied (51-51)
81,11/2/16,TOR,@,WAS,2nd,01:13.0,TOR tied (51-51),D. Carroll makes free throw 2 of 2,TOR up 1 (52-51)
82,11/2/16,TOR,@,WAS,3rd,02:26.0,TOR up 9 (77-68),D. Carroll misses free throw 1 of 2,TOR up 9 (77-68)
83,11/2/16,TOR,@,WAS,3rd,02:26.0,TOR up 9 (77-68),D. Carroll misses free throw 2 of 2,TOR up 9 (77-68)
84,11/2/16,TOR,@,WAS,3rd,02:00.0,TOR up 10 (79-69),D. DeRozan makes free throw 1 of 1,TOR up 11 (80-69)
85,11/2/16,TOR,@,WAS,4th,09:31.0,TOR up 9 (89-80),T. Ross makes free throw 1 of 1,TOR up 10 (90-80)
86,11/2/16,TOR,@,WAS,4th,07:16.0,TOR up 2 (90-88),D. DeRozan makes free throw 1 of 2,TOR up 3 (91-88)
87,11/2/16,TOR,@,WAS,4th,07:16.0,TOR up 3 (91-88),D. DeRozan makes free throw 2 of 2,TOR up 4 (92-88)
88,11/2/16,TOR,@,WAS,4th,06:20.0,TOR tied (92-92),D. DeRozan makes free throw 1 of 2,TOR up 1 (93-92)
89,11/2/16,TOR,@,WAS,4th,06:20.0,TOR up 1 (93-92),D. DeRozan misses free throw 2 of 2,TOR up 1 (93-92)
90,11/2/16,TOR,@,WAS,4th,03:30.0,TOR up 4 (100-96),D. DeRozan makes free throw 1 of 2,TOR up 5 (101-96)
91,11/2/16,TOR,@,WAS,4th,03:30.0,TOR up 5 (101-96),D. DeRozan misses free throw 2 of 2,TOR up 5 (101-96)
92,11/2/16,TOR,@,WAS,4th,02:37.0,TOR up 3 (101-98),K. Lowry misses free throw 1 of 2,TOR up 3 (101-98)
93,11/2/16,TOR,@,WAS,4th,02:37.0,TOR up 3 (101-98),K. Lowry makes free throw 2 of 2,TOR up 4 (102-98)
94,11/2/16,TOR,@,WAS,4th,01:13.0,TOR up 4 (106-102),J. Valanciunas makes free throw 1 of 2,TOR up 5 (107-102)
95,11/2/16,TOR,@,WAS,4th,01:13.0,TOR up 5 (107-102),J. Valanciunas makes free throw 2 of 2,TOR up 6 (108-102)
96,11/2/16,TOR,@,WAS,4th,01:03.0,TOR up 6 (108-102),D. DeRozan makes free throw 1 of 2,TOR up 7 (109-102)
97,11/2/16,TOR,@,WAS,4th,01:03.0,TOR up 7 (109-102),D. DeRozan makes free throw 2 of 2,TOR up 8 (110-102)
98,11/4/16,TOR,,MIA,1st,09:47.0,TOR down 2 (2-4),J. Valanciunas makes free throw 1 of 2,TOR down 1 (3-4)
99,11/4/16,TOR,,MIA,1st,09:47.0,TOR down 1 (3-4),J. Valanciunas makes free throw 2 of 2,TOR tied (4-4)
100,11/4/16,TOR,,MIA,1st,03:50.0,TOR down 11 (10-21),J. Valanciunas misses free throw 1 of 2,TOR down 11 (10-21)
101,11/4/16,TOR,,MIA,1st,03:50.0,TOR down 11 (10-21),J. Valanciunas makes free throw 2 of 2,TOR down 10 (11-21)
102,11/4/16,TOR,,MIA,2nd,09:17.0,TOR down 1 (31-32),T. Ross makes free throw 1 of 1,TOR tied (32-32)
103,11/4/16,TOR,,MIA,2nd,07:14.0,TOR up 5 (40-35),K. Lowry makes free throw 1 of 1,TOR up 6 (41-35)
104,11/4/16,TOR,,MIA,2nd,04:04.0,TOR up 3 (43-40),J. Poeltl makes free throw 1 of 2,TOR up 4 (44-40)
105,11/4/16,TOR,,MIA,2nd,04:04.0,TOR up 4 (44-40),J. Poeltl makes free throw 2 of 2,TOR up 5 (45-40)
106,11/4/16,TOR,,MIA,3rd,03:55.0,TOR up 14 (69-55),D. DeRozan makes free throw 1 of 2,TOR up 15 (70-55)
107,11/4/16,TOR,,MIA,3rd,03:55.0,TOR up 15 (70-55),D. DeRozan makes free throw 2 of 2,TOR up 16 (71-55)
108,11/4/16,TOR,,MIA,3rd,01:45.0,TOR up 11 (73-62),D. DeRozan makes free throw 1 of 2,TOR up 12 (74-62)
109,11/4/16,TOR,,MIA,3rd,01:45.0,TOR up 12 (74-62),D. DeRozan makes free throw 2 of 2,TOR up 13 (75-62)
110,11/4/16,TOR,,MIA,4th,11:17.0,TOR up 3 (75-72),N. Powell makes free throw 1 of 2,TOR up 4 (76-72)
111,11/4/16,TOR,,MIA,4th,11:17.0,TOR up 4 (76-72),N. Powell misses free throw 2 of 2,TOR up 4 (76-72)
112,11/4/16,TOR,,MIA,4th,08:02.0,TOR up 8 (82-74),K. Lowry makes free throw 1 of 2,TOR up 9 (83-74)
113,11/4/16,TOR,,MIA,4th,08:02.0,TOR up 9 (83-74),K. Lowry makes free throw 2 of 2,TOR up 10 (84-74)
114,11/4/16,TOR,,MIA,4th,00:24.0,TOR up 7 (94-87),D. DeRozan makes free throw 1 of 2,TOR up 8 (95-87)
115,11/4/16,TOR,,MIA,4th,00:24.0,TOR up 8 (95-87),D. DeRozan makes free throw 2 of 2,TOR up 9 (96-87)
116,11/6/16,TOR,,SAC,1st,10:03.0,TOR down 1 (2-3),P. Siakam makes free throw 1 of 1,TOR tied (3-3)
117,11/6/16,TOR,,SAC,1st,05:21.0,TOR up 2 (11-9),D. DeRozan makes free throw 1 of 2,TOR up 3 (12-9)
118,11/6/16,TOR,,SAC,1st,05:21.0,TOR up 3 (12-9),D. DeRozan makes free throw 2 of 2,TOR up 4 (13-9)
119,11/6/16,TOR,,SAC,1st,03:57.0,TOR up 6 (15-9),L. Nogueira misses free throw 1 of 2,TOR up 6 (15-9)
120,11/6/16,TOR,,SAC,1st,03:57.0,TOR up 6 (15-9),L. Nogueira makes free throw 2 of 2,TOR up 7 (16-9)
121,11/6/16,TOR,,SAC,2nd,07:57.0,TOR up 8 (33-25),C. Joseph misses free throw 1 of 2,TOR up 8 (33-25)
122,11/6/16,TOR,,SAC,2nd,07:57.0,TOR up 8 (33-25),C. Joseph makes free throw 2 of 2,TOR up 9 (34-25)
123,11/6/16,TOR,,SAC,2nd,04:58.0,TOR up 7 (38-31),K. Lowry misses free throw 1 of 2,TOR up 7 (38-31)
124,11/6/16,TOR,,SAC,2nd,04:58.0,TOR up 7 (38-31),K. Lowry makes free throw 2 of 2,TOR up 8 (39-31)
125,11/6/16,TOR,,SAC,2nd,02:04.0,TOR up 4 (41-37),D. DeRozan makes free throw 1 of 2,TOR up 5 (42-37)
126,11/6/16,TOR,,SAC,2nd,02:04.0,TOR up 5 (42-37),D. DeRozan makes free throw 2 of 2,TOR up 6 (43-37)
127,11/6/16,TOR,,SAC,2nd,00:37.0,TOR up 3 (45-42),D. Carroll makes free throw 1 of 2,TOR up 4 (46-42)
128,11/6/16,TOR,,SAC,2nd,00:37.0,TOR up 4 (46-42),D. Carroll makes free throw 2 of 2,TOR up 5 (47-42)
129,11/6/16,TOR,,SAC,3rd,05:12.0,TOR up 4 (59-55),P. Siakam makes free throw 1 of 2,TOR up 5 (60-55)
130,11/6/16,TOR,,SAC,3rd,05:12.0,TOR up 5 (60-55),P. Siakam misses free throw 2 of 2,TOR up 5 (60-55)
131,11/6/16,TOR,,SAC,3rd,03:56.0,TOR up 1 (60-59),D. DeRozan makes free throw 1 of 2,TOR up 2 (61-59)
132,11/6/16,TOR,,SAC,3rd,03:56.0,TOR up 2 (61-59),D. DeRozan makes free throw 2 of 2,TOR up 3 (62-59)
133,11/6/16,TOR,,SAC,3rd,03:03.0,TOR up 3 (62-59),D. DeRozan makes free throw 1 of 2,TOR up 4 (63-59)
134,11/6/16,TOR,,SAC,3rd,03:03.0,TOR up 4 (63-59),D. DeRozan makes free throw 2 of 2,TOR up 5 (64-59)
135,11/6/16,TOR,,SAC,3rd,00:55.0,TOR down 2 (64-66),C. Joseph makes free throw 1 of 2,TOR down 1 (65-66)
136,11/6/16,TOR,,SAC,3rd,00:55.0,TOR down 1 (65-66),C. Joseph makes free throw 2 of 2,TOR tied (66-66)
137,11/6/16,TOR,,SAC,4th,09:51.0,TOR down 4 (68-72),P. Patterson makes free throw 1 of 3,TOR down 3 (69-72)
138,11/6/16,TOR,,SAC,4th,09:51.0,TOR down 3 (69-72),P. Patterson misses free throw 2 of 3,TOR down 3 (69-72)
139,11/6/16,TOR,,SAC,4th,09:51.0,TOR down 3 (69-72),P. Patterson makes free throw 3 of 3,TOR down 2 (70-72)
140,11/6/16,TOR,,SAC,4th,09:34.0,TOR tied (72-72),K. Lowry makes free throw 1 of 1,TOR up 1 (73-72)
141,11/6/16,TOR,,SAC,4th,08:39.0,TOR tied (73-73),N. Powell makes free throw 1 of 2,TOR up 1 (74-73)
142,11/6/16,TOR,,SAC,4th,08:39.0,TOR up 1 (74-73),N. Powell makes free throw 2 of 2,TOR up 2 (75-73)
143,11/6/16,TOR,,SAC,4th,06:55.0,TOR down 1 (77-78),P. Patterson makes free throw 1 of 2,TOR tied (78-78)
144,11/6/16,TOR,,SAC,4th,06:55.0,TOR tied (78-78),P. Patterson makes free throw 2 of 2,TOR up 1 (79-78)
145,11/6/16,TOR,,SAC,4th,02:14.0,TOR down 2 (88-90),D. DeRozan misses free throw 1 of 2,TOR down 2 (88-90)
146,11/6/16,TOR,,SAC,4th,02:14.0,TOR down 2 (88-90),D. DeRozan misses free throw 2 of 2,TOR down 2 (88-90)
147,11/9/16,TOR,@,OKC,1st,00:54.0,TOR down 12 (15-27),D. DeRozan misses free throw 1 of 2,TOR down 12 (15-27)
148,11/9/16,TOR,@,OKC,1st,00:54.0,TOR down 12 (15-27),D. DeRozan makes free throw 2 of 2,TOR down 11 (16-27)
149,11/9/16,TOR,@,OKC,2nd,11:11.0,TOR down 5 (22-27),K. Lowry makes free throw 1 of 2,TOR down 4 (23-27)
150,11/9/16,TOR,@,OKC,2nd,11:11.0,TOR down 4 (23-27),K. Lowry makes free throw 2 of 2,TOR down 3 (24-27)
151,11/9/16,TOR,@,OKC,2nd,09:27.0,TOR tied (31-31),N. Powell misses free throw 1 of 1,TOR tied (31-31)
152,11/9/16,TOR,@,OKC,2nd,06:11.0,TOR down 8 (35-43),D. DeRozan misses free throw 1 of 2,TOR down 8 (35-43)
153,11/9/16,TOR,@,OKC,2nd,06:11.0,TOR down 8 (35-43),D. DeRozan makes free throw 2 of 2,TOR down 7 (36-43)
154,11/9/16,TOR,@,OKC,2nd,05:47.0,TOR down 9 (36-45),D. DeRozan misses free throw 1 of 2,TOR down 9 (36-45)
155,11/9/16,TOR,@,OKC,2nd,05:47.0,TOR down 9 (36-45),D. DeRozan makes free throw 2 of 2,TOR down 8 (37-45)
156,11/9/16,TOR,@,OKC,2nd,04:44.0,TOR down 7 (39-46),D. DeRozan makes free throw 1 of 2,TOR down 6 (40-46)
157,11/9/16,TOR,@,OKC,2nd,04:44.0,TOR down 6 (40-46),D. DeRozan makes free throw 2 of 2,TOR down 5 (41-46)
158,11/9/16,TOR,@,OKC,2nd,01:42.0,TOR up 4 (53-49),D. DeRozan makes technical free throw,TOR up 5 (54-49)
159,11/9/16,TOR,@,OKC,4th,10:34.0,TOR up 11 (88-77),N. Powell misses free throw 1 of 2,TOR up 11 (88-77)
160,11/9/16,TOR,@,OKC,4th,10:34.0,TOR up 11 (88-77),N. Powell makes free throw 2 of 2,TOR up 12 (89-77)
