Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,HOU,@,LAL,1st,08:44.0,HOU up 8 (14-6),E. Gordon makes free throw 1 of 2,HOU up 9 (15-6)
2,10/26/16,HOU,@,LAL,1st,08:44.0,HOU up 9 (15-6),E. Gordon misses free throw 2 of 2,HOU up 9 (15-6)
3,10/26/16,HOU,@,LAL,1st,06:15.0,HOU tied (19-19),J. Harden makes free throw 1 of 3,HOU up 1 (20-19)
4,10/26/16,HOU,@,LAL,1st,06:15.0,HOU up 1 (20-19),J. Harden makes free throw 2 of 3,HOU up 2 (21-19)
5,10/26/16,HOU,@,LAL,1st,06:15.0,HOU up 2 (21-19),J. Harden makes free throw 3 of 3,HOU up 3 (22-19)
6,10/26/16,HOU,@,LAL,1st,00:08.0,HOU up 3 (38-35),C. Brewer misses free throw 1 of 2,HOU up 3 (38-35)
7,10/26/16,HOU,@,LAL,1st,00:08.0,HOU up 3 (38-35),C. Brewer misses free throw 2 of 2,HOU up 3 (38-35)
8,10/26/16,HOU,@,LAL,2nd,09:31.0,HOU up 5 (46-41),C. Capela misses free throw 1 of 1,HOU up 5 (46-41)
9,10/26/16,HOU,@,LAL,2nd,05:24.0,HOU tied (53-53),N. Hilario misses free throw 1 of 2,HOU tied (53-53)
10,10/26/16,HOU,@,LAL,2nd,05:24.0,HOU tied (53-53),N. Hilario makes free throw 2 of 2,HOU up 1 (54-53)
11,10/26/16,HOU,@,LAL,2nd,00:03.0,HOU up 6 (69-63),J. Harden misses free throw 1 of 3,HOU up 6 (69-63)
12,10/26/16,HOU,@,LAL,2nd,00:03.0,HOU up 6 (69-63),J. Harden makes free throw 2 of 3,HOU up 7 (70-63)
13,10/26/16,HOU,@,LAL,2nd,00:03.0,HOU up 7 (70-63),J. Harden makes free throw 3 of 3,HOU up 8 (71-63)
14,10/26/16,HOU,@,LAL,3rd,00:58.0,HOU up 2 (90-88),J. Harden makes free throw 1 of 1,HOU up 3 (91-88)
15,10/26/16,HOU,@,LAL,3rd,00:36.0,HOU up 3 (91-88),J. Harden makes free throw 1 of 2,HOU up 4 (92-88)
16,10/26/16,HOU,@,LAL,3rd,00:36.0,HOU up 4 (92-88),J. Harden makes free throw 2 of 2,HOU up 5 (93-88)
17,10/26/16,HOU,@,LAL,3rd,00:01.0,HOU up 3 (93-90),J. Harden makes free throw 1 of 3,HOU up 4 (94-90)
18,10/26/16,HOU,@,LAL,3rd,00:01.0,HOU up 4 (94-90),J. Harden makes free throw 2 of 3,HOU up 5 (95-90)
19,10/26/16,HOU,@,LAL,3rd,00:01.0,HOU up 5 (95-90),J. Harden makes free throw 3 of 3,HOU up 6 (96-90)
20,10/26/16,HOU,@,LAL,4th,09:54.0,HOU up 4 (98-94),N. Hilario misses free throw 1 of 2,HOU up 4 (98-94)
21,10/26/16,HOU,@,LAL,4th,09:54.0,HOU up 4 (98-94),N. Hilario misses free throw 2 of 2,HOU up 4 (98-94)
22,10/26/16,HOU,@,LAL,4th,04:42.0,HOU down 4 (106-110),E. Gordon makes free throw 1 of 2,HOU down 3 (107-110)
23,10/26/16,HOU,@,LAL,4th,04:42.0,HOU down 3 (107-110),E. Gordon makes free throw 2 of 2,HOU down 2 (108-110)
24,10/26/16,HOU,@,LAL,4th,03:53.0,HOU down 2 (108-110),J. Harden makes free throw 1 of 2,HOU down 1 (109-110)
