Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/25/16,SAS,@,GSW,1st,06:40.0,SAS up 1 (10-9),K. Leonard makes free throw 1 of 2,SAS up 2 (11-9)
2,10/25/16,SAS,@,GSW,1st,06:40.0,SAS up 2 (11-9),K. Leonard makes free throw 2 of 2,SAS up 3 (12-9)
3,10/25/16,SAS,@,GSW,1st,01:47.0,SAS up 3 (21-18),D. Lee makes free throw 1 of 2,SAS up 4 (22-18)
4,10/25/16,SAS,@,GSW,1st,01:47.0,SAS up 4 (22-18),D. Lee makes free throw 2 of 2,SAS up 5 (23-18)
5,10/25/16,SAS,@,GSW,2nd,08:17.0,SAS up 11 (36-25),K. Leonard makes free throw 1 of 2,SAS up 12 (37-25)
6,10/25/16,SAS,@,GSW,2nd,08:17.0,SAS up 12 (37-25),K. Leonard makes free throw 2 of 2,SAS up 13 (38-25)
7,10/25/16,SAS,@,GSW,2nd,06:56.0,SAS up 15 (40-25),K. Leonard makes free throw 1 of 2,SAS up 16 (41-25)
8,10/25/16,SAS,@,GSW,2nd,06:56.0,SAS up 16 (41-25),K. Leonard makes free throw 2 of 2,SAS up 17 (42-25)
9,10/25/16,SAS,@,GSW,2nd,06:07.0,SAS up 14 (44-30),K. Leonard makes free throw 1 of 2,SAS up 15 (45-30)
10,10/25/16,SAS,@,GSW,2nd,06:07.0,SAS up 15 (45-30),K. Leonard makes free throw 2 of 2,SAS up 16 (46-30)
11,10/25/16,SAS,@,GSW,2nd,02:14.0,SAS up 8 (50-42),K. Leonard makes free throw 1 of 2,SAS up 9 (51-42)
12,10/25/16,SAS,@,GSW,2nd,02:14.0,SAS up 9 (51-42),K. Leonard makes free throw 2 of 2,SAS up 10 (52-42)
13,10/25/16,SAS,@,GSW,3rd,08:56.0,SAS up 10 (68-58),K. Leonard makes technical free throw,SAS up 11 (69-58)
14,10/25/16,SAS,@,GSW,3rd,04:23.0,SAS up 16 (80-64),L. Aldridge makes free throw 1 of 2,SAS up 17 (81-64)
15,10/25/16,SAS,@,GSW,3rd,04:23.0,SAS up 17 (81-64),L. Aldridge makes free throw 2 of 2,SAS up 18 (82-64)
16,10/25/16,SAS,@,GSW,3rd,03:47.0,SAS up 18 (82-64),L. Aldridge makes free throw 1 of 2,SAS up 19 (83-64)
17,10/25/16,SAS,@,GSW,3rd,03:47.0,SAS up 19 (83-64),L. Aldridge makes free throw 2 of 2,SAS up 20 (84-64)
18,10/25/16,SAS,@,GSW,3rd,03:02.0,SAS up 17 (86-69),J. Simmons misses free throw 1 of 2,SAS up 17 (86-69)
19,10/25/16,SAS,@,GSW,3rd,03:02.0,SAS up 17 (86-69),J. Simmons makes free throw 2 of 2,SAS up 18 (87-69)
