Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,PHO,,SAC,1st,03:49.0,PHO tied (14-14),T. Warren makes free throw 1 of 2,PHO up 1 (15-14)
2,10/26/16,PHO,,SAC,1st,03:49.0,PHO up 1 (15-14),T. Warren makes free throw 2 of 2,PHO up 2 (16-14)
3,10/26/16,PHO,,SAC,1st,00:10.0,PHO down 10 (18-28),B. Knight makes free throw 1 of 2,PHO down 9 (19-28)
4,10/26/16,PHO,,SAC,1st,00:10.0,PHO down 9 (19-28),B. Knight misses free throw 2 of 2,PHO down 9 (19-28)
5,10/26/16,PHO,,SAC,2nd,08:58.0,PHO down 10 (24-34),J. Dudley misses free throw 1 of 2,PHO down 10 (24-34)
6,10/26/16,PHO,,SAC,2nd,08:58.0,PHO down 10 (24-34),J. Dudley misses free throw 2 of 2,PHO down 10 (24-34)
7,10/26/16,PHO,,SAC,3rd,11:44.0,PHO down 19 (38-57),D. Booker misses free throw 1 of 2,PHO down 19 (38-57)
8,10/26/16,PHO,,SAC,3rd,11:44.0,PHO down 19 (38-57),D. Booker makes free throw 2 of 2,PHO down 18 (39-57)
9,10/26/16,PHO,,SAC,3rd,10:18.0,PHO down 21 (39-60),D. Booker misses free throw 1 of 2,PHO down 21 (39-60)
10,10/26/16,PHO,,SAC,3rd,10:18.0,PHO down 21 (39-60),D. Booker misses free throw 2 of 2,PHO down 21 (39-60)
11,10/26/16,PHO,,SAC,3rd,08:09.0,PHO down 21 (43-64),E. Bledsoe makes free throw 1 of 2,PHO down 20 (44-64)
12,10/26/16,PHO,,SAC,3rd,08:09.0,PHO down 20 (44-64),E. Bledsoe makes free throw 2 of 2,PHO down 19 (45-64)
13,10/26/16,PHO,,SAC,3rd,04:46.0,PHO down 22 (52-74),T. Warren makes free throw 1 of 2,PHO down 21 (53-74)
14,10/26/16,PHO,,SAC,3rd,04:46.0,PHO down 21 (53-74),T. Warren makes free throw 2 of 2,PHO down 20 (54-74)
15,10/26/16,PHO,,SAC,3rd,02:36.0,PHO down 26 (56-82),B. Knight makes free throw 1 of 2,PHO down 25 (57-82)
16,10/26/16,PHO,,SAC,3rd,02:36.0,PHO down 25 (57-82),B. Knight makes free throw 2 of 2,PHO down 24 (58-82)
17,10/26/16,PHO,,SAC,4th,09:46.0,PHO down 17 (69-86),B. Knight makes flagrant free throw 1 of 2,PHO down 16 (70-86)
18,10/26/16,PHO,,SAC,4th,09:46.0,PHO down 16 (70-86),B. Knight makes flagrant free throw 2 of 2,PHO down 15 (71-86)
19,10/26/16,PHO,,SAC,4th,07:45.0,PHO down 15 (76-91),M. Chriss misses free throw 1 of 2,PHO down 15 (76-91)
20,10/26/16,PHO,,SAC,4th,07:45.0,PHO down 15 (76-91),M. Chriss makes free throw 2 of 2,PHO down 14 (77-91)
21,10/26/16,PHO,,SAC,4th,03:39.0,PHO down 22 (81-103),T. Chandler misses free throw 1 of 2,PHO down 22 (81-103)
22,10/26/16,PHO,,SAC,4th,03:39.0,PHO down 22 (81-103),T. Chandler misses free throw 2 of 2,PHO down 22 (81-103)
23,10/26/16,PHO,,SAC,4th,03:07.0,PHO down 24 (81-105),E. Bledsoe makes free throw 1 of 2,PHO down 23 (82-105)
24,10/26/16,PHO,,SAC,4th,03:07.0,PHO down 23 (82-105),E. Bledsoe makes free throw 2 of 2,PHO down 22 (83-105)
25,10/26/16,PHO,,SAC,4th,00:46.0,PHO down 24 (89-113),A. Len makes free throw 1 of 2,PHO down 23 (90-113)
26,10/26/16,PHO,,SAC,4th,00:46.0,PHO down 23 (90-113),A. Len makes free throw 2 of 2,PHO down 22 (91-113)
27,10/26/16,PHO,,SAC,4th,00:21.0,PHO down 20 (93-113),D. Booker makes free throw 1 of 1,PHO down 19 (94-113)
28,10/28/16,PHO,@,OKC,1st,06:54.0,PHO up 9 (18-9),D. Booker misses free throw 1 of 2,PHO up 9 (18-9)
29,10/28/16,PHO,@,OKC,1st,06:54.0,PHO up 9 (18-9),D. Booker makes free throw 2 of 2,PHO up 10 (19-9)
30,10/28/16,PHO,@,OKC,1st,05:28.0,PHO up 11 (22-11),T. Warren misses free throw 1 of 2,PHO up 11 (22-11)
31,10/28/16,PHO,@,OKC,1st,05:28.0,PHO up 11 (22-11),T. Warren makes free throw 2 of 2,PHO up 12 (23-11)
32,10/28/16,PHO,@,OKC,1st,04:18.0,PHO up 15 (28-13),T. Chandler makes free throw 1 of 1,PHO up 16 (29-13)
33,10/28/16,PHO,@,OKC,1st,01:12.0,PHO up 11 (35-24),E. Bledsoe makes free throw 1 of 1,PHO up 12 (36-24)
34,10/28/16,PHO,@,OKC,2nd,07:16.0,PHO up 11 (44-33),B. Knight makes free throw 1 of 2,PHO up 12 (45-33)
35,10/28/16,PHO,@,OKC,2nd,07:16.0,PHO up 12 (45-33),B. Knight makes free throw 2 of 2,PHO up 13 (46-33)
36,10/28/16,PHO,@,OKC,2nd,03:48.0,PHO up 10 (52-42),J. Dudley misses free throw 1 of 2,PHO up 10 (52-42)
37,10/28/16,PHO,@,OKC,2nd,03:48.0,PHO up 10 (52-42),J. Dudley makes free throw 2 of 2,PHO up 11 (53-42)
