Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,OKC,@,PHI,1st,07:47.0,OKC down 8 (2-10),R. Westbrook makes free throw 1 of 2,OKC down 7 (3-10)
2,10/26/16,OKC,@,PHI,1st,07:47.0,OKC down 7 (3-10),R. Westbrook misses free throw 2 of 2,OKC down 7 (3-10)
3,10/26/16,OKC,@,PHI,1st,07:40.0,OKC down 5 (5-10),V. Oladipo misses free throw 1 of 1,OKC down 5 (5-10)
4,10/26/16,OKC,@,PHI,1st,04:52.0,OKC down 9 (9-18),R. Westbrook makes free throw 1 of 1,OKC down 8 (10-18)
5,10/26/16,OKC,@,PHI,1st,03:19.0,OKC down 5 (14-19),R. Westbrook makes free throw 1 of 2,OKC down 4 (15-19)
6,10/26/16,OKC,@,PHI,1st,03:19.0,OKC down 4 (15-19),R. Westbrook makes free throw 2 of 2,OKC down 3 (16-19)
7,10/26/16,OKC,@,PHI,1st,01:34.0,OKC down 1 (21-22),K. Singler makes free throw 1 of 2,OKC tied (22-22)
8,10/26/16,OKC,@,PHI,1st,01:34.0,OKC tied (22-22),K. Singler makes free throw 2 of 2,OKC up 1 (23-22)
9,10/26/16,OKC,@,PHI,2nd,06:00.0,OKC down 4 (35-39),E. Kanter misses free throw 1 of 2,OKC down 4 (35-39)
10,10/26/16,OKC,@,PHI,2nd,06:00.0,OKC down 4 (35-39),E. Kanter makes free throw 2 of 2,OKC down 3 (36-39)
11,10/26/16,OKC,@,PHI,3rd,09:51.0,OKC down 2 (51-53),A. Roberson misses free throw 1 of 2,OKC down 2 (51-53)
12,10/26/16,OKC,@,PHI,3rd,09:51.0,OKC down 2 (51-53),A. Roberson misses free throw 2 of 2,OKC down 2 (51-53)
13,10/26/16,OKC,@,PHI,3rd,05:31.0,OKC down 1 (58-59),R. Westbrook makes free throw 1 of 2,OKC tied (59-59)
14,10/26/16,OKC,@,PHI,3rd,05:31.0,OKC tied (59-59),R. Westbrook makes free throw 2 of 2,OKC up 1 (60-59)
15,10/26/16,OKC,@,PHI,4th,11:44.0,OKC down 6 (69-75),E. Kanter makes free throw 1 of 2,OKC down 5 (70-75)
16,10/26/16,OKC,@,PHI,4th,11:44.0,OKC down 5 (70-75),E. Kanter makes free throw 2 of 2,OKC down 4 (71-75)
17,10/26/16,OKC,@,PHI,4th,08:59.0,OKC down 5 (75-80),R. Westbrook misses free throw 1 of 2,OKC down 5 (75-80)
18,10/26/16,OKC,@,PHI,4th,08:59.0,OKC down 5 (75-80),R. Westbrook makes free throw 2 of 2,OKC down 4 (76-80)
19,10/26/16,OKC,@,PHI,4th,04:29.0,OKC down 4 (85-89),S. Adams makes free throw 1 of 2,OKC down 3 (86-89)
20,10/26/16,OKC,@,PHI,4th,04:29.0,OKC down 3 (86-89),S. Adams makes free throw 2 of 2,OKC down 2 (87-89)
21,10/26/16,OKC,@,PHI,4th,01:49.0,OKC down 1 (94-95),A. Roberson makes free throw 1 of 2,OKC tied (95-95)
22,10/26/16,OKC,@,PHI,4th,01:49.0,OKC tied (95-95),A. Roberson misses free throw 2 of 2,OKC tied (95-95)
23,10/26/16,OKC,@,PHI,4th,00:35.0,OKC tied (97-97),R. Westbrook makes free throw 1 of 2,OKC up 1 (98-97)
24,10/26/16,OKC,@,PHI,4th,00:35.0,OKC up 1 (98-97),R. Westbrook makes free throw 2 of 2,OKC up 2 (99-97)
25,10/26/16,OKC,@,PHI,4th,00:04.0,OKC up 4 (101-97),V. Oladipo makes free throw 1 of 2,OKC up 5 (102-97)
26,10/26/16,OKC,@,PHI,4th,00:04.0,OKC up 5 (102-97),V. Oladipo makes free throw 2 of 2,OKC up 6 (103-97)
27,10/28/16,OKC,,PHO,1st,10:58.0,OKC down 2 (0-2),V. Oladipo makes free throw 1 of 2,OKC down 1 (1-2)
