Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/26/16,MIN,@,MEM,1st,11:45.0,MIN tied (0-0),A. Wiggins makes free throw 1 of 2,MIN up 1 (1-0)
2,10/26/16,MIN,@,MEM,1st,11:45.0,MIN up 1 (1-0),A. Wiggins makes free throw 2 of 2,MIN up 2 (2-0)
3,10/26/16,MIN,@,MEM,1st,04:11.0,MIN up 11 (22-11),A. Wiggins makes free throw 1 of 2,MIN up 12 (23-11)
4,10/26/16,MIN,@,MEM,1st,04:11.0,MIN up 12 (23-11),A. Wiggins misses free throw 2 of 2,MIN up 12 (23-11)
5,10/26/16,MIN,@,MEM,1st,02:12.0,MIN up 7 (25-18),K. Towns makes technical free throw,MIN up 8 (26-18)
6,10/26/16,MIN,@,MEM,1st,00:10.0,MIN up 3 (32-29),R. Rubio misses free throw 1 of 2,MIN up 3 (32-29)
7,10/26/16,MIN,@,MEM,1st,00:10.0,MIN up 3 (32-29),R. Rubio misses free throw 2 of 2,MIN up 3 (32-29)
8,10/26/16,MIN,@,MEM,2nd,10:52.0,MIN up 3 (32-29),Z. LaVine misses free throw 1 of 2,MIN up 3 (32-29)
9,10/26/16,MIN,@,MEM,2nd,10:52.0,MIN up 3 (32-29),Z. LaVine makes free throw 2 of 2,MIN up 4 (33-29)
10,10/26/16,MIN,@,MEM,2nd,10:32.0,MIN up 4 (33-29),N. Bjelica misses free throw 1 of 2,MIN up 4 (33-29)
11,10/26/16,MIN,@,MEM,2nd,10:32.0,MIN up 4 (33-29),N. Bjelica makes free throw 2 of 2,MIN up 5 (34-29)
12,10/26/16,MIN,@,MEM,2nd,08:57.0,MIN up 6 (38-32),R. Rubio makes free throw 1 of 1,MIN up 7 (39-32)
13,10/26/16,MIN,@,MEM,2nd,06:34.0,MIN up 3 (43-40),G. Dieng makes free throw 1 of 2,MIN up 4 (44-40)
14,10/26/16,MIN,@,MEM,2nd,06:34.0,MIN up 4 (44-40),G. Dieng makes free throw 2 of 2,MIN up 5 (45-40)
15,10/26/16,MIN,@,MEM,2nd,04:10.0,MIN up 2 (47-45),A. Wiggins makes free throw 1 of 2,MIN up 3 (48-45)
