Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/25/16,POR,,UTA,1st,06:08.0,POR down 4 (13-17),D. Lillard makes free throw 1 of 2,POR down 3 (14-17)
2,10/25/16,POR,,UTA,1st,06:08.0,POR down 3 (14-17),D. Lillard makes free throw 2 of 2,POR down 2 (15-17)
3,10/25/16,POR,,UTA,2nd,11:49.0,POR up 2 (28-26),C. McCollum makes free throw 1 of 1,POR up 3 (29-26)
4,10/25/16,POR,,UTA,2nd,10:57.0,POR up 3 (29-26),E. Davis makes free throw 1 of 2,POR up 4 (30-26)
5,10/25/16,POR,,UTA,2nd,10:57.0,POR up 4 (30-26),E. Davis makes free throw 2 of 2,POR up 5 (31-26)
6,10/25/16,POR,,UTA,2nd,01:03.0,POR up 8 (48-40),C. McCollum makes free throw 1 of 2,POR up 9 (49-40)
7,10/25/16,POR,,UTA,2nd,01:03.0,POR up 9 (49-40),C. McCollum makes free throw 2 of 2,POR up 10 (50-40)
8,10/25/16,POR,,UTA,3rd,10:38.0,POR up 9 (58-49),A. Aminu makes free throw 1 of 1,POR up 10 (59-49)
9,10/25/16,POR,,UTA,3rd,08:14.0,POR up 6 (65-59),D. Lillard makes free throw 1 of 1,POR up 7 (66-59)
10,10/25/16,POR,,UTA,3rd,00:34.0,POR down 6 (75-81),C. McCollum makes free throw 1 of 2,POR down 5 (76-81)
11,10/25/16,POR,,UTA,3rd,00:34.0,POR down 5 (76-81),C. McCollum makes free throw 2 of 2,POR down 4 (77-81)
12,10/25/16,POR,,UTA,4th,09:03.0,POR down 3 (85-88),A. Crabbe makes free throw 1 of 2,POR down 2 (86-88)
13,10/25/16,POR,,UTA,4th,09:03.0,POR down 2 (86-88),A. Crabbe makes free throw 2 of 2,POR down 1 (87-88)
14,10/25/16,POR,,UTA,4th,06:29.0,POR down 1 (93-94),E. Turner makes free throw 1 of 1,POR tied (94-94)
15,10/25/16,POR,,UTA,4th,04:46.0,POR down 2 (97-99),D. Lillard makes free throw 1 of 2,POR down 1 (98-99)
16,10/25/16,POR,,UTA,4th,04:46.0,POR down 1 (98-99),D. Lillard makes free throw 2 of 2,POR tied (99-99)
17,10/25/16,POR,,UTA,4th,01:38.0,POR up 2 (104-102),D. Lillard makes free throw 1 of 2,POR up 3 (105-102)
18,10/25/16,POR,,UTA,4th,01:38.0,POR up 3 (105-102),D. Lillard makes free throw 2 of 2,POR up 4 (106-102)
19,10/25/16,POR,,UTA,4th,00:24.0,POR up 5 (109-104),C. McCollum makes free throw 1 of 2,POR up 6 (110-104)
20,10/25/16,POR,,UTA,4th,00:24.0,POR up 6 (110-104),C. McCollum makes free throw 2 of 2,POR up 7 (111-104)
21,10/25/16,POR,,UTA,4th,00:10.0,POR up 7 (111-104),D. Lillard makes free throw 1 of 2,POR up 8 (112-104)
22,10/25/16,POR,,UTA,4th,00:10.0,POR up 8 (112-104),D. Lillard makes free throw 2 of 2,POR up 9 (113-104)
23,10/27/16,POR,,LAC,1st,03:30.0,POR up 3 (20-17),M. Harkless makes free throw 1 of 1,POR up 4 (21-17)
24,10/27/16,POR,,LAC,1st,01:39.0,POR up 5 (26-21),N. Vonleh misses free throw 1 of 2,POR up 5 (26-21)
25,10/27/16,POR,,LAC,1st,01:39.0,POR up 5 (26-21),N. Vonleh makes free throw 2 of 2,POR up 6 (27-21)
26,10/27/16,POR,,LAC,2nd,09:01.0,POR down 10 (27-37),A. Crabbe makes free throw 1 of 2,POR down 9 (28-37)
27,10/27/16,POR,,LAC,2nd,09:01.0,POR down 9 (28-37),A. Crabbe makes free throw 2 of 2,POR down 8 (29-37)
28,10/27/16,POR,,LAC,2nd,08:30.0,POR down 8 (31-39),N. Vonleh makes free throw 1 of 1,POR down 7 (32-39)
29,10/27/16,POR,,LAC,2nd,07:11.0,POR down 10 (32-42),C. McCollum makes free throw 1 of 2,POR down 9 (33-42)
30,10/27/16,POR,,LAC,2nd,07:11.0,POR down 9 (33-42),C. McCollum makes free throw 2 of 2,POR down 8 (34-42)
31,10/27/16,POR,,LAC,2nd,05:17.0,POR down 10 (36-46),C. McCollum makes free throw 1 of 2,POR down 9 (37-46)
32,10/27/16,POR,,LAC,2nd,05:17.0,POR down 9 (37-46),C. McCollum makes free throw 2 of 2,POR down 8 (38-46)
33,10/27/16,POR,,LAC,2nd,00:41.0,POR down 7 (47-54),M. Plumlee misses free throw 1 of 2,POR down 7 (47-54)
34,10/27/16,POR,,LAC,2nd,00:41.0,POR down 7 (47-54),M. Plumlee makes free throw 2 of 2,POR down 6 (48-54)
35,10/27/16,POR,,LAC,2nd,00:27.0,POR down 7 (48-55),M. Plumlee makes free throw 1 of 2,POR down 6 (49-55)
36,10/27/16,POR,,LAC,2nd,00:27.0,POR down 6 (49-55),M. Plumlee misses free throw 2 of 2,POR down 6 (49-55)
37,10/27/16,POR,,LAC,3rd,04:02.0,POR down 2 (69-71),M. Harkless makes free throw 1 of 1,POR down 1 (70-71)
38,10/27/16,POR,,LAC,3rd,02:06.0,POR tied (76-76),N. Vonleh makes free throw 1 of 2,POR up 1 (77-76)
39,10/27/16,POR,,LAC,3rd,02:06.0,POR up 1 (77-76),N. Vonleh makes free throw 2 of 2,POR up 2 (78-76)
40,10/27/16,POR,,LAC,3rd,01:12.0,POR tied (78-78),A. Crabbe makes free throw 1 of 2,POR up 1 (79-78)
41,10/27/16,POR,,LAC,3rd,01:12.0,POR up 1 (79-78),A. Crabbe makes free throw 2 of 2,POR up 2 (80-78)
42,10/27/16,POR,,LAC,4th,07:33.0,POR down 4 (86-90),A. Aminu misses free throw 1 of 2,POR down 4 (86-90)
43,10/27/16,POR,,LAC,4th,07:33.0,POR down 4 (86-90),A. Aminu makes free throw 2 of 2,POR down 3 (87-90)
44,10/27/16,POR,,LAC,4th,04:22.0,POR down 10 (89-99),M. Plumlee makes free throw 1 of 2,POR down 9 (90-99)
