Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/25/16,GSW,,SAS,1st,08:32.0,GSW down 6 (2-8),S. Curry makes free throw 1 of 2,GSW down 5 (3-8)
2,10/25/16,GSW,,SAS,1st,08:32.0,GSW down 5 (3-8),S. Curry makes free throw 2 of 2,GSW down 4 (4-8)
3,10/25/16,GSW,,SAS,1st,04:21.0,GSW up 2 (14-12),S. Curry makes free throw 1 of 2,GSW up 3 (15-12)
4,10/25/16,GSW,,SAS,1st,04:21.0,GSW up 3 (15-12),S. Curry makes free throw 2 of 2,GSW up 4 (16-12)
5,10/25/16,GSW,,SAS,2nd,09:52.0,GSW down 11 (22-33),K. Durant misses free throw 1 of 2,GSW down 11 (22-33)
6,10/25/16,GSW,,SAS,2nd,09:52.0,GSW down 11 (22-33),K. Durant makes free throw 2 of 2,GSW down 10 (23-33)
7,10/25/16,GSW,,SAS,2nd,03:34.0,GSW down 14 (36-50),S. Curry makes free throw 1 of 1,GSW down 13 (37-50)
8,10/25/16,GSW,,SAS,3rd,01:16.0,GSW down 16 (73-89),S. Curry misses free throw 1 of 1,GSW down 16 (73-89)
9,10/25/16,GSW,,SAS,4th,10:26.0,GSW down 23 (81-104),A. Varejao misses free throw 1 of 2,GSW down 23 (81-104)
10,10/25/16,GSW,,SAS,4th,10:26.0,GSW down 23 (81-104),A. Varejao makes free throw 2 of 2,GSW down 22 (82-104)
11,10/25/16,GSW,,SAS,4th,08:16.0,GSW down 26 (84-110),K. Durant makes free throw 1 of 1,GSW down 25 (85-110)
12,10/25/16,GSW,,SAS,4th,07:21.0,GSW down 25 (87-112),D. Green makes free throw 1 of 2,GSW down 24 (88-112)
13,10/25/16,GSW,,SAS,4th,07:21.0,GSW down 24 (88-112),D. Green makes free throw 2 of 2,GSW down 23 (89-112)
14,10/25/16,GSW,,SAS,4th,05:14.0,GSW down 27 (93-120),K. Durant makes free throw 1 of 2,GSW down 26 (94-120)
15,10/25/16,GSW,,SAS,4th,05:14.0,GSW down 26 (94-120),K. Durant makes free throw 2 of 2,GSW down 25 (95-120)
16,10/25/16,GSW,,SAS,4th,02:56.0,GSW down 23 (97-120),I. Clark makes free throw 1 of 2,GSW down 22 (98-120)
17,10/25/16,GSW,,SAS,4th,02:56.0,GSW down 22 (98-120),I. Clark misses free throw 2 of 2,GSW down 22 (98-120)
18,10/25/16,GSW,,SAS,4th,02:05.0,GSW down 22 (100-122),J. McGee misses free throw 1 of 1,GSW down 22 (100-122)
19,10/28/16,GSW,@,NOP,1st,09:28.0,GSW up 1 (7-6),Z. Pachulia makes free throw 1 of 2,GSW up 2 (8-6)
20,10/28/16,GSW,@,NOP,1st,09:28.0,GSW up 2 (8-6),Z. Pachulia makes free throw 2 of 2,GSW up 3 (9-6)
21,10/28/16,GSW,@,NOP,1st,02:02.0,GSW up 5 (21-16),K. Durant makes free throw 1 of 2,GSW up 6 (22-16)
22,10/28/16,GSW,@,NOP,1st,02:02.0,GSW up 6 (22-16),K. Durant makes free throw 2 of 2,GSW up 7 (23-16)
23,10/28/16,GSW,@,NOP,1st,01:37.0,GSW up 7 (25-18),K. Durant makes free throw 1 of 1,GSW up 8 (26-18)
24,10/28/16,GSW,@,NOP,2nd,10:51.0,GSW up 10 (32-22),D. West makes free throw 1 of 2,GSW up 11 (33-22)
25,10/28/16,GSW,@,NOP,2nd,10:51.0,GSW up 11 (33-22),D. West misses free throw 2 of 2,GSW up 11 (33-22)
26,10/28/16,GSW,@,NOP,2nd,08:49.0,GSW up 8 (37-29),K. Durant makes free throw 1 of 1,GSW up 9 (38-29)
27,10/28/16,GSW,@,NOP,2nd,01:10.0,GSW up 10 (56-46),D. Green makes free throw 1 of 2,GSW up 11 (57-46)
28,10/28/16,GSW,@,NOP,2nd,01:10.0,GSW up 11 (57-46),D. Green misses free throw 2 of 2,GSW up 11 (57-46)
29,10/28/16,GSW,@,NOP,3rd,06:52.0,GSW up 1 (66-65),K. Durant makes free throw 1 of 2,GSW up 2 (67-65)
30,10/28/16,GSW,@,NOP,3rd,06:52.0,GSW up 2 (67-65),K. Durant makes free throw 2 of 2,GSW up 3 (68-65)
31,10/28/16,GSW,@,NOP,3rd,03:37.0,GSW up 2 (76-74),S. Curry makes free throw 1 of 3,GSW up 3 (77-74)
32,10/28/16,GSW,@,NOP,3rd,03:37.0,GSW up 3 (77-74),S. Curry makes free throw 2 of 3,GSW up 4 (78-74)
33,10/28/16,GSW,@,NOP,3rd,03:37.0,GSW up 4 (78-74),S. Curry misses free throw 3 of 3,GSW up 4 (78-74)
