Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,10/27/16,WAS,@,ATL,2nd,05:56.0,WAS down 5 (36-41),B. Beal makes technical free throw,WAS down 4 (37-41)
2,10/27/16,WAS,@,ATL,2nd,04:52.0,WAS tied (41-41),O. Porter misses free throw 1 of 1,WAS tied (41-41)
3,10/27/16,WAS,@,ATL,2nd,03:39.0,WAS down 1 (43-44),J. Wall makes free throw 1 of 2,WAS tied (44-44)
4,10/27/16,WAS,@,ATL,2nd,03:39.0,WAS tied (44-44),J. Wall misses free throw 2 of 2,WAS tied (44-44)
5,10/27/16,WAS,@,ATL,2nd,03:38.0,WAS tied (44-44),J. Wall makes free throw 1 of 2,WAS up 1 (45-44)
6,10/27/16,WAS,@,ATL,2nd,03:38.0,WAS up 1 (45-44),J. Wall makes free throw 2 of 2,WAS up 2 (46-44)
7,10/27/16,WAS,@,ATL,2nd,00:03.0,WAS down 2 (55-57),J. Wall makes free throw 1 of 1,WAS down 1 (56-57)
8,10/27/16,WAS,@,ATL,3rd,08:01.0,WAS up 4 (67-63),J. Wall makes flagrant free throw 1 of 2,WAS up 5 (68-63)
9,10/27/16,WAS,@,ATL,3rd,08:01.0,WAS up 5 (68-63),J. Wall makes flagrant free throw 2 of 2,WAS up 6 (69-63)
10,10/27/16,WAS,@,ATL,3rd,04:53.0,WAS down 1 (71-72),M. Morris makes free throw 1 of 2,WAS tied (72-72)
11,10/27/16,WAS,@,ATL,3rd,04:53.0,WAS tied (72-72),M. Morris makes free throw 2 of 2,WAS up 1 (73-72)
12,10/27/16,WAS,@,ATL,3rd,02:16.0,WAS down 3 (73-76),A. Nicholson makes free throw 1 of 2,WAS down 2 (74-76)
13,10/27/16,WAS,@,ATL,3rd,02:16.0,WAS down 2 (74-76),A. Nicholson makes free throw 2 of 2,WAS down 1 (75-76)
14,10/27/16,WAS,@,ATL,3rd,01:53.0,WAS up 1 (77-76),T. Burke misses free throw 1 of 1,WAS up 1 (77-76)
15,10/27/16,WAS,@,ATL,4th,03:23.0,WAS down 17 (88-105),K. Oubre makes free throw 1 of 2,WAS down 16 (89-105)
16,10/27/16,WAS,@,ATL,4th,03:23.0,WAS down 16 (89-105),K. Oubre misses free throw 2 of 2,WAS down 16 (89-105)
17,10/27/16,WAS,@,ATL,4th,01:57.0,WAS down 14 (93-107),K. Oubre misses free throw 1 of 2,WAS down 14 (93-107)
18,10/27/16,WAS,@,ATL,4th,01:57.0,WAS down 14 (93-107),K. Oubre makes free throw 2 of 2,WAS down 13 (94-107)
19,10/30/16,WAS,@,MEM,1st,07:52.0,WAS down 1 (5-6),M. Gortat makes free throw 1 of 2,WAS tied (6-6)
20,10/30/16,WAS,@,MEM,1st,07:52.0,WAS tied (6-6),M. Gortat makes free throw 2 of 2,WAS up 1 (7-6)
21,10/30/16,WAS,@,MEM,1st,03:28.0,WAS down 3 (14-17),M. Gortat makes free throw 1 of 2,WAS down 2 (15-17)
22,10/30/16,WAS,@,MEM,1st,03:28.0,WAS down 2 (15-17),M. Gortat makes free throw 2 of 2,WAS down 1 (16-17)
23,10/30/16,WAS,@,MEM,2nd,11:00.0,WAS down 9 (22-31),M. Thornton makes technical free throw,WAS down 8 (23-31)
24,10/30/16,WAS,@,MEM,2nd,03:42.0,WAS down 8 (38-46),M. Gortat makes free throw 1 of 2,WAS down 7 (39-46)
25,10/30/16,WAS,@,MEM,2nd,03:42.0,WAS down 7 (39-46),M. Gortat makes free throw 2 of 2,WAS down 6 (40-46)
26,10/30/16,WAS,@,MEM,2nd,01:21.0,WAS down 7 (48-55),J. Wall makes free throw 1 of 1,WAS down 6 (49-55)
27,10/30/16,WAS,@,MEM,2nd,00:58.0,WAS down 4 (51-55),J. Wall makes free throw 1 of 1,WAS down 3 (52-55)
28,10/30/16,WAS,@,MEM,3rd,07:20.0,WAS down 4 (60-64),M. Gortat makes free throw 1 of 2,WAS down 3 (61-64)
29,10/30/16,WAS,@,MEM,3rd,07:20.0,WAS down 3 (61-64),M. Gortat makes free throw 2 of 2,WAS down 2 (62-64)
30,10/30/16,WAS,@,MEM,3rd,02:41.0,WAS down 3 (69-72),O. Porter makes free throw 1 of 1,WAS down 2 (70-72)
31,10/30/16,WAS,@,MEM,3rd,02:05.0,WAS down 4 (70-74),B. Beal makes free throw 1 of 2,WAS down 3 (71-74)
